Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER
5.5,0.0,0.7,0.0,0.2,102.7,110.6,37.8,86.7,0.4377,9.8,26.3,0.379,17.3,21.3,0.8248999999999999,9.1,42.5,20.8,8.6,4.2,15.3,21.8,40.2,88.6,0.4542,11.6,34.1,0.3377,18.6,24.7,0.7559,11.7,48.5,25.8,8.6,4.7,15.2,20.8,108.22,107.0
6.5,0.0,0.6,0.0,0.1,101.7,110.5,36.9,85.4,0.4347,10.2,27.1,0.379,17.7,21.8,0.8249000000000001,8.2,41.1,21.2,8.3,4.0,15.4,22.2,40.3,88.1,0.45810000000000006,11.3,33.2,0.3388,18.6,24.8,0.7519999999999999,11.5,48.6,25.9,8.4,4.6,15.0,21.0,107.71,104.0
7.5,0.0,0.6,0.0,0.1,103.0,110.7,37.7,84.8,0.4462,10.3,26.5,0.389,17.3,21.5,0.8119,8.7,41.8,22.1,8.3,4.3,15.6,21.4,40.5,88.4,0.4589,11.4,32.6,0.34819999999999995,18.3,24.5,0.7497999999999999,12.3,48.0,26.5,8.6,4.7,14.6,21.0,107.47999999999999,94.0
8.5,0.0,0.6,0.0,0.1,102.0,110.4,37.9,83.7,0.4532,11.0,27.1,0.4055000000000001,15.2,19.6,0.7908000000000002,8.1,40.2,21.9,8.8,4.2,16.4,21.2,40.6,87.5,0.46559999999999996,11.0,32.3,0.33669999999999994,18.2,23.9,0.7607999999999999,12.1,47.1,26.0,8.8,4.9,15.1,20.5,107.28,105.0
9.5,0.0,0.6,0.0,0.1,103.2,110.6,38.3,84.8,0.4518,12.0,29.0,0.41150000000000003,14.6,18.7,0.8019000000000001,8.5,39.7,23.0,9.3,4.2,16.0,21.3,40.8,86.5,0.47440000000000004,10.9,31.9,0.3383,18.1,23.8,0.7587999999999999,11.8,46.8,27.0,8.6,4.8,15.1,19.9,107.42999999999999,126.0
10.5,0.0,0.5,0.0,0.2,107.2,109.5,40.1,84.6,0.4756,12.5,29.4,0.42219999999999996,14.5,19.0,0.7798,8.7,41.0,24.8,9.2,4.3,16.8,21.3,40.8,86.7,0.4736000000000001,10.8,31.5,0.3378,17.1,22.9,0.7428999999999999,11.1,43.5,26.8,9.3,4.6,15.0,20.3,107.42,99.0
11.5,0.0,0.5,0.0,0.2,107.1,110.0,40.1,83.5,0.4814,12.0,28.5,0.4173,14.9,19.8,0.7598,8.2,40.2,24.9,9.2,4.0,16.9,21.1,40.5,85.8,0.475,12.0,32.9,0.3649,17.0,22.6,0.7489999999999999,10.9,43.0,26.4,9.4,4.8,15.4,21.3,106.74000000000001,85.0
12.5,0.0,0.6,0.0,0.2,105.0,107.9,40.2,84.3,0.47809999999999997,11.5,28.6,0.3992,13.1,18.0,0.7165,8.8,40.9,24.3,9.0,4.5,16.8,20.5,40.1,86.6,0.46559999999999996,11.7,33.4,0.3472,16.0,21.1,0.7728,11.8,43.9,26.3,9.2,5.0,15.8,20.3,106.24000000000001,103.0
13.5,0.0,0.5,0.0,0.2,104.4,107.6,40.1,83.2,0.4827,11.7,29.2,0.3989,12.5,16.8,0.7327999999999999,8.5,39.6,24.7,8.9,4.3,16.5,19.7,39.9,84.3,0.477,11.9,32.9,0.3601,15.9,20.5,0.7852,10.9,41.9,25.7,8.9,5.0,15.7,19.2,106.78,116.0
14.5,0.0,0.5,0.0,0.3,105.6,106.1,40.9,85.0,0.4821,11.9,29.0,0.4074999999999999,11.9,16.2,0.7245,9.3,39.5,26.1,8.8,3.7,15.6,19.7,39.7,83.2,0.48109999999999997,11.5,31.2,0.3661,15.2,19.6,0.7883,10.5,41.3,25.9,7.6,5.5,16.5,19.5,107.17999999999999,78.0
