Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER,gamePoints
5.5,0.0,0.6,0.0,0.3,109.9,119.5,40.2,88.2,0.4565,12.3,35.6,0.3417,17.2,24.0,0.7292000000000002,8.9,43.4,25.2,8.6,6.2,18.7,23.5,43.4,91.7,0.47409999999999997,12.9,33.7,0.3935,19.8,26.7,0.7392000000000001,10.9,48.2,27.4,9.6,5.0,17.0,23.2,111.57000000000001,107.0
6.5,0.0,0.5,0.0,0.3,109.9,118.1,39.8,88.4,0.4511,12.4,35.8,0.34280000000000005,17.9,25.1,0.7218000000000002,9.7,43.4,25.9,8.4,6.8,18.0,23.5,42.3,89.5,0.4728,12.8,33.4,0.3938,20.7,28.3,0.732,11.0,48.4,26.8,9.2,5.1,17.1,23.9,111.57000000000001,109.0
7.5,0.0,0.4,0.0,0.3,109.1,117.4,39.3,88.0,0.4473000000000001,11.7,35.6,0.32110000000000005,18.8,25.5,0.7385000000000002,9.5,44.7,24.9,8.1,6.5,17.7,22.5,42.5,91.1,0.4659,13.5,35.5,0.38639999999999997,18.9,25.9,0.7253999999999999,11.3,48.7,26.6,9.3,5.3,16.5,24.1,111.63,106.0
8.5,0.0,0.4,0.0,0.2,106.4,117.0,38.6,87.7,0.4415,10.8,34.6,0.3094,18.4,24.9,0.7442000000000002,9.6,44.7,24.2,8.3,6.2,18.2,22.7,41.8,90.4,0.46180000000000004,13.9,36.6,0.3862,19.5,26.9,0.7236,11.5,48.6,27.1,10.0,6.0,16.9,23.9,110.85,103.0
9.5,0.0,0.5,0.0,0.1,105.6,117.6,38.9,87.5,0.4457,10.5,34.0,0.3074,17.3,23.3,0.7464999999999999,9.6,43.5,23.9,8.6,5.8,18.1,21.9,41.9,90.4,0.46290000000000003,13.9,35.3,0.4006,19.9,26.4,0.7573,11.9,48.2,27.4,10.1,5.7,16.5,23.2,110.69000000000001,93.0
10.5,0.0,0.6,0.0,0.1,106.4,121.7,39.4,88.3,0.4484,10.2,34.2,0.2988,17.4,23.7,0.738,10.0,43.0,23.9,8.4,5.5,17.8,22.8,43.6,91.5,0.47590000000000005,14.0,35.1,0.4061,20.5,27.3,0.752,12.2,48.6,28.3,9.9,5.7,16.0,23.5,110.21,89.0
11.5,0.0,0.6,0.0,0.1,106.1,120.1,39.0,87.6,0.4468,10.2,33.4,0.3048,17.9,24.3,0.7416999999999999,9.5,42.4,23.9,8.9,5.8,18.3,23.4,43.0,90.3,0.4747,13.8,33.4,0.4163,20.3,27.6,0.7289999999999999,11.6,47.5,27.5,10.3,5.4,16.3,23.9,109.91,119.0
12.5,0.0,0.5,0.0,0.1,106.6,119.2,39.1,89.5,0.4377,9.9,33.7,0.2935,18.5,24.5,0.7665,10.5,43.6,24.3,8.9,5.6,17.5,24.3,42.5,90.6,0.46769999999999995,13.5,34.2,0.39459999999999995,20.7,28.0,0.731,11.8,47.9,27.6,9.9,6.1,16.5,24.1,109.27000000000001,108.0
13.5,0.0,0.5,0.0,0.1,105.9,117.0,39.1,90.1,0.4346,10.1,34.2,0.2955,17.6,22.9,0.7767,10.4,42.7,24.1,9.3,5.7,16.2,23.6,42.0,89.8,0.46690000000000004,13.2,33.6,0.39249999999999996,19.8,27.1,0.7236,12.2,48.8,27.1,9.1,5.9,16.8,23.3,108.86999999999998,96.0
14.5,0.0,0.5,0.0,0.0,103.2,116.6,38.0,89.4,0.4255,9.4,34.5,0.27199999999999996,17.8,23.5,0.7674,10.1,43.0,23.0,9.1,5.7,16.6,24.1,42.1,90.4,0.4649,12.9,33.6,0.385,19.5,26.6,0.7277000000000001,11.6,49.0,27.5,9.6,6.0,16.7,24.2,108.86999999999998,124.0
