Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER
5.5,0.0,0.6,0.0,0.5,107.9,108.1,39.6,86.5,0.4585,10.8,29.9,0.3621,17.9,23.7,0.7476,10.2,41.7,25.2,7.7,4.9,12.3,23.2,38.1,86.8,0.4396,9.5,27.0,0.35469999999999996,22.4,28.3,0.7937,12.9,47.2,21.6,7.5,6.0,14.5,20.9,108.64000000000001,90.0
6.5,0.0,0.6,0.0,0.5,104.7,104.7,38.1,85.2,0.44800000000000006,10.4,28.8,0.36100000000000004,18.1,24.2,0.7382,10.3,42.3,23.4,7.0,4.3,12.3,22.9,37.2,85.4,0.4363,8.8,24.9,0.35540000000000005,21.5,27.3,0.7837,11.9,46.0,21.0,7.6,6.0,13.8,20.9,108.40000000000002,88.0
7.5,0.0,0.5,0.0,0.5,103.6,104.6,37.4,85.9,0.4353000000000001,10.7,29.7,0.3606,18.1,23.7,0.7545999999999999,10.7,43.0,23.1,7.0,4.0,12.5,21.6,38.0,85.2,0.44610000000000005,8.6,25.2,0.3435,20.0,25.5,0.7687,11.0,45.5,21.8,8.1,6.6,13.7,20.8,108.12000000000003,94.0
8.5,0.0,0.5,0.0,0.5,102.6,104.0,36.8,86.0,0.4274,10.4,29.7,0.35090000000000005,18.6,23.7,0.7839999999999999,11.2,43.4,22.8,6.9,4.1,12.0,20.3,38.5,85.9,0.4486,8.4,24.0,0.3504,18.6,23.8,0.7617,11.5,46.7,21.8,7.8,6.4,13.4,20.4,107.95,99.0
9.5,0.0,0.6,0.0,0.5,101.8,103.3,36.5,85.7,0.4255,10.2,30.3,0.3387,18.6,23.4,0.7978999999999999,10.8,43.4,22.0,6.4,4.1,11.9,20.0,38.6,86.4,0.4473,8.1,24.4,0.33209999999999995,18.0,23.2,0.7555,11.6,46.9,22.0,7.6,6.1,13.0,20.4,108.42,111.0
10.5,0.0,0.6,0.0,0.6,100.7,99.7,36.4,85.9,0.42350000000000004,10.6,30.9,0.3438,17.3,22.0,0.7865,11.0,44.6,22.1,7.3,4.1,12.4,19.4,37.9,86.6,0.43800000000000006,7.7,24.1,0.3232,16.2,21.7,0.7325999999999999,11.8,47.2,21.4,7.7,6.2,14.1,19.7,108.46000000000001,103.0
11.5,0.0,0.6,0.0,0.6,100.3,98.3,36.5,86.0,0.42410000000000003,11.0,31.8,0.3471,16.3,20.8,0.7833,10.7,44.3,22.2,7.8,4.1,12.3,19.1,37.3,86.3,0.4325,7.7,24.2,0.3212,16.0,21.1,0.7432,12.2,47.0,21.7,7.4,6.4,14.0,18.6,107.57000000000001,112.0
12.5,0.0,0.6,0.0,0.7,102.2,96.9,37.0,86.2,0.42910000000000004,11.1,31.4,0.3555,17.1,21.2,0.805,10.6,45.2,22.7,7.7,4.0,12.1,19.9,36.5,85.1,0.43,7.3,25.1,0.2936,16.6,22.3,0.732,11.0,45.7,21.2,7.1,5.9,14.2,18.5,107.34,114.0
13.5,0.0,0.6,0.0,0.6,102.1,100.3,37.5,86.3,0.43420000000000003,11.5,32.9,0.3505,15.6,18.9,0.8209,9.6,43.2,23.0,6.7,4.0,11.1,19.8,38.0,84.4,0.45010000000000006,7.6,24.8,0.3125000000000001,16.7,22.7,0.72,10.2,45.2,22.1,6.8,5.6,12.8,17.8,106.93999999999998,97.0
14.5,0.0,0.5,0.0,0.6,101.3,99.6,37.6,87.1,0.43130000000000007,11.8,33.2,0.3578,14.3,17.1,0.8324000000000001,9.2,43.0,23.3,7.0,4.2,11.1,19.9,37.7,84.6,0.4457,7.6,24.7,0.3134,16.6,22.4,0.7249999999999999,10.5,46.3,22.6,6.8,5.7,12.9,17.2,107.21,107.0
15.5,0.0,0.5,0.0,0.7,101.5,99.6,37.6,85.2,0.4413,11.4,31.7,0.3593,14.9,18.0,0.8267,8.7,42.3,23.6,6.6,4.5,11.1,19.3,37.7,84.3,0.44749999999999995,8.5,25.9,0.33030000000000004,15.7,21.4,0.7224999999999999,10.5,45.5,23.0,6.4,5.6,12.8,17.8,107.36000000000001,106.0
16.5,0.0,0.6,0.0,0.6,103.1,102.0,38.5,87.5,0.44029999999999997,11.8,32.8,0.36039999999999994,14.3,16.9,0.8445,8.4,41.2,24.5,6.7,4.6,10.3,19.6,37.7,83.6,0.45120000000000005,8.9,27.4,0.3271,17.7,23.5,0.7395999999999999,10.7,46.9,23.4,6.3,6.0,13.5,17.3,107.43000000000002,117.0
17.5,0.0,0.7,0.0,0.7,106.0,100.3,39.7,87.6,0.4542,11.4,32.2,0.35289999999999994,15.2,17.9,0.8484,8.8,41.8,25.5,6.8,4.7,10.0,20.3,36.3,82.7,0.43929999999999997,9.1,27.2,0.3373,18.6,24.7,0.7479999999999999,10.6,45.6,22.1,6.0,5.4,13.6,17.9,108.12000000000003,94.0
18.5,0.0,0.6,0.0,0.6,106.0,101.2,39.5,87.7,0.4513,11.9,33.3,0.35469999999999996,15.1,18.4,0.8225,8.7,41.8,25.7,7.0,4.4,10.5,20.8,36.0,82.3,0.4378,9.3,27.2,0.3473,19.9,25.8,0.7681,10.3,45.6,21.1,6.4,5.2,14.2,18.8,108.16000000000001,96.0
19.5,0.0,0.6,0.0,0.5,105.7,101.8,39.7,88.3,0.4505,11.8,32.7,0.3575,14.5,17.8,0.8064,9.3,41.9,26.5,7.4,4.4,10.7,20.9,36.5,82.0,0.44530000000000003,9.2,26.9,0.3449,19.6,26.0,0.752,10.2,45.4,20.5,6.8,5.5,13.9,17.8,107.76999999999998,101.0
20.5,0.0,0.6,0.0,0.4,104.7,103.4,38.9,86.9,0.44860000000000005,11.3,32.0,0.3503,15.6,19.0,0.8164000000000001,8.9,40.3,26.4,7.3,4.1,10.6,20.0,37.5,81.4,0.4608,9.0,26.0,0.34900000000000003,19.4,25.2,0.7741,9.8,44.7,22.0,7.0,5.1,13.6,18.3,107.03999999999999,96.0
