Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER
5.5,0.0,0.5,0.0,0.4,112.7,116.6,39.5,91.3,0.4324,10.9,32.7,0.3355,22.8,30.5,0.7436,11.1,45.5,21.4,8.8,4.1,15.3,23.0,42.4,91.7,0.4619,9.9,26.7,0.3766999999999999,21.9,27.4,0.791,10.8,50.2,22.0,7.7,5.8,15.2,24.2,109.67,104.0
6.5,0.0,0.5,0.0,0.4,110.0,113.8,38.8,90.8,0.4272,10.8,33.2,0.3269,21.6,29.5,0.7303000000000001,10.8,45.9,21.4,9.3,4.5,15.8,22.1,41.5,90.8,0.4572,9.9,26.7,0.3767,20.9,26.2,0.7878999999999999,10.3,50.2,21.7,8.1,5.8,15.7,23.8,109.94000000000001,101.0
7.5,0.0,0.6,0.0,0.4,107.5,111.4,38.1,90.7,0.42010000000000003,11.1,34.3,0.3252,20.2,27.9,0.7168,10.4,46.0,21.7,8.7,4.3,15.0,21.7,41.0,91.4,0.4487,8.9,25.7,0.357,20.5,25.8,0.783,10.6,51.3,20.4,7.6,5.9,14.5,22.8,109.55999999999999,106.0
8.5,0.0,0.7,0.0,0.3,106.5,112.4,37.5,89.6,0.4191,10.7,33.9,0.31489999999999996,20.8,28.4,0.7236,10.1,45.0,20.3,8.2,3.9,14.9,21.2,41.9,90.5,0.46290000000000003,9.3,25.9,0.36899999999999994,19.3,24.7,0.7752999999999999,10.2,50.9,20.2,8.2,6.0,14.5,23.2,108.85,102.0
9.5,0.0,0.6,0.0,0.3,104.6,110.8,37.4,88.8,0.42169999999999996,11.0,33.9,0.3235,18.8,26.6,0.6978999999999999,9.6,44.4,20.8,7.8,3.8,14.8,20.9,41.7,90.8,0.4588,9.4,26.3,0.3675,18.0,23.4,0.7693,10.5,51.4,19.7,8.2,5.8,14.8,22.3,108.22999999999999,118.0
10.5,0.0,0.6,0.0,0.3,105.2,110.8,37.7,87.9,0.42989999999999995,11.0,33.0,0.3324,18.8,26.5,0.7015,9.0,44.2,21.3,7.5,3.7,14.8,20.8,41.7,90.6,0.4601,9.4,25.4,0.37940000000000007,18.0,23.2,0.7746999999999998,10.6,50.6,19.7,8.3,5.7,14.3,22.5,107.42,111.0
11.5,0.0,0.5,0.0,0.3,107.7,111.9,38.1,89.9,0.42569999999999997,11.5,34.8,0.32900000000000007,20.0,28.3,0.6993,9.8,45.9,21.9,7.7,3.8,14.5,20.9,41.9,89.8,0.46630000000000005,9.5,25.1,0.38780000000000003,18.6,23.8,0.7855000000000001,9.3,50.8,20.7,8.4,6.5,14.7,23.3,107.13999999999999,109.0
12.5,0.0,0.6,0.0,0.3,107.5,111.4,38.4,88.4,0.437,11.7,35.4,0.32810000000000006,19.0,26.8,0.7003999999999999,8.9,44.5,22.1,7.7,3.6,14.9,21.2,41.5,88.6,0.4687,9.8,26.5,0.374,18.6,24.3,0.7695,9.3,49.5,20.5,8.5,6.0,15.1,23.0,107.25,125.0
13.5,0.0,0.6,0.0,0.3,108.6,111.9,39.2,88.2,0.44580000000000003,11.8,34.8,0.33910000000000007,18.4,25.9,0.7017999999999999,9.5,44.8,23.1,7.2,3.8,15.1,21.2,41.8,88.6,0.4718,9.4,25.8,0.36849999999999994,18.9,25.4,0.7491999999999999,9.5,47.4,21.1,8.5,6.8,14.0,22.0,106.64000000000001,98.0
14.5,0.0,0.6,0.0,0.4,107.2,108.3,38.8,86.5,0.4497,12.2,33.9,0.3602,17.4,24.4,0.7080999999999998,9.9,44.8,22.7,7.1,4.0,15.2,21.2,40.2,87.2,0.4607,9.3,26.2,0.3576,18.6,24.5,0.7676999999999998,9.9,45.2,20.0,8.3,6.4,13.8,21.5,106.93999999999998,103.0
15.5,0.0,0.6,0.0,0.3,107.7,110.8,39.3,86.4,0.45600000000000007,12.4,34.6,0.36080000000000007,16.7,23.2,0.7155999999999999,9.4,44.3,23.1,6.6,4.0,14.9,20.1,41.4,87.2,0.4746,10.7,28.7,0.37359999999999993,17.3,23.0,0.7584000000000001,9.3,44.2,21.8,8.3,6.1,13.6,20.5,106.33999999999999,109.0
16.5,0.0,0.6,0.0,0.4,108.2,110.0,39.7,86.5,0.45999999999999996,12.4,34.0,0.36729999999999996,16.4,23.5,0.6942999999999999,10.0,44.8,23.4,5.9,3.5,13.8,20.6,40.9,86.3,0.4737,10.7,28.0,0.38039999999999996,17.5,23.1,0.7644,9.1,43.9,21.8,7.2,5.5,12.8,20.7,106.17,102.0
17.5,0.0,0.5,0.0,0.3,108.3,111.7,39.2,85.6,0.4586,12.9,34.4,0.3762,17.0,23.7,0.7173999999999999,10.1,44.5,23.5,5.3,3.9,14.7,21.1,41.6,86.7,0.47909999999999997,10.9,28.4,0.3826,17.6,23.4,0.7539999999999999,9.2,43.5,21.9,8.0,5.6,12.6,20.9,106.62000000000003,110.0
18.5,0.0,0.5,0.0,0.4,108.7,109.3,39.8,86.5,0.4607,13.7,35.7,0.3874999999999999,15.4,21.3,0.7297,10.3,45.6,25.1,5.3,4.1,15.2,21.7,40.5,86.4,0.46749999999999997,10.7,28.5,0.3747,17.6,23.6,0.7478000000000001,8.9,42.9,21.8,7.7,5.5,12.8,19.9,107.33000000000001,100.0
19.5,0.0,0.5,0.0,0.5,108.5,107.9,39.4,85.7,0.46019999999999994,13.4,35.9,0.3772,16.3,22.7,0.7304999999999999,10.1,46.2,24.9,5.2,4.5,15.1,21.4,40.4,87.6,0.46099999999999997,10.5,28.2,0.37059999999999993,16.6,23.2,0.7185,9.7,43.4,22.1,7.5,5.5,12.6,21.0,107.65,89.0
20.5,0.0,0.5,0.0,0.4,105.6,107.3,38.4,85.4,0.4497,12.4,34.9,0.3572,16.4,22.6,0.7396999999999999,10.5,46.9,23.8,4.7,4.6,15.1,21.0,40.7,88.7,0.45830000000000004,10.1,28.3,0.354,15.8,22.2,0.712,9.5,43.9,21.5,7.5,5.7,11.5,20.8,107.92999999999999,103.0
21.5,0.0,0.5,0.0,0.5,104.8,105.3,38.4,84.3,0.4544,11.8,34.4,0.3472,16.2,22.0,0.7463,10.1,47.0,24.0,4.4,5.0,15.2,21.0,39.9,89.2,0.44720000000000004,9.5,28.1,0.3304999999999999,16.0,22.1,0.7242,10.1,43.1,20.4,7.5,4.6,11.0,20.7,108.00999999999999,104.0
22.5,0.0,0.4,0.0,0.5,104.3,104.5,37.9,84.5,0.4471,11.6,34.9,0.338,16.9,22.7,0.7558,10.4,47.1,23.5,4.9,5.2,15.0,21.0,39.7,89.9,0.44089999999999996,9.1,26.7,0.33929999999999993,16.0,21.6,0.7402,10.9,43.8,20.6,7.8,4.8,11.3,21.1,107.87,87.0
23.5,0.0,0.5,0.0,0.5,100.5,103.8,36.1,82.1,0.43920000000000003,11.3,34.7,0.32839999999999997,17.0,22.5,0.7686,9.7,46.1,22.5,4.9,4.7,16.3,20.2,40.3,90.0,0.4466,9.2,28.0,0.3243,14.0,19.0,0.7243999999999999,10.8,43.8,20.8,8.4,4.0,11.4,21.1,107.83,97.0
24.5,0.0,0.4,0.0,0.4,100.4,105.9,36.2,82.8,0.4366,11.2,35.1,0.31999999999999995,16.8,22.3,0.767,9.2,44.7,23.2,4.9,4.2,15.5,19.7,41.4,89.6,0.46319999999999995,9.2,27.3,0.33670000000000005,13.9,19.1,0.7143999999999999,10.3,44.6,21.4,8.2,4.4,11.5,20.7,107.53000000000002,99.0
