Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER,gamePoints
5.5,0.0,0.5,0.0,0.2,93.6,101.0,35.1,86.9,0.404,10.2,31.7,0.3236,13.2,16.9,0.7808999999999999,10.7,47.5,22.0,7.0,3.7,14.7,17.6,38.2,84.9,0.4509,11.0,29.2,0.3624,13.6,17.5,0.7487999999999999,8.2,45.8,24.5,8.5,3.2,13.1,16.5,107.1,94.0
6.5,0.0,0.5,0.0,0.2,93.0,102.6,35.4,86.6,0.40890000000000004,9.8,30.8,0.3184,12.4,16.4,0.7535000000000001,10.2,46.4,22.0,7.2,3.9,14.1,16.8,39.4,85.1,0.46390000000000003,11.5,29.0,0.3843,12.3,16.3,0.7372,7.7,45.3,25.2,8.0,3.4,12.7,16.2,107.0,79.0
7.5,0.0,0.6,0.0,0.2,93.2,103.1,34.9,85.9,0.4058,10.1,30.9,0.3277,13.3,17.5,0.7556999999999999,10.0,45.4,21.8,7.6,3.6,13.5,18.0,38.2,83.0,0.4591,12.2,30.8,0.4027000000000001,14.5,18.4,0.7612,7.4,44.9,24.2,7.9,3.3,12.9,16.7,107.22,123.0
8.5,0.0,0.5,0.0,0.3,94.3,103.2,35.4,86.2,0.40969999999999995,10.1,31.0,0.3262,13.4,17.5,0.7634,9.6,45.0,21.6,8.2,3.5,13.7,18.3,38.1,82.8,0.45920000000000005,11.6,29.1,0.40820000000000006,15.4,19.6,0.7604,7.1,45.2,23.3,7.7,3.2,13.2,16.8,107.01000000000002,105.0
9.5,0.0,0.6,0.0,0.2,95.7,105.9,36.5,87.7,0.41530000000000006,10.6,31.4,0.3376,12.1,16.0,0.7518,9.0,43.5,21.6,8.2,3.2,13.5,18.9,39.4,83.6,0.47030000000000005,11.2,29.0,0.39479999999999993,15.9,20.5,0.7485,7.3,46.0,24.3,7.2,3.1,13.4,16.1,107.17,94.0
10.5,0.0,0.7,0.0,0.2,98.2,106.1,37.9,89.3,0.42539999999999994,10.7,31.3,0.34120000000000006,11.7,15.6,0.7455999999999999,9.3,44.2,22.2,7.7,3.1,13.0,19.2,39.1,83.8,0.4660000000000001,11.2,29.6,0.3891,16.7,21.6,0.7491,7.4,46.1,23.8,6.3,2.9,13.5,16.0,107.25999999999999,80.0
11.5,0.0,0.7,0.0,0.2,97.1,107.4,37.2,88.2,0.42219999999999996,10.5,30.6,0.34,12.2,15.7,0.7674,9.4,43.1,21.7,7.3,2.6,13.4,19.4,39.7,84.1,0.4715000000000001,11.4,30.0,0.39039999999999997,16.6,21.6,0.7438,7.9,45.8,24.0,6.5,3.4,13.1,15.6,106.97999999999999,94.0
12.5,0.0,0.7,0.0,0.1,96.0,113.4,36.7,89.6,0.4105,10.4,31.3,0.32780000000000004,12.2,16.0,0.7489999999999999,9.8,42.3,21.2,7.4,2.6,13.5,19.8,41.5,84.6,0.48900000000000005,12.0,30.1,0.4062,18.4,23.2,0.7837999999999999,7.8,46.9,25.3,7.0,4.3,12.6,16.0,106.72999999999999,93.0
13.5,0.0,0.7,0.0,0.1,96.3,113.8,36.5,88.6,0.4122,10.7,30.4,0.344,12.6,16.4,0.7552999999999999,8.9,41.2,21.4,7.4,2.3,13.1,19.7,41.4,83.4,0.4941000000000001,12.4,30.2,0.4178,18.6,23.3,0.7890999999999999,7.4,46.2,24.9,7.0,4.4,12.5,16.5,106.58,99.0
14.5,0.0,0.6,0.0,0.1,94.8,112.3,36.3,90.0,0.40259999999999996,11.2,31.5,0.34609999999999996,11.0,14.6,0.7431999999999999,9.0,41.6,21.5,7.5,2.8,12.7,19.4,40.8,84.0,0.4835,12.2,30.7,0.4025,18.5,23.2,0.7879999999999999,8.0,48.2,25.2,6.9,4.8,12.5,15.5,107.22999999999999,110.0
