Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER
5.5,0.0,0.4,0.0,0.2,107.2,115.0,39.4,85.9,0.4584,11.5,29.8,0.3849,16.9,22.0,0.7757000000000002,7.9,41.2,23.9,6.5,5.1,14.4,21.3,41.5,91.2,0.4535,13.2,36.9,0.3507,18.8,22.8,0.8196999999999999,11.6,47.1,24.9,8.3,6.7,12.7,18.7,109.68999999999998,116.0
6.5,0.0,0.4,0.0,0.3,108.0,113.8,39.3,85.3,0.4601,11.2,29.5,0.37829999999999997,18.2,23.8,0.7740000000000001,8.5,42.1,22.6,7.0,5.4,15.1,21.2,41.2,92.5,0.44489999999999996,12.7,35.9,0.34430000000000005,18.7,22.7,0.8193999999999999,12.6,47.8,23.9,8.0,6.5,13.1,19.7,110.08,98.0
7.5,0.0,0.5,0.0,0.3,106.2,112.7,38.7,86.2,0.44909999999999994,11.4,30.5,0.374,17.4,22.9,0.7696999999999999,8.7,42.6,21.8,7.5,5.8,15.1,20.8,41.3,91.8,0.449,12.0,34.9,0.336,18.1,22.1,0.8117000000000001,11.9,48.4,25.0,8.1,7.1,13.7,19.2,110.41,99.0
8.5,0.0,0.4,0.0,0.4,105.2,111.0,38.5,86.4,0.44539999999999996,10.8,30.0,0.3564,17.4,22.9,0.7696999999999999,8.5,43.0,22.0,7.6,5.9,14.3,19.8,41.2,91.6,0.44889999999999997,11.3,32.3,0.34220000000000006,17.3,21.8,0.7832000000000001,12.1,49.6,24.0,7.8,7.5,13.4,19.3,111.06999999999998,98.0
9.5,0.0,0.4,0.0,0.3,103.8,110.3,38.3,87.6,0.4366,10.6,30.4,0.3461,16.6,21.6,0.7806,8.4,43.0,21.5,8.3,5.7,14.6,20.0,41.2,91.0,0.45220000000000005,11.3,32.1,0.3439,16.6,21.8,0.7590000000000001,12.0,50.9,23.5,8.4,7.7,14.7,19.5,110.88999999999999,82.0
10.5,0.0,0.4,0.0,0.3,101.4,107.9,37.9,87.5,0.4324,9.7,29.1,0.3321,15.9,20.3,0.8078999999999998,8.3,44.3,21.0,8.6,5.3,15.5,20.0,40.1,90.7,0.44189999999999996,11.4,32.3,0.3442,16.3,21.6,0.7509,11.7,51.0,23.2,8.6,7.2,15.0,18.9,110.4,104.0
11.5,0.0,0.4,0.0,0.2,102.1,111.7,38.4,88.6,0.4326,9.8,29.1,0.33509999999999995,15.5,20.0,0.7958000000000001,7.9,42.7,20.7,8.0,5.0,14.7,19.4,42.1,91.6,0.4603,12.0,32.6,0.3561,15.5,21.0,0.733,11.7,51.7,24.0,8.5,7.2,14.4,19.0,109.59,83.0
12.5,0.0,0.4,0.0,0.2,98.0,109.0,36.8,87.8,0.41859999999999997,9.5,28.3,0.33329999999999993,14.9,18.7,0.8054,7.4,41.7,20.3,8.7,5.0,16.0,19.4,41.6,90.9,0.45899999999999996,11.0,31.6,0.3428,14.8,19.7,0.7522000000000001,11.7,52.2,23.7,9.0,7.5,16.0,18.5,109.42,124.0
13.5,0.0,0.4,0.0,0.3,99.7,109.8,37.5,86.7,0.43299999999999994,9.0,27.4,0.33019999999999994,15.7,19.3,0.8207000000000001,6.8,41.3,20.4,8.8,4.6,16.4,19.0,41.9,90.8,0.4625,11.3,32.4,0.3453,14.7,18.9,0.7911000000000001,10.6,50.2,24.1,9.2,7.1,15.7,18.9,110.04,96.0
14.5,0.0,0.4,0.0,0.3,98.8,109.4,36.8,87.2,0.42300000000000004,8.4,27.1,0.3133,16.8,20.4,0.8267999999999999,6.8,42.1,19.4,9.4,4.5,16.7,19.3,41.6,91.0,0.4579,11.6,33.2,0.3478,14.6,19.8,0.7615000000000001,10.7,50.8,24.0,9.4,7.3,16.0,19.7,110.15,96.0
