Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER
5.5,0.0,0.5,0.0,0.5,104.1,105.1,37.5,84.5,0.44210000000000005,9.5,26.4,0.3632000000000001,19.6,28.7,0.6745,9.6,48.8,19.0,5.6,4.3,13.7,19.2,38.8,90.8,0.42940000000000006,11.2,32.5,0.3409,16.3,20.0,0.8157,9.3,45.5,23.1,7.6,4.3,12.5,23.8,108.4,113.0
6.5,0.0,0.5,0.0,0.5,106.4,106.7,38.8,86.3,0.4486,10.1,27.1,0.37370000000000003,18.7,27.5,0.6776,11.0,48.1,19.8,6.0,4.2,13.3,19.9,39.2,88.7,0.4467,11.5,32.4,0.35429999999999995,16.8,20.9,0.8001999999999999,9.0,44.3,23.6,6.7,4.5,13.3,23.6,108.7,87.0
7.5,0.0,0.6,0.0,0.4,104.2,106.6,38.2,85.7,0.4444,9.6,25.7,0.3704,18.2,27.8,0.6552,10.5,47.1,20.1,6.0,4.5,12.6,20.2,38.6,87.6,0.4445,11.7,32.5,0.36,17.7,22.0,0.7985,9.3,45.4,23.2,6.2,4.6,13.3,23.3,108.01000000000002,107.0
8.5,0.0,0.5,0.0,0.4,105.5,107.8,39.0,86.5,0.44980000000000003,9.5,25.7,0.3666,18.0,27.0,0.6648,10.3,46.4,20.5,6.4,4.5,12.5,20.0,38.8,88.6,0.44160000000000005,12.1,33.7,0.35960000000000003,18.1,22.4,0.8009999999999999,10.4,46.3,23.3,6.3,4.6,13.3,23.0,108.2,120.0
9.5,0.0,0.6,0.0,0.3,106.5,110.8,39.4,86.5,0.4548,9.2,24.7,0.3723,18.5,27.8,0.6605,9.8,45.6,20.7,6.2,4.2,12.3,19.9,39.7,87.7,0.45520000000000005,13.0,34.0,0.38380000000000003,18.4,22.2,0.8333,9.0,44.7,24.1,6.6,4.7,13.1,23.0,108.25,102.0
10.5,0.0,0.6,0.0,0.4,107.4,108.6,39.5,86.4,0.45640000000000003,9.2,24.4,0.3767,19.2,27.9,0.6827,9.5,46.1,21.1,6.3,4.6,12.2,20.1,39.2,87.5,0.45030000000000003,11.6,31.2,0.3728000000000001,18.6,22.8,0.8170999999999999,9.0,44.0,23.8,6.6,4.7,13.0,22.6,108.61000000000001,118.0
11.5,0.0,0.6,0.0,0.4,107.2,107.5,38.4,85.2,0.45119999999999993,9.7,25.2,0.3857,20.7,29.1,0.7149,9.4,45.4,20.2,6.2,4.6,12.2,19.5,38.8,86.8,0.44909999999999994,11.1,30.6,0.3617,18.8,22.8,0.8248,9.1,43.9,22.3,6.3,4.9,12.9,22.7,108.69000000000001,129.0
12.5,0.0,0.5,0.0,0.4,109.7,110.0,39.0,85.4,0.4569,10.0,26.3,0.3802,21.7,30.2,0.7181,9.8,44.6,21.0,6.4,4.4,12.2,19.3,40.4,87.4,0.46320000000000006,11.4,30.4,0.37210000000000004,17.8,21.7,0.8203000000000001,8.9,43.4,23.1,6.0,4.7,13.4,23.4,108.42999999999999,99.0
13.5,0.0,0.6,0.0,0.3,107.0,107.9,38.1,86.4,0.44159999999999994,9.7,26.7,0.3621000000000001,21.1,30.0,0.7015,10.6,46.0,21.4,6.3,4.4,12.0,19.2,39.7,86.6,0.4595000000000001,10.8,30.7,0.3526,17.7,21.7,0.8136000000000001,8.3,43.9,22.7,6.1,5.1,13.2,23.3,108.62,86.0
14.5,0.0,0.5,0.0,0.3,105.5,107.7,37.9,86.8,0.4372,9.3,26.8,0.3448,20.4,28.4,0.7141,10.9,45.6,21.8,5.9,4.7,12.2,19.1,39.7,86.4,0.4606,10.5,30.5,0.3433,17.8,21.6,0.8208,8.4,43.9,21.8,6.2,5.2,12.8,22.6,108.62,113.0
15.5,0.0,0.5,0.0,0.3,107.4,109.1,37.9,85.8,0.44239999999999996,9.3,25.9,0.3601,22.3,29.8,0.7474000000000001,10.6,45.2,22.0,5.7,4.6,12.3,18.4,41.1,87.9,0.46790000000000004,10.9,31.3,0.3454000000000001,16.0,19.7,0.8068,8.3,42.4,22.2,6.4,5.0,12.1,23.0,108.12,100.0
16.5,0.0,0.5,0.0,0.3,106.1,107.8,37.5,84.6,0.4443,8.3,24.2,0.34459999999999996,22.8,30.2,0.7555000000000001,9.9,45.2,21.7,5.8,4.9,13.2,18.6,40.5,88.4,0.4567,11.1,32.3,0.33740000000000003,15.7,19.7,0.7925,8.6,42.8,21.8,6.7,4.9,12.6,23.5,107.72999999999999,104.0
17.5,0.0,0.4,0.0,0.4,107.8,108.2,37.8,85.0,0.446,8.0,23.7,0.33490000000000003,24.2,30.9,0.7804000000000001,10.3,45.7,21.4,6.6,4.7,13.2,18.3,41.1,88.2,0.4649,11.2,32.4,0.33970000000000006,14.8,18.6,0.7942,8.2,41.9,22.7,6.6,4.9,13.3,23.9,108.35000000000002,87.0
18.5,0.0,0.4,0.0,0.4,105.8,106.8,37.1,86.1,0.43339999999999995,8.0,23.0,0.34340000000000004,23.6,29.8,0.789,10.9,46.5,21.0,6.4,4.5,13.1,17.7,40.9,87.1,0.4683,11.0,31.6,0.3422,14.0,17.9,0.7811000000000001,7.4,41.5,22.8,6.5,5.7,13.5,23.5,107.93000000000002,111.0
19.5,0.0,0.3,0.0,0.4,104.9,106.4,36.9,88.0,0.4215000000000001,8.0,23.8,0.3303,23.1,29.3,0.7849,11.3,47.3,21.3,6.8,5.4,13.0,18.2,41.0,87.9,0.4652,9.9,30.0,0.3255,14.5,18.8,0.7661,7.6,43.6,22.5,6.1,6.2,13.8,24.0,107.92999999999999,99.0
20.5,0.0,0.3,0.0,0.3,104.6,108.7,37.6,88.6,0.42650000000000005,7.7,23.7,0.31999999999999995,21.7,27.8,0.7699,11.4,46.7,21.4,6.8,4.8,13.3,18.7,42.0,88.1,0.4760000000000001,10.0,29.8,0.33120000000000005,14.7,19.0,0.7690999999999999,7.5,43.8,23.1,6.3,6.1,13.8,23.9,107.72999999999999,116.0
21.5,0.0,0.4,0.0,0.3,104.4,108.8,37.7,88.2,0.43019999999999997,7.9,23.6,0.3297,21.1,27.3,0.7614,11.2,45.6,21.4,7.0,4.5,12.8,18.9,41.8,87.6,0.4761,10.3,29.7,0.34360000000000007,14.9,18.9,0.7805000000000001,7.6,43.9,23.4,5.9,5.7,14.2,23.7,107.35,96.0
22.5,0.0,0.5,0.0,0.2,101.1,107.2,37.0,87.8,0.42429999999999995,7.3,22.9,0.31299999999999994,19.8,26.0,0.753,11.0,46.4,20.5,6.9,4.5,12.9,18.4,40.9,86.5,0.47189999999999993,10.9,30.9,0.3481000000000001,14.5,18.6,0.7716,7.3,44.1,23.3,6.2,5.6,14.0,22.6,107.14999999999998,98.0
23.5,0.0,0.4,0.0,0.2,101.0,107.6,36.8,86.7,0.42699999999999994,7.2,22.7,0.3121,20.2,26.0,0.7677999999999999,10.6,45.1,20.1,7.2,4.3,13.6,18.1,41.0,86.0,0.4760999999999999,10.7,30.1,0.3503,14.9,18.8,0.7865,7.5,43.6,23.3,6.8,5.7,14.4,22.5,106.62,91.0
24.5,0.0,0.4,0.0,0.2,101.5,106.3,37.0,87.9,0.4245,7.5,23.3,0.3187,20.0,26.2,0.7551999999999999,10.5,46.0,19.9,7.4,4.2,12.8,18.3,40.8,85.8,0.47479999999999994,11.1,30.0,0.368,13.6,18.1,0.7485,7.2,43.8,23.0,6.2,5.3,15.3,22.7,106.76000000000002,109.0
