Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER,gamePoints
5.5,0.0,0.5,0.0,0.5,115.7,108.1,42.7,91.2,0.4694,12.5,34.7,0.36160000000000003,17.8,21.6,0.8299,10.6,45.1,25.1,6.0,6.8,12.0,20.9,39.5,87.2,0.4544,11.1,32.2,0.34550000000000003,18.0,23.0,0.7875000000000001,9.8,44.0,22.8,7.1,6.6,14.0,21.9,109.08,113.0
6.5,0.0,0.5,0.0,0.6,115.8,107.0,43.1,91.2,0.4736999999999999,12.2,34.0,0.36140000000000005,17.4,21.2,0.8219000000000001,10.5,45.3,25.7,6.1,6.3,13.0,20.6,39.4,87.2,0.4532,10.3,31.8,0.32430000000000003,17.9,22.8,0.7903,9.4,42.0,22.4,7.9,7.1,14.1,21.2,109.89000000000001,132.0
7.5,0.0,0.5,0.0,0.5,117.0,111.5,43.1,93.0,0.46609999999999996,12.1,34.2,0.3567,18.7,23.2,0.8119,10.7,44.7,25.0,6.5,6.4,11.9,22.2,40.3,87.2,0.4628,10.9,32.4,0.33730000000000004,20.0,25.5,0.7945,9.5,43.5,23.9,7.4,7.9,14.2,22.9,110.03000000000002,113.0
8.5,0.0,0.5,0.0,0.5,117.0,110.6,43.3,92.2,0.4726,11.6,32.8,0.3579,18.8,22.7,0.8356,10.1,45.3,25.1,6.5,6.0,12.0,22.1,40.0,88.7,0.4532,11.0,33.4,0.33220000000000005,19.6,24.7,0.8029999999999999,10.5,43.7,23.9,7.5,7.2,13.7,22.0,110.18999999999998,89.0
9.5,0.0,0.5,0.0,0.5,115.3,109.2,42.5,92.0,0.465,11.5,34.1,0.3453,18.8,22.8,0.8312000000000002,9.9,44.9,25.2,7.2,5.9,11.7,21.8,39.5,88.5,0.4486,10.8,31.9,0.3479,19.4,24.5,0.8006,11.4,45.1,22.6,7.0,6.7,14.3,21.9,111.17999999999999,119.0
10.5,0.0,0.4,0.0,0.5,116.2,110.2,43.0,93.4,0.46390000000000003,11.5,33.7,0.3489999999999999,18.7,22.6,0.8341,10.0,46.2,25.2,7.7,5.7,12.8,22.7,39.7,90.1,0.44239999999999996,10.9,32.5,0.34480000000000005,19.9,24.8,0.8074,11.4,45.9,22.8,7.5,6.8,14.8,21.9,110.79,117.0
11.5,0.0,0.4,0.0,0.5,114.4,110.8,42.0,93.0,0.45519999999999994,11.6,34.6,0.3418,18.8,23.2,0.8130000000000001,9.7,45.6,24.0,7.2,5.0,13.1,22.5,40.5,90.5,0.4495,10.2,32.1,0.32850000000000007,19.6,24.4,0.8069,11.4,46.6,23.8,7.9,6.7,14.7,22.5,110.21,127.0
12.5,0.0,0.3,0.0,0.6,116.8,111.2,42.8,91.5,0.4725999999999999,12.5,34.0,0.3782,18.7,23.0,0.8161000000000002,9.4,44.4,25.1,7.6,4.5,13.4,21.5,41.1,89.8,0.4597999999999999,10.3,32.6,0.32610000000000006,18.7,23.1,0.8177000000000001,11.0,44.7,24.6,8.0,6.6,15.0,22.1,109.91000000000001,104.0
13.5,0.0,0.4,0.0,0.5,114.7,110.8,42.7,92.8,0.46399999999999997,11.8,34.3,0.3512,17.5,21.5,0.819,9.7,45.1,24.8,7.7,4.5,13.3,21.0,41.1,90.4,0.4567999999999999,10.3,33.1,0.32010000000000005,18.3,23.1,0.8011000000000001,11.1,45.9,24.5,7.7,6.3,14.9,21.3,109.85,123.0
14.5,0.0,0.5,0.0,0.5,116.3,112.1,43.0,92.7,0.46769999999999995,12.5,34.7,0.3644,17.8,22.1,0.8102,9.6,44.2,25.2,7.8,4.6,12.6,19.9,42.0,90.2,0.4673,11.1,33.3,0.3395,17.0,21.3,0.8013999999999999,10.6,45.1,25.9,7.0,6.3,15.4,21.5,110.50999999999999,110.0
15.5,0.0,0.5,0.0,0.5,114.7,113.4,41.6,91.7,0.4575,12.8,34.6,0.3759,18.7,23.8,0.7879,8.9,43.6,24.4,8.4,4.4,12.2,20.4,42.2,91.1,0.46519999999999995,11.7,35.3,0.33580000000000004,17.3,21.9,0.7891,11.3,47.3,26.2,6.7,6.6,15.5,21.7,109.33,108.0
16.5,0.0,0.5,0.0,0.5,114.2,112.6,40.9,90.8,0.45439999999999997,11.9,33.5,0.354,20.5,25.7,0.808,8.6,43.7,23.7,9.0,4.5,11.5,20.9,41.3,91.9,0.4514,12.2,36.7,0.34080000000000005,17.8,22.3,0.7977,12.2,49.0,26.0,6.5,6.5,15.2,22.4,109.33,111.0
17.5,0.0,0.4,0.0,0.5,112.1,111.2,41.3,89.3,0.4648,11.2,32.3,0.3461,18.3,23.0,0.7945,7.9,42.6,23.1,8.8,4.3,11.9,19.3,41.2,90.6,0.45780000000000004,12.8,37.0,0.35340000000000005,16.0,20.0,0.7943,11.5,47.2,25.9,6.7,5.5,15.0,20.4,108.96,109.0
18.5,0.0,0.3,0.0,0.4,111.7,112.8,40.9,89.9,0.45710000000000006,11.1,33.1,0.3346,18.8,24.0,0.7806,8.4,42.1,23.2,9.1,4.1,11.8,18.6,41.8,88.8,0.4725,12.7,35.8,0.3605,16.5,20.5,0.7987,10.2,47.1,26.8,6.8,5.6,15.7,21.1,109.29,104.0
19.5,0.0,0.3,0.0,0.4,113.2,113.6,41.6,90.2,0.46320000000000006,11.5,32.3,0.35150000000000003,18.5,23.6,0.7817,8.5,42.4,23.7,8.6,3.8,11.9,19.0,42.1,89.2,0.4734999999999999,12.6,35.8,0.35629999999999995,16.8,21.3,0.7804,9.8,46.1,27.9,6.9,6.4,15.3,20.6,108.84,113.0
20.5,0.0,0.3,0.0,0.5,112.6,112.1,40.7,88.9,0.45920000000000005,11.8,32.7,0.3563,19.4,24.7,0.7786,8.9,42.3,23.4,8.4,4.4,11.1,18.1,42.1,90.0,0.4702,12.3,35.8,0.3478,15.6,20.1,0.7744,10.9,46.3,28.0,6.6,7.0,14.3,21.0,108.75,119.0
21.5,0.0,0.4,0.0,0.5,112.8,111.6,40.6,88.7,0.45919999999999994,11.5,32.0,0.355,20.1,25.2,0.7910999999999999,8.7,42.1,23.5,9.0,4.5,11.0,18.2,42.0,90.4,0.46690000000000004,12.7,35.2,0.36970000000000003,14.9,19.0,0.7879,10.9,46.3,27.7,6.2,6.6,14.8,21.3,109.33000000000001,108.0
22.5,0.0,0.4,0.0,0.5,110.9,111.4,39.6,89.2,0.4440999999999999,10.6,31.9,0.32500000000000007,21.1,26.7,0.7831,8.7,42.7,22.6,9.0,4.7,10.5,18.4,41.9,90.6,0.46460000000000007,12.9,35.3,0.3746,14.7,19.4,0.7605000000000001,10.9,47.5,27.4,6.1,6.9,14.8,22.0,109.6,124.0
23.5,0.0,0.3,0.0,0.5,112.9,113.1,40.1,90.0,0.4454999999999999,12.0,33.6,0.34730000000000005,20.7,26.3,0.7773999999999999,8.5,43.2,24.0,8.9,4.7,10.8,18.6,42.5,91.1,0.4685,13.0,35.4,0.3766,15.1,20.1,0.7583,10.7,47.5,27.7,6.6,7.5,14.4,21.8,110.24000000000001,100.0
24.5,0.0,0.2,0.0,0.5,110.6,113.5,39.9,90.0,0.4433000000000001,10.9,32.0,0.33140000000000003,19.9,25.3,0.7786,8.4,42.8,23.2,8.4,4.9,11.6,19.0,42.4,90.9,0.46860000000000007,12.8,34.9,0.37679999999999997,15.9,21.4,0.7523,10.8,48.6,27.7,7.3,7.2,14.4,21.5,109.83,110.0
25.5,0.0,0.2,0.0,0.5,110.6,112.7,40.8,91.1,0.44749999999999995,10.6,31.6,0.3266,18.4,23.2,0.7752999999999999,9.2,43.5,23.5,7.9,4.9,11.7,18.2,42.8,90.4,0.47570000000000007,12.2,32.6,0.3855,14.9,20.5,0.7295999999999999,10.2,47.3,27.6,7.4,7.3,13.7,21.1,111.00999999999999,98.0
26.5,0.0,0.2,0.0,0.5,109.6,111.9,40.3,90.3,0.4457,11.4,32.0,0.3566,17.6,22.3,0.7709999999999999,9.8,43.4,23.4,7.1,4.9,11.9,18.4,42.8,89.3,0.4803,11.9,31.6,0.384,14.4,20.5,0.7068000000000001,9.8,46.0,27.7,7.1,7.0,13.2,20.8,110.57000000000001,103.0
27.5,0.0,0.3,0.0,0.5,108.8,111.9,39.4,89.6,0.4394,11.3,32.4,0.3495,18.7,23.6,0.7826000000000001,10.0,43.3,23.9,7.2,5.1,12.0,18.4,42.7,89.8,0.476,11.4,31.5,0.37229999999999996,15.1,21.2,0.7146000000000001,10.3,46.6,27.5,7.4,6.9,13.2,21.7,110.75,132.0
28.5,0.0,0.4,0.0,0.5,111.1,113.4,40.2,91.1,0.44079999999999997,11.8,31.9,0.3701,18.9,23.8,0.7843000000000001,10.1,44.5,24.0,7.1,4.8,12.2,18.5,43.4,91.6,0.47379999999999994,12.2,33.0,0.3783,14.4,20.6,0.7035,10.4,47.3,27.6,7.6,7.1,13.2,21.8,110.45,100.0
