Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER
5.5,0.0,0.3,0.0,0.9,110.6,103.5,39.1,87.9,0.4466,13.2,35.4,0.3771,19.2,25.1,0.7497,11.1,45.3,22.5,7.6,4.9,12.2,19.1,39.5,89.3,0.4427,10.1,28.7,0.3373,14.4,19.6,0.7394999999999999,11.3,44.0,21.1,6.5,4.8,13.5,22.7,108.21000000000001,93.0
6.5,0.0,0.4,0.0,0.8,108.2,105.0,38.1,87.1,0.4394,13.0,34.9,0.3767,19.0,25.2,0.736,11.1,45.3,21.3,6.7,4.9,12.6,18.5,40.6,89.2,0.4559,10.2,28.8,0.3397,13.6,18.7,0.7281,10.5,43.8,21.6,6.7,5.4,12.7,22.1,107.94000000000001,104.0
7.5,0.0,0.3,0.0,0.8,109.2,104.0,38.8,87.5,0.44580000000000003,12.9,34.2,0.3832,18.7,24.4,0.7562000000000001,10.7,46.5,21.9,6.3,5.4,12.2,18.4,40.0,89.5,0.44820000000000004,10.4,29.1,0.34629999999999994,13.6,18.9,0.7186999999999999,9.8,43.1,22.7,6.3,5.5,11.6,21.6,107.9,137.0
8.5,0.0,0.3,0.0,0.8,112.4,106.6,40.0,87.7,0.45820000000000005,13.9,34.1,0.41179999999999994,18.5,24.1,0.757,10.3,46.6,23.2,6.1,5.1,12.3,17.2,40.9,90.1,0.45520000000000005,10.9,29.2,0.36249999999999993,13.9,18.2,0.7556999999999999,9.4,41.9,23.3,6.3,5.6,10.5,21.6,107.87,128.0
9.5,0.0,0.3,0.0,0.8,112.4,103.6,40.0,87.9,0.45700000000000013,14.3,35.2,0.4083,18.1,23.4,0.7647999999999999,10.0,46.7,24.0,6.6,5.2,12.6,16.7,40.3,90.2,0.4481,10.0,28.3,0.34679999999999994,13.0,16.9,0.7544,9.4,42.6,23.2,6.3,5.8,11.1,21.2,107.8,112.0
10.5,0.0,0.4,0.0,0.8,110.8,102.2,39.7,88.7,0.4495,14.1,35.8,0.3971,17.3,22.5,0.764,10.7,47.1,23.5,6.5,4.9,12.7,16.2,40.0,89.8,0.44689999999999996,10.4,28.5,0.3565,11.8,15.7,0.738,9.7,43.7,23.6,6.4,5.7,11.9,20.8,107.82000000000001,101.0
11.5,0.0,0.4,0.0,0.7,110.7,103.9,39.2,87.1,0.45149999999999996,14.1,35.9,0.3962,18.2,23.8,0.7604,10.3,45.7,22.9,6.2,5.0,13.0,16.6,40.6,89.7,0.45439999999999997,9.7,26.6,0.35649999999999993,13.0,16.8,0.7623,10.2,43.5,24.2,7.0,5.4,11.9,20.7,107.87,94.0
12.5,0.0,0.4,0.0,0.7,109.5,104.2,38.3,84.1,0.4547,13.9,34.1,0.4074999999999999,19.0,25.2,0.7507999999999999,9.6,45.4,22.0,5.5,5.2,14.2,17.0,40.7,90.5,0.45099999999999996,9.9,26.8,0.3605,12.9,16.8,0.7581999999999999,10.5,43.2,25.3,7.6,5.3,11.1,21.8,108.10000000000002,105.0
13.5,0.0,0.4,0.0,0.6,109.5,105.9,39.2,83.8,0.4669999999999999,13.5,33.4,0.40359999999999996,17.6,23.6,0.7277,8.9,44.0,23.4,5.1,4.7,14.5,16.4,41.6,91.4,0.45630000000000004,9.9,27.1,0.35719999999999996,12.8,16.6,0.7617,11.1,43.5,26.8,8.0,5.2,10.8,21.3,107.85000000000002,116.0
14.5,0.0,0.5,0.0,0.6,111.1,107.8,39.3,83.0,0.47220000000000006,13.5,32.8,0.41059999999999997,19.0,24.8,0.7559000000000001,9.0,43.5,23.0,5.2,4.2,15.0,17.2,41.8,90.7,0.46160000000000007,10.1,27.4,0.3599,14.1,18.1,0.7636000000000001,11.1,42.3,26.7,8.1,5.4,11.0,21.6,107.72,126.0
15.5,0.0,0.6,0.0,0.6,111.6,105.5,38.8,82.7,0.46799999999999997,14.4,33.5,0.4262,19.6,25.1,0.7684000000000001,9.0,43.5,22.7,5.9,3.9,14.5,17.2,40.7,89.8,0.4539000000000001,9.9,27.6,0.3506,14.2,17.8,0.7836,11.2,42.6,26.5,7.6,5.2,11.8,21.3,108.08000000000001,114.0
16.5,0.0,0.5,0.0,0.7,113.7,103.6,39.9,82.4,0.4827,14.2,32.9,0.42700000000000005,19.7,25.0,0.7767999999999999,9.0,43.1,23.1,6.3,4.3,13.8,17.2,39.5,90.2,0.4383,9.5,27.5,0.3371,15.1,18.8,0.7962,13.0,43.2,26.1,7.4,4.3,12.1,21.5,107.92,116.0
17.5,0.0,0.5,0.0,0.7,114.9,106.0,40.1,81.4,0.492,14.4,33.5,0.42489999999999994,20.3,26.4,0.7518,9.2,41.9,23.0,6.7,3.7,14.2,18.2,40.5,89.5,0.4524,9.9,28.3,0.3425,15.1,19.2,0.782,13.1,42.7,26.2,7.4,3.9,12.8,22.4,108.09,103.0
18.5,0.0,0.5,0.0,0.7,111.5,102.1,39.0,80.5,0.48440000000000005,13.5,33.0,0.4053,20.0,26.0,0.7516,9.3,42.4,22.1,6.9,3.8,14.9,18.3,39.3,89.1,0.44089999999999996,9.0,27.6,0.3159,14.5,18.8,0.7673000000000001,13.3,43.2,25.4,7.8,3.9,13.4,22.4,107.74000000000001,85.0
19.5,0.0,0.6,0.0,0.6,107.2,102.4,37.5,79.5,0.4711,12.4,31.2,0.3948,19.8,26.7,0.7243999999999999,9.1,41.6,20.1,7.0,3.7,14.6,18.3,39.1,88.1,0.4434,9.4,26.4,0.3452,14.8,19.2,0.7693999999999999,13.6,44.8,24.7,8.2,3.8,13.7,23.0,107.61999999999998,119.0
