Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER,gamePoints
5.5,0.0,0.5,0.0,0.1,105.5,116.3,39.5,87.5,0.45119999999999993,8.1,22.8,0.34840000000000004,18.4,22.4,0.8276999999999999,11.8,41.4,20.6,8.1,1.8,14.4,21.7,44.0,86.1,0.5135,12.2,30.5,0.39530000000000004,16.1,21.0,0.7704,9.3,41.6,25.1,7.7,5.7,14.7,20.3,109.58,86.0
6.5,0.0,0.4,0.0,0.1,103.7,114.2,39.4,87.9,0.44830000000000003,8.3,24.0,0.3406,16.6,19.8,0.8379,11.6,41.6,20.6,8.0,2.2,14.7,21.8,43.0,85.3,0.5063,11.5,29.9,0.37879999999999997,16.7,21.6,0.7796000000000001,9.2,41.7,24.0,8.4,5.9,15.0,19.7,109.54,98.0
7.5,0.0,0.4,0.0,0.1,101.2,111.0,38.8,87.7,0.44279999999999997,8.3,23.8,0.3439,15.3,18.7,0.8184000000000001,11.8,42.6,19.5,8.0,2.6,14.5,21.1,42.5,84.8,0.5033000000000001,11.2,29.2,0.37770000000000004,14.8,20.2,0.752,8.8,41.5,23.2,8.2,5.7,14.8,19.5,109.6,113.0
8.5,0.0,0.4,0.0,0.2,101.4,106.6,38.7,86.3,0.4492,8.6,23.5,0.3611,15.4,18.5,0.8373999999999999,11.7,43.7,19.5,8.0,2.7,14.6,20.6,41.0,84.5,0.48900000000000005,9.8,28.6,0.3504,14.8,20.2,0.752,9.1,40.8,22.2,8.5,5.4,14.5,18.5,109.48999999999998,95.0
9.5,0.0,0.5,0.0,0.2,102.3,108.3,38.8,85.1,0.4565,8.7,23.8,0.3634,16.0,20.0,0.8112999999999999,11.0,42.6,19.9,8.7,3.1,15.4,21.1,41.6,85.0,0.4930999999999999,9.7,29.2,0.3417,15.4,21.3,0.7412,9.5,40.8,22.9,9.4,5.6,14.9,19.4,109.88,102.0
10.5,0.0,0.5,0.0,0.2,102.2,108.6,38.2,84.1,0.4546999999999999,8.7,23.5,0.36819999999999997,17.1,21.9,0.7952,11.4,43.2,19.7,8.4,3.3,15.4,20.8,41.6,86.1,0.4866,9.9,30.2,0.33660000000000007,15.5,20.3,0.7773,9.5,41.0,23.4,9.5,5.5,13.9,20.0,109.87999999999997,105.0
11.5,0.0,0.5,0.0,0.2,102.0,107.6,38.1,85.7,0.44639999999999996,9.3,24.4,0.3784,16.5,21.2,0.7975999999999999,11.3,43.9,19.4,7.8,3.3,14.2,21.0,40.8,86.5,0.47300000000000003,10.3,31.4,0.33409999999999995,15.7,20.5,0.7795,9.8,43.7,22.9,8.4,6.1,13.9,20.5,110.17999999999999,121.0
12.5,0.0,0.6,0.0,0.2,100.5,107.4,38.5,86.0,0.44909999999999994,9.1,24.1,0.37639999999999996,14.4,18.5,0.7958999999999999,11.4,43.3,18.7,7.2,3.3,13.7,21.5,40.4,85.8,0.4726000000000001,10.0,31.2,0.3276,16.6,21.4,0.7917,9.6,42.9,23.1,8.3,5.5,12.7,19.6,109.76999999999998,117.0
13.5,0.0,0.6,0.0,0.3,103.1,107.2,39.5,86.7,0.457,9.3,24.5,0.3804,14.8,19.5,0.7771000000000001,12.1,44.7,18.4,7.2,3.1,13.7,21.7,40.0,84.7,0.4744,10.5,32.5,0.3276,16.7,22.1,0.7739,9.0,41.6,22.7,8.0,5.2,13.1,19.7,109.97999999999999,95.0
14.5,0.0,0.5,0.0,0.3,103.2,104.8,39.6,87.2,0.45570000000000005,9.3,25.0,0.3742,14.7,19.4,0.7767000000000001,12.7,46.1,18.6,6.6,3.2,14.0,21.5,38.8,84.2,0.4638,10.3,32.1,0.32509999999999994,16.9,22.7,0.7553000000000001,8.6,40.5,21.6,8.5,5.3,12.4,19.8,110.00999999999999,83.0
