Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER,gamePoints
5.5,0.0,0.5,0.0,0.3,111.6,115.1,40.6,89.3,0.4553999999999999,12.4,35.4,0.3544999999999999,18.0,23.7,0.7585,10.8,43.9,23.9,6.6,4.8,16.4,21.8,42.0,85.3,0.4943000000000001,11.9,27.5,0.4438000000000001,19.2,24.1,0.7999,7.7,41.0,25.5,9.5,4.4,15.1,25.0,110.92,102.0
6.5,0.0,0.5,0.0,0.3,111.8,114.7,39.7,87.8,0.4519,12.2,34.5,0.35750000000000004,20.2,25.7,0.7785,11.0,45.0,22.5,6.2,4.7,17.9,22.9,41.9,86.1,0.4883,11.3,27.8,0.42300000000000004,19.6,25.1,0.7816,7.9,40.1,25.1,10.2,5.2,15.1,26.0,110.01999999999998,111.0
7.5,0.0,0.5,0.0,0.3,108.9,110.7,39.1,85.7,0.4577,11.9,32.4,0.3718,18.8,24.0,0.7697,9.9,44.6,22.7,6.3,4.4,17.9,22.4,41.3,87.4,0.4751,10.8,28.5,0.39760000000000006,17.3,22.9,0.7576999999999999,9.9,42.1,24.5,10.1,5.1,15.0,24.9,109.43999999999998,103.0
8.5,0.0,0.6,0.0,0.3,107.7,109.6,38.8,84.3,0.4615,11.4,31.0,0.3702,18.7,24.8,0.74,9.3,45.4,22.0,6.6,4.9,18.3,23.0,40.7,88.3,0.46309999999999996,10.3,29.5,0.3653,17.9,23.0,0.7818999999999999,10.0,43.2,24.3,10.6,5.0,14.8,24.6,109.43999999999998,118.0
9.5,0.0,0.5,0.0,0.4,109.1,105.3,39.5,82.9,0.47809999999999997,11.4,29.8,0.3831,18.7,24.6,0.7452000000000001,9.1,45.3,21.9,7.1,4.6,18.5,22.2,39.5,87.3,0.4532999999999999,9.4,29.2,0.3429,16.9,21.8,0.7741,9.8,41.1,23.1,11.1,4.7,15.4,24.1,108.66,112.0
10.5,0.0,0.4,0.0,0.5,109.6,104.6,39.7,82.3,0.48329999999999995,11.2,30.2,0.3725,19.0,25.6,0.7307,8.9,45.5,21.5,7.1,4.5,18.1,22.3,39.3,87.6,0.44960000000000006,9.2,29.8,0.3295,16.8,21.5,0.7831999999999999,9.8,40.8,23.2,10.7,4.8,15.4,24.6,108.83000000000001,88.0
11.5,0.0,0.5,0.0,0.5,108.0,103.1,38.9,82.0,0.4756,11.3,30.6,0.37170000000000003,18.9,25.2,0.7404000000000001,8.4,45.5,20.8,7.3,4.6,17.7,22.3,38.8,87.5,0.4439,9.4,30.3,0.3295,16.1,20.7,0.7825,9.5,41.0,23.6,10.7,5.3,15.1,24.0,109.10999999999999,119.0
12.5,0.0,0.4,0.0,0.6,109.1,103.1,38.4,80.7,0.477,11.4,29.9,0.383,20.9,27.6,0.7478,8.4,45.1,21.4,7.4,4.6,16.8,22.2,38.8,87.8,0.4424,9.9,32.5,0.31779999999999997,15.6,20.7,0.7586999999999999,10.6,41.1,23.2,9.8,5.3,14.8,25.2,108.95,113.0
13.5,0.0,0.3,0.0,0.7,109.1,102.1,38.3,80.8,0.4753,11.7,31.1,0.37720000000000004,20.8,27.8,0.736,8.7,45.4,21.7,8.1,4.4,16.1,21.4,38.6,88.0,0.4389,9.9,33.6,0.2947,15.0,19.6,0.776,10.7,41.4,22.8,9.4,5.0,14.5,24.6,108.75999999999999,128.0
14.5,0.0,0.4,0.0,0.8,111.3,101.1,38.9,81.2,0.4800000000000001,12.3,31.6,0.38930000000000003,21.2,27.8,0.7527,8.6,45.1,22.2,8.5,5.0,15.7,20.3,38.0,88.3,0.43010000000000004,10.5,35.2,0.29950000000000004,14.6,19.3,0.7681,11.2,41.2,23.0,9.1,5.1,14.9,24.8,108.48999999999998,103.0
15.5,0.0,0.5,0.0,0.7,109.7,102.5,38.4,81.6,0.4719000000000001,11.8,32.1,0.3708,21.1,28.5,0.7299,8.5,44.7,21.7,9.0,4.8,15.6,20.6,38.5,88.2,0.4364,10.3,34.7,0.29810000000000003,15.2,20.5,0.7586999999999999,11.6,42.7,22.6,9.1,4.8,15.6,25.3,108.1,114.0
16.5,0.0,0.4,0.0,0.8,110.9,101.8,39.7,83.8,0.47640000000000005,11.8,32.0,0.37229999999999996,19.7,27.1,0.7245,9.0,46.2,22.3,9.3,4.9,14.8,20.0,38.4,88.8,0.4323,9.9,33.4,0.3005,15.1,20.1,0.7667999999999999,11.6,43.6,21.8,8.8,4.3,15.5,24.3,108.60999999999999,111.0
17.5,0.0,0.4,0.0,0.8,110.9,102.4,39.2,84.9,0.4638000000000001,11.5,32.1,0.3607,21.0,28.9,0.7283999999999999,10.1,47.4,21.7,9.5,4.8,14.5,19.6,38.4,87.5,0.4383,9.7,32.4,0.30319999999999997,15.9,20.6,0.7882999999999998,10.1,43.1,22.1,8.6,4.7,15.7,25.3,108.91999999999999,106.0
18.5,0.0,0.4,0.0,0.7,111.2,105.8,39.4,86.1,0.45990000000000003,11.9,33.4,0.3608,20.5,28.1,0.7296,10.5,47.0,22.5,9.1,4.5,14.4,19.1,40.0,87.8,0.4544,10.6,32.0,0.33759999999999996,15.2,20.4,0.7624,9.8,43.2,24.1,8.7,5.0,15.1,24.2,108.83,107.0
19.5,0.0,0.4,0.0,0.7,110.1,109.4,39.0,86.7,0.4509,11.9,33.6,0.3579,20.2,27.3,0.7442,11.2,46.3,22.2,8.8,4.2,14.0,18.6,41.4,88.3,0.46880000000000005,11.5,33.2,0.35239999999999994,15.1,19.8,0.7837999999999999,10.0,43.5,24.5,8.1,5.0,14.2,24.0,109.31999999999998,101.0
20.5,0.0,0.4,0.0,0.7,109.0,106.1,38.5,86.3,0.44709999999999994,11.9,33.7,0.3571,20.1,26.4,0.7634999999999998,11.3,46.9,23.2,8.9,4.1,14.2,17.9,40.4,87.8,0.46010000000000006,11.4,32.7,0.3537,13.9,18.6,0.7697,9.5,43.0,23.9,8.3,4.6,14.5,23.1,109.21999999999998,114.0
21.5,0.0,0.3,0.0,0.8,111.6,107.0,39.0,85.0,0.45969999999999994,12.1,33.9,0.3611,21.5,28.6,0.7522,11.0,46.2,23.7,9.4,4.2,14.7,17.6,41.0,89.2,0.45949999999999996,11.3,33.0,0.34700000000000003,13.7,18.6,0.7554000000000001,10.6,42.9,23.1,8.2,3.7,15.1,24.0,109.71999999999998,89.0
22.5,0.0,0.4,0.0,0.7,108.6,105.6,38.3,85.0,0.45070000000000005,11.5,34.5,0.3356,20.5,27.8,0.7408999999999999,11.6,47.0,23.0,9.1,4.3,15.7,17.5,40.5,89.0,0.45499999999999996,10.9,31.5,0.3507,13.7,18.3,0.7673,10.2,42.7,22.8,8.9,4.0,15.0,23.6,110.25,113.0
