Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER
5.5,0.0,0.4,0.0,0.9,111.8,102.4,41.8,89.9,0.4646,9.0,28.6,0.3141000000000001,19.2,25.7,0.7578999999999999,12.4,48.6,25.3,9.0,5.2,13.8,21.0,38.4,84.7,0.4525,9.6,29.4,0.3264,16.0,21.9,0.7399,9.0,41.0,23.6,8.0,5.9,15.0,23.5,110.63000000000002,87.0
6.5,0.0,0.4,0.0,0.8,109.8,101.5,41.7,89.4,0.4657,9.0,29.4,0.30580000000000007,17.4,23.4,0.7581999999999999,12.3,47.1,25.2,9.3,4.6,14.4,21.0,37.9,82.9,0.4556,9.6,28.7,0.3359,16.1,22.0,0.7405999999999999,8.9,39.9,23.4,8.4,5.7,15.5,22.5,110.4,110.0
7.5,0.0,0.4,0.0,0.7,108.9,103.6,41.4,89.6,0.46109999999999995,8.6,28.4,0.3015,17.5,23.9,0.7489,12.9,47.1,24.4,8.4,4.5,13.8,20.7,38.6,84.0,0.4588,9.7,28.1,0.34409999999999996,16.7,22.7,0.7444,9.1,40.1,23.5,8.5,6.2,14.4,22.3,109.87,114.0
8.5,0.0,0.4,0.0,0.6,110.3,105.9,42.0,89.9,0.4665,9.8,29.0,0.3301,16.5,21.7,0.7618,12.6,46.3,25.0,8.1,4.6,14.0,20.1,39.8,84.5,0.47030000000000005,10.7,28.6,0.37,15.6,21.6,0.7267,9.0,40.2,24.0,9.1,6.3,13.8,21.1,109.51000000000002,99.0
9.5,0.0,0.4,0.0,0.5,107.6,105.6,40.7,87.6,0.465,9.8,28.5,0.33740000000000003,16.4,21.8,0.7501,11.8,44.5,24.6,8.1,4.5,14.4,19.9,39.2,83.0,0.4729,10.7,29.2,0.36319999999999997,16.5,22.2,0.7509,8.7,39.5,23.4,9.1,6.3,13.6,21.4,109.43999999999998,138.0
10.5,0.0,0.3,0.0,0.6,110.0,102.8,41.4,87.8,0.47140000000000004,10.5,29.3,0.3532,16.7,22.3,0.7461,11.9,45.7,25.8,8.5,4.6,14.0,20.1,37.8,83.0,0.4577,10.6,30.5,0.35009999999999997,16.6,22.6,0.7424,9.3,39.6,22.7,8.5,6.5,14.2,21.7,109.85,115.0
11.5,0.0,0.4,0.0,0.5,109.9,104.2,41.8,88.0,0.47459999999999997,10.9,29.7,0.36029999999999995,15.4,21.3,0.7163,12.0,45.9,26.0,7.6,4.7,14.0,20.7,37.7,83.5,0.45359999999999995,10.5,30.6,0.3443,18.3,24.0,0.7636000000000001,9.6,39.8,22.8,8.3,6.8,13.1,21.0,109.85,98.0
12.5,0.0,0.4,0.0,0.4,108.9,103.9,41.3,87.5,0.47170000000000006,11.4,31.2,0.36269999999999997,14.9,20.4,0.7219,11.6,44.6,26.6,7.5,4.2,14.1,21.1,37.8,83.1,0.4567,10.0,30.8,0.3278,18.3,24.4,0.7505,9.9,40.6,22.2,8.4,6.5,13.3,20.3,109.05999999999999,103.0
13.5,0.0,0.4,0.0,0.4,108.2,104.9,41.4,87.9,0.4706999999999999,11.8,32.1,0.36419999999999997,13.6,18.9,0.7195,11.1,44.2,27.3,7.9,3.9,14.2,21.5,37.9,82.7,0.45999999999999996,10.4,32.2,0.3281,18.7,25.1,0.7404,9.4,41.1,22.8,8.1,6.4,13.7,19.6,108.60999999999999,112.0
14.5,0.0,0.4,0.0,0.4,109.1,104.8,41.7,88.9,0.46860000000000007,11.8,32.1,0.3642,13.9,18.7,0.7444999999999999,11.5,44.5,27.4,8.1,4.4,13.6,20.9,37.8,82.5,0.4598,10.6,32.3,0.3337,18.6,24.6,0.7525999999999999,8.8,40.8,23.0,7.6,5.9,13.8,19.4,108.84,105.0
15.5,0.0,0.5,0.0,0.4,108.1,103.9,41.5,89.4,0.4641,11.5,31.7,0.35930000000000006,13.6,18.3,0.7439,11.5,45.2,27.5,8.2,4.9,13.7,21.5,37.1,84.1,0.44509999999999994,10.6,33.1,0.3278,19.1,25.7,0.7345,10.0,42.2,23.0,7.6,5.5,13.6,19.7,108.78,117.0
16.5,0.0,0.4,0.0,0.5,111.1,103.5,43.0,90.9,0.47359999999999997,11.6,31.0,0.3703,13.5,17.9,0.7583,11.8,47.1,28.4,8.0,5.0,13.2,21.0,37.5,85.8,0.4413,10.3,34.5,0.30399999999999994,18.2,25.0,0.7172,10.0,42.5,23.0,7.4,5.6,13.1,19.4,108.87,113.0
