Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER,gamePoints
5.5,0.0,0.5,0.0,0.7,104.8,101.2,40.6,88.3,0.46020000000000005,10.1,28.1,0.364,13.5,17.4,0.7487,10.9,41.4,21.8,9.7,2.7,13.0,19.1,37.4,80.0,0.46840000000000004,9.8,26.3,0.3758,16.6,21.0,0.7879,8.3,42.1,23.4,6.8,4.5,16.7,19.0,108.26000000000002,114.0
6.5,0.0,0.5,0.0,0.7,106.0,101.9,40.8,87.0,0.46930000000000005,10.4,28.2,0.37379999999999997,14.0,18.7,0.721,10.8,41.7,21.9,8.6,2.9,13.7,19.2,38.3,81.5,0.47190000000000004,9.6,25.7,0.375,15.7,19.9,0.7863999999999999,8.7,41.2,24.0,7.2,4.5,16.5,19.9,108.09,111.0
7.5,0.0,0.4,0.0,0.8,106.0,100.8,40.4,87.2,0.46369999999999995,10.6,28.9,0.37029999999999996,14.6,19.4,0.7238,11.8,43.5,22.3,8.1,3.3,13.5,17.8,38.7,82.9,0.46799999999999997,9.8,26.4,0.373,13.6,17.5,0.7762,9.1,42.0,24.3,7.1,4.5,16.4,20.2,108.33000000000001,112.0
8.5,0.0,0.3,0.0,0.8,106.1,100.4,40.2,86.8,0.4635999999999999,11.1,28.7,0.3903,14.6,19.9,0.7005,11.4,44.6,22.6,7.8,3.6,13.6,17.0,38.9,83.8,0.46559999999999996,10.3,27.1,0.3814,12.3,16.0,0.7706000000000002,8.6,42.0,24.8,7.3,4.8,16.1,20.3,107.94000000000001,95.0
9.5,0.0,0.4,0.0,0.8,107.0,100.6,39.9,86.8,0.4601,12.0,29.4,0.41079999999999994,15.2,20.3,0.7138,12.2,45.2,23.5,8.0,3.7,13.8,16.9,39.2,84.1,0.4676,10.2,26.9,0.38029999999999997,12.0,15.6,0.7706000000000002,8.9,41.4,24.7,7.2,6.4,15.5,19.8,108.47,100.0
10.5,0.0,0.5,0.0,0.7,104.8,101.2,39.0,86.9,0.4497999999999999,11.9,29.3,0.4091,14.9,19.6,0.7291,12.1,44.8,22.3,7.7,4.2,13.5,16.5,39.4,84.5,0.4678999999999999,10.8,27.2,0.39790000000000003,11.6,15.6,0.7516,9.5,42.8,25.0,7.1,6.5,15.1,19.2,108.17999999999999,100.0
11.5,0.0,0.5,0.0,0.7,105.3,102.2,39.3,86.4,0.4558999999999999,11.8,29.0,0.409,14.9,19.5,0.7323999999999999,12.0,43.5,23.2,7.6,3.8,14.2,16.6,40.6,83.9,0.4858999999999999,9.8,25.6,0.3811,11.2,15.2,0.7455999999999999,8.6,41.5,25.4,7.6,6.3,15.3,19.4,108.27000000000001,88.0
12.5,0.0,0.4,0.0,0.6,102.6,103.1,38.4,84.8,0.4539000000000001,11.9,29.3,0.4079,13.9,19.1,0.6862,11.0,43.2,23.3,6.7,4.0,14.3,17.6,40.4,84.2,0.48130000000000006,10.4,26.2,0.39259999999999995,11.9,15.7,0.7646999999999999,8.3,41.7,25.3,7.7,5.4,13.9,19.4,108.69000000000001,99.0
13.5,0.0,0.4,0.0,0.7,103.2,101.6,38.2,83.8,0.4567000000000001,12.3,29.7,0.4154,14.5,19.7,0.7307,10.8,43.1,23.4,6.6,4.2,15.1,18.2,40.1,84.9,0.47470000000000007,10.0,26.8,0.37139999999999995,11.4,15.1,0.7611,8.5,40.9,24.5,8.1,5.5,13.9,19.2,108.6,118.0
14.5,0.0,0.5,0.0,0.7,104.5,102.8,38.9,84.5,0.46110000000000007,12.6,29.6,0.42860000000000004,14.1,19.2,0.7312000000000001,10.9,43.2,23.9,6.4,4.0,14.7,19.0,40.2,84.3,0.4796,10.6,27.6,0.37989999999999996,11.8,16.3,0.7293,8.3,40.9,24.5,7.7,5.3,14.3,19.1,108.0,131.0
15.5,0.0,0.5,0.0,0.7,106.8,103.6,40.0,85.5,0.4678000000000001,12.6,30.0,0.4208,14.2,19.1,0.7392,10.6,44.1,24.2,6.5,4.3,15.2,19.3,40.1,85.1,0.4734,10.3,27.7,0.3641,13.1,17.8,0.7386999999999999,8.8,41.4,24.2,8.2,5.6,14.5,18.7,108.13,91.0
16.5,0.0,0.6,0.0,0.6,104.5,104.8,39.2,85.1,0.4603,12.3,30.3,0.4064,13.8,18.5,0.7383999999999998,10.2,42.3,23.7,6.9,4.3,15.2,19.2,40.6,85.2,0.47850000000000004,10.3,27.4,0.3682,13.3,17.9,0.7451,9.7,42.5,24.8,8.6,5.9,14.1,18.3,108.16999999999999,103.0
17.5,0.0,0.7,0.0,0.5,103.7,105.2,38.7,84.0,0.4601,12.0,30.4,0.3954,14.3,19.0,0.7419,8.9,40.8,23.4,7.0,4.0,15.1,20.1,39.7,84.9,0.46979999999999994,10.5,27.8,0.37060000000000004,15.3,20.0,0.7598999999999999,10.3,42.7,24.7,8.2,5.6,14.3,18.6,107.55,93.0
18.5,0.0,0.8,0.0,0.4,101.8,104.5,38.0,83.8,0.453,11.4,30.3,0.37499999999999994,14.4,19.4,0.7344,8.5,39.6,22.5,7.6,3.7,14.8,20.6,39.3,84.1,0.46919999999999995,10.6,27.2,0.38070000000000004,15.3,19.6,0.7848999999999999,10.6,43.9,25.2,7.6,5.8,15.0,18.4,107.38999999999999,100.0
