Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER
5.5,0.0,0.5,0.0,0.5,109.4,111.3,39.4,92.7,0.42569999999999997,10.0,32.8,0.3015,20.6,27.6,0.7584000000000001,12.9,49.5,19.8,6.4,3.7,15.0,24.7,40.5,88.1,0.45890000000000003,9.9,30.5,0.3225,20.4,26.9,0.7551,7.7,44.8,25.3,7.5,5.1,14.5,24.7,109.35999999999999,124.0
6.5,0.0,0.6,0.0,0.5,111.5,112.2,40.1,93.2,0.4307,11.4,35.1,0.31910000000000005,19.9,27.3,0.7352,12.5,49.3,20.7,6.9,3.8,14.6,25.8,40.1,87.8,0.4557000000000001,10.1,30.6,0.329,21.9,28.7,0.7619,8.1,46.2,24.2,7.2,4.8,14.4,24.5,109.76999999999998,103.0
7.5,0.0,0.5,0.0,0.4,110.0,111.9,39.8,93.5,0.4266,10.8,35.5,0.30140000000000006,19.6,26.9,0.7358,12.9,49.5,20.7,7.0,3.8,14.7,25.3,40.0,87.6,0.45570000000000005,10.5,31.3,0.3350000000000001,21.4,27.9,0.77,8.2,46.7,24.0,7.4,5.3,14.5,25.1,109.67999999999999,106.0
8.5,0.0,0.6,0.0,0.4,107.3,109.1,39.1,91.8,0.42780000000000007,10.6,35.5,0.2953,18.5,25.5,0.7269,12.4,48.8,20.9,7.4,3.9,15.6,25.3,39.6,87.0,0.45459999999999995,9.5,29.0,0.3224,20.4,26.8,0.7574000000000002,8.6,46.8,23.1,8.0,4.8,15.4,24.6,109.47,113.0
9.5,0.0,0.6,0.0,0.4,107.6,109.0,39.1,92.9,0.4213000000000001,10.8,36.5,0.2902,18.6,24.5,0.763,12.4,49.0,21.4,7.5,3.8,14.6,25.9,39.0,86.0,0.4528,9.5,28.7,0.32720000000000005,21.5,28.7,0.7413000000000001,9.0,47.4,22.9,7.7,5.0,15.4,24.3,109.46999999999998,124.0
10.5,0.0,0.7,0.0,0.4,111.1,110.7,39.8,92.5,0.43129999999999996,11.7,36.2,0.3184,19.8,26.2,0.7586999999999999,13.3,48.0,21.8,7.9,3.6,15.1,26.1,39.1,84.6,0.46309999999999996,9.4,28.6,0.3254,23.1,29.8,0.765,8.7,45.6,22.2,8.1,4.9,15.6,24.2,109.78,116.0
11.5,0.0,0.6,0.0,0.5,112.2,111.0,40.1,92.5,0.43479999999999996,11.6,35.9,0.3176,20.4,27.5,0.7459999999999999,13.6,47.9,21.9,8.4,3.8,14.7,25.1,39.5,86.0,0.4609000000000001,9.5,29.1,0.32420000000000004,22.5,28.7,0.7774,9.6,45.4,21.9,7.9,5.2,15.6,24.8,110.08999999999999,118.0
12.5,0.0,0.5,0.0,0.6,112.1,109.7,40.5,92.5,0.4391,12.1,36.6,0.3242,19.0,26.1,0.7331,13.5,46.5,23.3,8.5,3.2,14.3,24.0,39.4,84.1,0.46950000000000003,9.1,27.8,0.3246,21.8,27.8,0.7754999999999999,8.8,44.1,21.5,8.0,5.5,15.7,23.7,110.62,115.0
13.5,0.0,0.4,0.0,0.7,113.7,109.6,41.0,92.2,0.4468,12.3,36.0,0.3367,19.4,26.5,0.7359,13.5,46.9,23.7,8.2,3.6,13.9,23.4,40.2,86.3,0.46849999999999997,9.1,27.6,0.3269,20.1,25.9,0.7736,9.8,44.6,21.0,7.4,5.7,15.3,23.7,111.01000000000002,107.0
14.5,0.0,0.4,0.0,0.8,112.9,106.4,40.8,90.9,0.45039999999999997,12.5,35.9,0.3435,18.8,25.3,0.7465999999999999,12.7,46.1,23.4,7.9,3.8,13.3,22.1,39.5,85.1,0.4666,8.2,26.6,0.3025,19.2,24.2,0.7877000000000001,9.6,43.6,21.1,6.9,5.6,15.1,23.1,111.59,111.0
15.5,0.0,0.3,0.0,0.8,113.7,107.0,41.4,91.7,0.4532,12.6,35.7,0.34809999999999997,18.3,25.3,0.7216,12.8,45.8,23.5,7.4,3.9,12.5,22.7,39.4,84.9,0.4665,7.9,26.5,0.29229999999999995,20.3,25.4,0.7956000000000001,9.8,44.0,20.6,6.5,5.3,14.5,23.4,111.69000000000001,83.0
16.5,0.0,0.2,0.0,0.7,109.6,107.1,39.9,91.4,0.4388000000000001,11.2,34.2,0.32430000000000003,18.6,25.3,0.7373000000000001,12.7,45.5,22.1,7.4,3.6,13.0,21.4,40.1,85.5,0.4715,7.9,26.2,0.29529999999999995,19.0,23.4,0.8056000000000001,9.5,43.9,21.2,6.9,5.9,14.6,23.7,111.03,92.0
17.5,0.0,0.3,0.0,0.7,108.5,107.3,39.6,90.5,0.4391000000000001,10.9,33.6,0.32070000000000004,18.4,25.3,0.7268000000000001,11.7,45.5,21.9,7.5,3.3,14.0,22.2,39.6,85.2,0.46720000000000006,8.2,27.5,0.29009999999999997,19.9,24.6,0.8,9.3,43.9,21.3,7.6,5.5,14.9,23.2,110.33,111.0
18.5,0.0,0.2,0.0,0.6,109.0,108.6,38.9,90.3,0.4323,10.6,33.1,0.3154,20.6,27.7,0.7464,12.7,46.5,21.7,7.7,3.1,13.9,22.2,39.5,85.0,0.46720000000000006,8.7,28.7,0.2982000000000001,20.9,25.0,0.8364,9.3,43.0,21.6,7.8,6.4,14.5,24.1,110.53999999999999,108.0
19.5,0.0,0.2,0.0,0.5,108.5,110.0,39.1,91.2,0.43010000000000004,10.2,32.2,0.31220000000000003,20.1,28.2,0.7059,13.1,46.2,21.9,8.0,3.2,13.9,21.7,40.2,85.0,0.4761,9.1,29.6,0.30010000000000003,20.5,23.9,0.8528,9.0,44.1,22.7,7.5,6.9,15.4,23.8,110.05999999999999,102.0
20.5,0.0,0.2,0.0,0.5,106.3,109.0,39.2,91.1,0.43179999999999996,9.5,30.9,0.30799999999999994,18.4,26.6,0.6826,12.6,47.1,22.2,7.7,3.6,13.8,21.5,40.1,86.6,0.4648,9.3,30.0,0.3012,19.5,23.8,0.8268000000000001,10.1,45.3,23.6,7.6,6.7,15.2,23.2,109.94000000000001,107.0
21.5,0.0,0.3,0.0,0.4,105.4,108.7,39.2,90.9,0.4328,10.1,31.6,0.3203,16.9,24.7,0.6768,12.2,47.1,22.7,7.0,4.1,13.9,22.3,39.5,85.3,0.46419999999999995,9.2,29.2,0.3055,20.5,25.4,0.8147,9.0,45.1,23.5,7.7,6.5,14.5,22.3,110.12,113.0
22.5,0.0,0.3,0.0,0.4,104.9,108.4,38.8,89.6,0.4354,9.5,30.5,0.3146,17.8,25.7,0.6842,11.9,47.8,22.2,7.1,4.8,14.5,22.5,39.2,86.5,0.4545,9.3,30.0,0.3008,20.7,25.6,0.8172,9.2,45.3,23.2,8.2,6.3,14.2,22.6,109.4,104.0
23.5,0.0,0.3,0.0,0.3,103.8,108.3,38.9,90.4,0.43220000000000003,10.2,31.6,0.3254,15.8,22.7,0.6931,12.2,47.5,22.7,6.9,4.3,14.8,21.9,40.0,86.2,0.4649,9.3,29.8,0.30350000000000005,19.0,23.9,0.7994999999999999,8.4,44.0,24.9,8.5,6.8,13.9,21.4,108.60999999999999,129.0
24.5,0.0,0.4,0.0,0.3,106.0,111.8,39.4,90.6,0.4365,10.9,33.0,0.3289,16.3,23.9,0.6788000000000001,11.7,46.7,22.9,6.7,4.0,14.8,22.7,40.8,87.9,0.46560000000000007,9.9,31.0,0.3165,20.3,25.4,0.8036999999999999,8.8,44.9,24.6,8.8,6.5,13.1,22.1,108.55,86.0
25.5,0.0,0.5,0.0,0.2,103.5,111.4,38.3,89.0,0.4316,10.5,32.9,0.3181,16.4,24.1,0.6774,11.5,46.1,22.8,6.7,4.3,15.1,22.8,40.2,86.9,0.46370000000000006,10.5,30.8,0.34340000000000004,20.5,26.1,0.7894,9.1,44.8,24.2,8.9,6.5,13.3,22.2,108.89000000000001,95.0
26.5,0.0,0.5,0.0,0.2,104.7,110.2,38.6,87.9,0.4396,10.9,32.6,0.3338,16.6,24.9,0.6615,11.1,46.1,23.3,6.3,4.9,15.2,23.5,39.5,87.5,0.4527,10.4,30.6,0.3415,20.8,26.6,0.7844,10.0,45.0,24.3,8.8,6.6,13.2,22.3,109.55,106.0
27.5,0.0,0.4,0.0,0.3,106.1,108.2,38.8,86.4,0.44910000000000005,11.4,32.5,0.3479,17.1,24.9,0.6878000000000001,11.0,45.6,23.9,6.5,5.2,15.5,22.9,39.5,87.6,0.45220000000000005,9.9,29.8,0.33470000000000005,19.3,24.9,0.778,10.2,43.5,23.5,8.9,6.6,13.3,22.3,110.34,88.0
28.5,0.0,0.5,0.0,0.3,103.8,109.0,38.5,86.6,0.44489999999999996,11.6,33.3,0.3479,15.2,22.4,0.6984,10.9,45.1,24.2,6.2,5.5,16.1,22.7,40.4,87.3,0.46419999999999995,9.5,28.5,0.33290000000000003,18.7,24.8,0.7528,9.7,43.8,24.2,8.9,5.9,13.0,21.2,110.04,107.0
29.5,0.0,0.6,0.0,0.3,103.7,108.3,38.1,86.0,0.4434000000000001,11.5,33.5,0.34270000000000006,16.0,22.3,0.7355,10.9,45.5,23.5,6.0,5.2,16.2,22.6,40.2,87.9,0.45809999999999995,9.0,27.9,0.3221,18.9,24.9,0.7575000000000001,9.8,43.6,23.6,9.1,5.5,12.5,21.3,109.6,98.0
30.5,0.0,0.6,0.0,0.3,103.3,108.8,37.5,86.8,0.43260000000000004,11.8,34.7,0.3362,16.5,22.3,0.7593,11.3,45.2,23.5,6.2,4.9,16.1,22.8,41.0,87.0,0.47329999999999994,8.5,26.9,0.3186,18.3,24.0,0.7572,8.7,43.1,23.7,8.9,5.6,12.5,21.3,109.2,101.0
31.5,0.0,0.6,0.0,0.4,102.7,107.4,37.1,86.5,0.4295,12.1,35.3,0.33799999999999997,16.4,22.4,0.7517,11.0,44.5,23.5,6.5,4.2,15.4,21.9,41.1,86.3,0.47830000000000006,8.0,25.9,0.30870000000000003,17.2,22.4,0.7645000000000001,8.9,43.3,23.7,8.4,5.6,12.9,21.8,108.80999999999999,105.0
32.5,0.0,0.6,0.0,0.3,101.9,108.0,37.1,86.7,0.42829999999999996,12.2,34.8,0.34869999999999995,15.5,20.9,0.7603,10.5,44.1,22.8,6.2,3.7,15.4,22.1,41.1,85.1,0.48440000000000005,7.8,24.7,0.31470000000000004,18.0,23.3,0.7687,8.4,43.1,24.2,8.5,5.8,12.7,21.6,108.63,107.0
33.5,0.0,0.6,0.0,0.3,102.2,109.2,37.4,86.4,0.43339999999999995,11.7,34.5,0.3368,15.7,21.1,0.7627,10.4,43.3,22.5,6.4,3.7,14.8,22.3,41.0,84.2,0.4888,7.6,24.2,0.3137,19.6,25.0,0.7832999999999999,8.8,43.2,23.3,8.2,5.3,12.6,21.2,109.19000000000001,100.0
34.5,0.0,0.6,0.0,0.2,99.3,108.2,36.7,85.6,0.4298,11.1,34.1,0.3269,14.8,19.7,0.7590999999999999,10.3,42.2,22.2,6.9,3.7,14.4,21.8,41.1,82.1,0.5012000000000001,7.5,23.2,0.32120000000000004,18.5,23.9,0.7726999999999998,8.6,43.0,24.1,7.9,5.5,13.3,20.2,108.86000000000001,102.0
35.5,0.0,0.6,0.0,0.2,100.9,109.6,37.0,85.6,0.4335,11.4,34.5,0.3323,15.5,19.9,0.783,10.0,41.8,22.3,7.4,3.5,14.9,21.7,42.2,83.2,0.5084,7.2,23.0,0.3121,18.0,23.1,0.7763,8.6,43.4,25.1,7.9,5.8,13.6,20.1,108.75,109.0
36.5,0.0,0.7,0.0,0.3,102.3,110.2,37.3,85.8,0.43599999999999994,12.0,35.3,0.341,15.7,19.4,0.8064,10.9,42.5,22.2,8.0,3.1,14.9,21.8,42.2,81.5,0.5174000000000001,7.5,22.5,0.33599999999999997,18.3,23.5,0.7756,7.7,41.8,25.2,7.7,5.4,13.7,19.5,108.47999999999999,94.0
37.5,0.0,0.8,0.0,0.2,101.1,110.7,37.1,86.8,0.4286,11.7,35.2,0.3338,15.2,19.1,0.7929999999999999,10.3,41.7,21.3,8.5,3.1,13.5,22.5,41.5,81.2,0.5104,7.8,22.9,0.34109999999999996,19.9,25.8,0.7709000000000001,8.2,44.2,25.5,6.8,5.3,13.8,19.2,107.71999999999998,120.0
38.5,0.0,0.7,0.0,0.3,104.3,109.7,38.1,86.9,0.43899999999999995,12.0,34.6,0.3488,16.1,20.4,0.7812999999999999,10.1,42.0,21.4,8.2,2.9,12.3,21.9,40.9,81.9,0.49949999999999994,8.7,24.9,0.3506999999999999,19.2,25.1,0.7547,8.3,43.6,25.1,6.3,5.1,13.6,19.6,107.87999999999997,98.0
39.5,0.0,0.6,0.0,0.4,103.4,108.1,37.7,85.9,0.43929999999999997,12.5,34.8,0.3624,15.5,19.9,0.7733,9.2,41.1,21.6,8.3,2.9,12.3,21.8,40.8,81.1,0.503,9.0,25.4,0.356,17.5,24.6,0.6893,8.1,43.6,25.5,5.9,5.3,14.2,19.6,107.83,101.0
40.5,0.0,0.5,0.0,0.4,103.7,106.3,37.8,84.9,0.44519999999999993,12.3,34.4,0.36050000000000004,15.8,20.3,0.7730999999999999,9.1,41.4,21.4,8.2,2.9,12.3,21.5,40.1,82.1,0.48840000000000006,9.0,25.2,0.35899999999999993,17.1,23.8,0.6960999999999998,8.7,43.2,25.7,5.7,5.2,14.0,19.7,108.42,87.0
41.5,0.0,0.5,0.0,0.3,102.3,107.0,37.3,84.3,0.44209999999999994,11.8,33.8,0.3529,15.9,19.9,0.7918,8.6,41.2,21.3,8.0,2.9,13.3,21.9,40.1,82.2,0.4878,9.4,25.7,0.3716,17.4,24.4,0.6881999999999999,8.4,43.3,26.0,6.2,5.3,14.2,19.3,108.9,98.0
42.5,0.0,0.6,0.0,0.4,101.6,105.4,37.0,85.0,0.4349,12.0,35.2,0.34219999999999995,15.6,19.8,0.7802,9.0,41.7,21.9,7.8,3.0,12.4,21.1,40.4,83.1,0.4864,9.3,25.8,0.3656,15.3,22.1,0.6545000000000001,8.5,44.0,25.6,5.3,5.6,14.2,18.8,109.57000000000001,101.0
43.5,0.0,0.7,0.0,0.4,101.0,104.1,36.3,85.0,0.4267,12.3,35.8,0.3457,16.1,20.6,0.7738,9.4,42.6,21.9,7.9,2.8,12.6,21.5,39.8,83.3,0.4777,10.0,27.4,0.36950000000000005,14.5,21.9,0.6332,8.5,44.5,25.6,5.6,5.7,14.2,19.8,109.53,105.0
44.5,0.0,0.6,0.0,0.4,101.5,104.3,36.6,85.3,0.4286,12.1,35.1,0.3463,16.2,20.4,0.7916999999999998,9.7,43.2,22.5,7.9,2.9,12.8,20.9,39.9,83.8,0.4756,10.5,28.3,0.3753000000000001,14.0,21.1,0.6409999999999999,8.2,43.7,25.8,6.0,5.7,13.8,19.6,109.13,93.0
45.5,0.0,0.5,0.0,0.5,100.6,102.0,36.4,85.7,0.4243,11.9,34.6,0.3447,15.9,20.3,0.7825000000000001,10.3,44.7,22.4,7.1,3.1,12.0,21.2,39.1,84.0,0.46529999999999994,10.3,28.6,0.36239999999999994,13.5,20.5,0.6373999999999999,8.2,43.4,24.7,5.5,5.4,12.9,19.5,109.05999999999999,101.0
46.5,0.0,0.4,0.0,0.4,99.8,102.7,36.2,85.5,0.42299999999999993,12.0,35.1,0.34199999999999997,15.4,20.1,0.7661,9.6,43.7,22.5,6.5,3.0,11.8,21.3,39.5,84.8,0.46550000000000014,10.4,28.8,0.36239999999999994,13.3,21.0,0.6199,8.7,44.3,24.4,5.3,5.3,12.4,20.0,109.05999999999999,129.0
