Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER
5.5,0.0,0.5,0.0,0.8,116.4,108.2,43.3,85.9,0.5048,11.6,30.9,0.3741,18.2,22.7,0.7947000000000001,8.7,42.2,30.5,10.1,5.6,15.7,19.1,40.5,90.6,0.4465,9.1,27.4,0.33120000000000005,18.1,24.2,0.7497999999999999,12.8,44.5,24.1,9.5,3.8,14.4,20.8,108.72,127.0
6.5,0.0,0.6,0.0,0.9,119.1,107.4,43.7,86.1,0.5083,12.2,31.2,0.38899999999999996,19.5,23.7,0.8154000000000001,8.6,42.2,31.4,9.9,5.7,15.3,19.7,39.5,89.0,0.4436,8.9,27.5,0.32120000000000004,19.5,25.7,0.7515,12.0,43.6,23.2,9.0,3.6,14.5,21.1,109.15,104.0
7.5,0.0,0.6,0.0,0.9,117.3,104.8,43.7,86.0,0.5088,12.2,31.2,0.389,17.7,22.1,0.7844000000000001,8.6,42.3,31.5,10.1,6.2,15.0,19.5,37.9,87.3,0.43390000000000006,9.5,28.5,0.3329,19.5,25.3,0.7652,11.5,43.0,22.2,8.8,3.4,14.5,19.9,109.28000000000002,124.0
8.5,0.0,0.6,0.0,0.9,119.1,106.9,44.4,87.2,0.5107999999999999,12.8,32.1,0.3982,17.5,22.0,0.7809,9.7,42.5,31.8,10.3,6.2,14.7,19.7,38.8,87.2,0.4445,9.7,28.2,0.34809999999999997,19.6,25.3,0.7691999999999999,11.4,42.1,23.0,8.5,2.9,14.7,19.6,109.02000000000001,120.0
9.5,0.0,0.6,0.0,0.9,118.4,104.8,43.4,87.3,0.499,13.1,33.1,0.39580000000000004,18.5,22.9,0.7914000000000001,10.2,44.0,31.3,9.8,6.8,14.3,19.5,38.4,88.9,0.4335000000000001,8.9,26.6,0.3383,19.1,24.4,0.7847,12.3,43.8,22.0,7.8,2.9,14.0,20.2,108.82000000000001,149.0
10.5,0.0,0.6,0.0,0.9,121.1,105.8,44.1,87.0,0.5088999999999999,13.6,33.7,0.40190000000000003,19.3,24.4,0.78,9.3,44.2,33.3,9.6,5.9,13.8,19.7,38.9,89.5,0.43629999999999997,8.7,25.9,0.3413,19.3,23.8,0.8093999999999999,11.7,43.4,22.2,7.5,2.4,13.5,20.7,109.32000000000001,109.0
11.5,0.0,0.6,0.0,1.0,122.3,102.6,44.5,86.7,0.5153999999999999,14.2,33.3,0.42560000000000003,19.1,24.1,0.7806,8.8,44.6,33.8,9.3,6.6,13.5,20.5,37.6,89.0,0.4245,8.4,25.1,0.3373,19.0,24.0,0.7884999999999999,11.5,42.8,21.6,7.8,2.2,13.7,20.4,109.32000000000001,115.0
12.5,0.0,0.6,0.0,1.0,122.2,102.2,44.5,85.8,0.5209999999999999,13.7,32.0,0.42990000000000006,19.5,24.6,0.7797000000000001,9.0,45.3,32.8,8.8,7.0,13.8,20.2,37.8,89.9,0.4218,8.7,26.5,0.33259999999999995,17.9,22.5,0.7939999999999999,11.2,41.7,21.2,7.8,2.4,13.1,20.3,109.74000000000001,105.0
13.5,0.0,0.6,0.0,1.0,121.1,102.7,43.9,86.9,0.5064,13.2,32.2,0.41269999999999996,20.1,24.8,0.7998,9.2,45.5,32.0,9.1,7.5,13.7,20.0,38.0,89.8,0.42469999999999997,8.8,26.6,0.3353,17.9,22.7,0.7889999999999999,11.2,42.5,21.2,7.9,2.6,14.2,20.5,109.49000000000001,127.0
14.5,0.0,0.5,0.0,0.9,121.3,105.8,43.6,88.8,0.4936,13.0,33.6,0.39330000000000004,21.1,26.5,0.7832,9.6,46.5,31.8,8.8,7.6,13.9,20.9,39.0,91.2,0.42869999999999997,8.9,27.4,0.331,18.9,24.0,0.7916999999999998,11.0,43.7,21.2,8.3,2.7,14.3,21.5,109.16,138.0
