Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER,gamePoints
5.5,0.0,0.6,0.0,0.7,120.7,111.3,44.9,85.4,0.5264,13.9,33.6,0.42010000000000003,17.0,21.1,0.7963000000000001,9.5,44.4,31.5,7.9,8.7,16.6,21.4,40.8,91.2,0.4473999999999999,10.8,30.0,0.3566,18.9,24.6,0.7765000000000001,12.4,42.3,24.3,8.8,4.2,14.3,17.4,107.37,97.0
6.5,0.0,0.6,0.0,0.8,118.3,107.1,43.8,86.1,0.5094000000000001,13.4,33.8,0.40120000000000006,17.3,21.4,0.7975000000000001,10.2,45.4,30.1,8.6,8.8,16.3,21.0,39.1,89.8,0.43499999999999994,10.1,28.5,0.35079999999999995,18.8,24.4,0.7787,12.1,42.4,23.4,8.9,4.3,15.1,17.8,107.38000000000002,125.0
7.5,0.0,0.5,0.0,0.8,118.0,105.2,43.9,85.4,0.5148000000000001,13.1,33.3,0.399,17.1,21.2,0.7952999999999999,9.5,45.0,30.9,9.0,8.9,16.4,21.0,38.4,89.2,0.4304,9.0,27.3,0.3272,19.4,24.9,0.7891999999999999,11.4,41.4,22.9,9.6,3.9,14.7,17.3,107.67,135.0
8.5,0.0,0.4,0.0,0.9,121.4,105.5,45.4,85.2,0.534,13.3,32.2,0.41929999999999995,17.3,21.1,0.8062999999999999,8.7,44.3,32.0,9.5,9.3,16.9,20.5,39.2,90.9,0.4304,9.2,27.4,0.33309999999999995,17.9,23.2,0.7807999999999999,12.1,41.2,23.9,9.8,3.7,15.2,16.7,107.03000000000002,110.0
9.5,0.0,0.3,0.0,0.9,119.1,105.2,45.0,85.4,0.5281999999999999,12.6,30.6,0.4156000000000001,16.5,20.1,0.8092,8.9,44.3,32.2,9.3,9.0,16.9,20.3,39.1,90.1,0.4328,9.3,27.7,0.3334,17.7,22.0,0.8097,11.1,40.5,24.4,9.7,4.0,15.1,16.5,107.13999999999999,88.0
10.5,0.0,0.4,0.0,0.8,116.2,103.2,44.0,85.9,0.5126000000000001,12.4,31.2,0.40069999999999995,15.8,19.8,0.7859999999999999,9.0,45.3,31.2,9.2,9.3,16.7,21.2,37.4,88.6,0.42000000000000004,9.2,27.5,0.3318,19.2,23.9,0.8017999999999998,10.1,41.5,22.9,9.5,3.9,15.0,16.4,106.93999999999998,124.0
11.5,0.0,0.5,0.0,0.8,116.6,103.1,44.4,85.5,0.5191000000000001,12.1,29.7,0.4048,15.7,19.8,0.7809999999999999,8.6,44.8,30.4,9.0,8.6,16.2,21.0,37.8,88.6,0.4242,8.7,27.1,0.32080000000000003,18.8,23.3,0.8041,10.0,41.4,22.7,9.6,3.8,14.7,16.5,106.55999999999999,118.0
12.5,0.0,0.6,0.0,0.9,117.7,102.7,44.6,86.8,0.5131,12.1,29.4,0.4095,16.4,20.9,0.7756,8.2,46.5,30.4,9.5,8.9,15.2,22.3,36.9,88.8,0.4138,9.1,29.2,0.30970000000000003,19.8,25.5,0.7733000000000001,9.6,42.9,22.9,8.7,4.0,14.7,17.7,106.85999999999999,91.0
13.5,0.0,0.6,0.0,0.8,112.7,102.2,42.7,85.9,0.4960000000000001,11.7,29.6,0.39349999999999996,15.6,19.7,0.7821999999999999,7.5,45.8,28.9,9.8,8.9,16.2,22.0,37.1,89.2,0.4141,8.9,29.2,0.30169999999999997,19.1,25.1,0.7592000000000001,10.0,44.4,22.4,9.8,4.2,15.1,17.8,106.56999999999998,143.0
14.5,0.0,0.5,0.0,0.8,115.8,102.4,43.7,86.7,0.5024,11.9,30.4,0.38789999999999997,16.5,20.2,0.8071999999999999,7.6,46.6,29.5,9.8,8.8,15.9,21.5,37.2,90.4,0.4104,9.5,30.4,0.30860000000000004,18.5,24.3,0.7586,9.9,43.8,22.3,9.9,3.6,15.0,18.5,107.2,110.0
