Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER,gamePoints
5.5,0.0,0.7,0.0,0.6,107.8,104.8,38.9,83.8,0.46469999999999995,13.6,36.6,0.36950000000000005,16.4,22.2,0.7411000000000001,11.2,43.9,23.8,7.2,4.8,16.9,21.8,38.4,85.2,0.4523,9.0,25.7,0.3453,19.0,23.7,0.8044,10.0,39.8,20.1,10.2,5.1,12.4,18.5,107.55,103.0
6.5,0.0,0.7,0.0,0.6,106.7,103.3,38.5,84.4,0.45699999999999996,14.3,37.7,0.38039999999999996,15.4,20.9,0.735,11.4,44.7,23.4,7.2,5.1,17.1,20.5,37.9,84.7,0.44930000000000003,9.0,24.7,0.359,18.5,22.9,0.8154999999999999,9.4,40.3,20.5,9.9,5.4,12.5,17.6,107.05,126.0
7.5,0.0,0.6,0.0,0.6,108.7,104.4,39.8,86.9,0.45830000000000004,14.2,37.7,0.3773,14.9,20.3,0.7344,12.6,46.0,23.9,7.2,5.6,16.6,20.0,38.5,85.7,0.4511,9.2,24.6,0.3670999999999999,18.2,22.6,0.8131999999999999,9.8,41.0,21.6,9.4,5.6,12.8,17.4,107.28,111.0
8.5,0.0,0.6,0.0,0.6,110.5,105.4,40.6,88.2,0.461,14.3,37.8,0.3793,15.0,20.2,0.7426999999999999,12.7,45.2,25.1,7.5,5.5,15.3,19.5,39.2,84.7,0.4652,9.3,24.2,0.376,17.7,22.3,0.7988,9.0,41.0,22.1,8.9,5.8,13.1,17.4,106.97,99.0
9.5,0.0,0.6,0.0,0.7,108.4,102.2,39.8,87.0,0.45809999999999995,13.6,36.5,0.373,15.2,20.4,0.7451,12.8,46.6,24.3,7.4,5.9,16.1,19.0,38.5,85.1,0.4548,8.4,22.7,0.36719999999999997,16.8,21.6,0.7857,9.0,40.3,21.8,9.2,5.9,13.4,17.3,106.67,102.0
10.5,0.0,0.5,0.0,0.6,106.8,103.8,39.4,85.9,0.4596,13.5,36.7,0.3688,14.5,18.9,0.7746999999999999,12.0,45.1,24.7,6.8,5.8,16.8,19.1,39.1,85.4,0.46019999999999994,8.8,23.0,0.37940000000000007,16.8,21.2,0.7987,9.8,40.7,22.8,9.6,6.0,13.2,16.6,106.31000000000002,117.0
11.5,0.0,0.5,0.0,0.7,108.8,103.0,39.7,85.9,0.46319999999999995,14.4,38.1,0.37750000000000006,15.0,19.6,0.7701,11.6,45.0,25.2,6.7,5.3,15.6,18.4,38.5,84.9,0.4561,8.9,24.2,0.36750000000000005,17.1,20.9,0.8214,8.9,40.0,22.3,8.6,6.0,12.7,17.1,106.86000000000001,130.0
12.5,0.0,0.5,0.0,0.7,110.4,103.8,40.2,86.2,0.4673999999999999,14.4,38.0,0.3788,15.6,20.6,0.7617999999999999,11.7,44.9,25.0,6.8,5.4,14.9,18.9,38.6,83.8,0.4628,9.1,24.8,0.3669,17.5,21.8,0.8073,8.1,39.0,22.7,8.1,5.7,12.8,17.9,106.99000000000001,101.0
13.5,0.0,0.5,0.0,0.6,110.4,105.9,40.2,87.5,0.4607,14.5,38.0,0.3822,15.5,20.6,0.7572,12.4,44.2,23.9,6.6,5.6,13.7,18.5,39.4,82.8,0.47890000000000005,9.9,25.3,0.3901,17.2,21.5,0.8058000000000002,7.6,39.1,22.8,7.1,5.7,12.6,18.4,107.17,132.0
14.5,0.0,0.6,0.0,0.7,113.6,108.0,41.6,89.4,0.4669,14.4,37.7,0.3821,16.0,21.5,0.7494999999999999,12.3,45.2,24.3,7.1,5.6,14.2,19.4,39.6,85.6,0.46630000000000005,10.6,27.9,0.38960000000000006,18.2,22.8,0.8050000000000003,8.7,41.0,23.8,7.7,5.3,13.3,19.2,107.23000000000002,128.0
15.5,0.0,0.7,0.0,0.7,114.9,110.2,41.7,89.1,0.4696000000000001,14.4,37.4,0.3855,17.1,22.3,0.7746999999999999,11.7,43.8,24.8,7.6,5.3,13.6,18.9,40.8,87.0,0.4727,11.0,28.8,0.39590000000000003,17.6,22.7,0.7731000000000001,10.1,42.5,24.2,7.2,5.0,13.7,19.5,107.58,107.0
