Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER
5.5,0.0,0.6,0.0,0.4,102.8,108.9,37.1,88.2,0.42189999999999994,13.7,41.9,0.32930000000000004,14.9,20.9,0.7142000000000001,11.1,41.6,20.8,8.6,6.2,13.7,23.4,39.6,83.6,0.4710000000000001,9.1,27.6,0.3348,20.6,25.6,0.7899,8.9,45.5,21.3,7.9,4.8,14.3,20.0,109.00999999999999,89.0
6.5,0.0,0.7,0.0,0.4,100.5,105.4,36.2,88.0,0.4128,13.0,41.2,0.318,15.1,21.4,0.7082,11.8,42.8,19.8,8.8,6.0,13.4,23.6,37.7,81.2,0.4625,9.1,27.1,0.3448,20.9,26.1,0.7867,8.3,44.7,19.4,7.4,5.0,14.6,19.5,108.86999999999998,115.0
7.5,0.0,0.6,0.0,0.4,99.6,104.2,35.4,85.8,0.4156000000000001,13.4,41.7,0.32250000000000006,15.4,21.6,0.7133999999999999,11.3,41.2,19.4,8.7,6.1,13.3,23.7,36.5,79.0,0.4607,9.4,26.8,0.3577,21.8,26.9,0.8024999999999999,7.9,43.8,19.0,7.6,4.6,14.9,19.6,108.57000000000001,109.0
8.5,0.0,0.6,0.0,0.5,99.3,102.6,35.0,84.0,0.4222,13.2,41.9,0.31470000000000004,16.1,22.7,0.7093,11.3,40.9,18.9,8.8,6.1,13.5,23.4,36.1,77.7,0.46349999999999997,10.0,26.8,0.3817,20.4,25.9,0.7775,7.4,42.0,19.5,7.9,4.1,15.2,20.0,108.33999999999999,107.0
9.5,0.0,0.6,0.0,0.6,101.1,101.2,35.0,84.0,0.42219999999999996,13.7,42.6,0.32120000000000004,17.4,23.9,0.7330000000000001,11.7,41.5,19.3,8.4,6.0,12.5,23.2,35.9,77.5,0.462,9.4,25.7,0.3694,20.0,25.3,0.7807,7.7,41.7,19.2,7.4,4.1,15.0,20.3,108.67,132.0
10.5,0.0,0.6,0.0,0.7,103.0,99.1,35.8,82.3,0.44020000000000004,14.2,43.2,0.3272,17.2,23.8,0.7283000000000001,10.7,41.4,19.9,8.2,6.3,13.4,22.5,36.2,79.8,0.4527,9.3,26.9,0.34859999999999997,17.4,22.7,0.7636,8.5,41.2,19.8,7.6,4.0,14.9,20.3,108.72,126.0
11.5,0.0,0.6,0.0,0.8,107.1,101.1,36.7,79.9,0.4635000000000001,14.5,42.2,0.3433,19.2,25.1,0.7635,9.2,40.1,19.9,8.3,6.1,13.8,22.5,36.4,80.3,0.4523,10.1,28.3,0.3557,18.2,24.1,0.7522999999999999,9.3,39.8,20.1,8.0,3.7,14.8,21.0,108.63,111.0
12.5,0.0,0.6,0.0,0.7,106.3,101.6,36.7,81.4,0.4559,14.0,41.9,0.3326,18.9,24.0,0.7852,9.8,40.4,19.9,8.5,5.8,14.3,23.0,36.2,80.6,0.4484,9.3,27.6,0.3375,19.9,26.1,0.7647999999999999,9.8,40.9,19.7,8.6,3.8,15.1,20.0,108.6,108.0
13.5,0.0,0.6,0.0,0.6,107.5,104.5,36.9,80.5,0.46370000000000006,14.2,41.6,0.34009999999999996,19.5,24.8,0.7881,9.6,39.0,19.6,7.7,5.7,14.1,22.7,37.8,82.5,0.4579,9.4,27.5,0.3432,19.5,26.3,0.7444,11.4,42.1,19.7,8.4,3.6,14.5,20.6,108.99000000000001,131.0
14.5,0.0,0.6,0.0,0.5,110.8,108.6,38.1,82.6,0.46640000000000004,14.5,41.7,0.3457,20.1,25.9,0.7721,10.9,39.9,19.5,7.6,5.6,14.4,23.4,39.5,83.9,0.4701000000000001,9.7,27.6,0.3525,19.9,26.5,0.7526999999999999,11.6,42.0,20.9,8.3,4.0,14.3,22.0,109.67999999999999,108.0
15.5,0.0,0.5,0.0,0.5,113.6,111.6,39.0,83.1,0.4746,14.7,42.0,0.34840000000000004,20.9,27.2,0.7673000000000001,11.2,39.8,20.7,7.7,5.8,14.4,23.4,40.5,84.3,0.4798,10.5,27.3,0.3782,20.1,26.5,0.7611,11.3,40.5,21.8,8.3,4.3,14.3,22.1,110.05,136.0
16.5,0.0,0.5,0.0,0.6,118.3,112.5,40.9,83.9,0.4913,16.0,43.3,0.3671,20.5,26.3,0.7783000000000001,11.0,39.8,22.8,7.6,5.9,14.1,23.2,41.1,85.5,0.48050000000000004,10.5,28.1,0.3639,19.8,25.8,0.772,11.4,40.0,22.5,8.4,4.2,14.1,21.9,110.05,121.0
17.5,0.0,0.5,0.0,0.6,118.9,112.7,41.5,84.9,0.4927,15.6,42.7,0.36350000000000005,20.3,26.1,0.7764,10.8,40.7,23.3,7.8,6.1,14.0,23.1,41.4,86.5,0.47859999999999997,10.2,28.4,0.351,19.7,25.6,0.7743,11.6,40.6,21.6,8.5,4.2,14.1,21.9,110.74000000000001,91.0
18.5,0.0,0.5,0.0,0.5,117.1,113.1,40.8,85.2,0.48100000000000004,15.4,42.9,0.3566000000000001,20.1,25.4,0.7914,10.9,40.9,23.4,8.0,6.1,14.6,23.8,41.2,87.1,0.4725,10.2,28.1,0.35700000000000004,20.5,26.8,0.7706999999999999,12.2,41.7,21.1,8.5,4.7,13.9,21.5,111.16,91.0
