Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER
5.5,0.0,0.5,0.0,0.4,108.4,112.0,41.6,89.1,0.4678999999999999,8.5,23.6,0.3693,16.7,21.7,0.7647999999999999,9.3,42.0,24.9,9.8,6.2,14.9,21.6,40.7,87.2,0.4673999999999999,10.6,30.0,0.35259999999999997,20.0,24.8,0.7955,11.2,46.0,24.2,8.5,5.4,15.9,20.3,108.37000000000003,88.0
6.5,0.0,0.5,0.0,0.4,104.2,106.8,40.4,88.8,0.45630000000000004,8.3,24.2,0.3487,15.1,19.3,0.7883,9.2,41.7,24.1,9.6,6.5,14.2,20.7,38.9,85.2,0.45619999999999994,9.3,27.7,0.3351,19.7,24.3,0.8001999999999999,11.1,46.3,22.8,8.0,5.1,15.8,19.3,108.63000000000002,103.0
7.5,0.0,0.4,0.0,0.5,105.1,105.8,41.0,87.6,0.4685,8.6,24.6,0.35519999999999996,14.5,18.4,0.7868999999999999,8.3,40.8,24.1,9.7,7.1,13.9,20.1,38.6,85.1,0.4532,9.4,27.4,0.3415,19.2,24.3,0.7751999999999999,11.0,46.2,22.7,7.7,5.2,16.0,18.6,108.59,96.0
8.5,0.0,0.3,0.0,0.5,104.6,105.6,40.3,86.4,0.4670000000000001,8.0,23.5,0.3306,16.0,20.4,0.7773000000000001,8.5,41.0,22.5,9.4,7.2,14.4,20.4,38.7,86.2,0.44830000000000003,9.4,27.9,0.33320000000000005,18.8,24.0,0.768,11.5,46.1,21.4,8.3,5.3,15.9,20.0,109.1,115.0
9.5,0.0,0.4,0.0,0.5,104.6,105.9,40.2,86.6,0.4648,8.1,22.9,0.3449,16.1,20.6,0.7754000000000001,8.9,41.8,22.9,9.7,6.6,15.1,20.4,39.1,87.4,0.44699999999999995,9.8,28.7,0.3396,17.9,23.3,0.7522,11.9,46.6,22.8,8.5,5.8,16.0,19.8,108.6,83.0
10.5,0.0,0.3,0.0,0.5,102.2,105.4,39.7,88.8,0.4499000000000001,7.7,22.9,0.32749999999999996,15.1,19.1,0.7893,9.4,43.5,21.3,8.8,6.6,14.1,20.4,38.4,88.2,0.43410000000000004,9.9,29.6,0.3313,18.7,24.1,0.7574000000000001,11.9,48.5,22.7,8.4,6.2,15.1,19.2,108.07000000000001,85.0
11.5,0.0,0.3,0.0,0.4,99.6,105.6,38.5,88.6,0.43689999999999996,7.2,23.0,0.30720000000000003,15.4,19.3,0.8023999999999999,9.3,43.6,20.2,9.5,6.2,14.8,20.4,38.6,88.8,0.4335,9.8,29.8,0.32300000000000006,18.6,23.8,0.7638,12.3,50.1,22.7,8.7,6.4,15.6,19.7,107.97,118.0
12.5,0.0,0.2,0.0,0.5,101.4,103.1,39.3,87.9,0.4494999999999999,7.4,22.3,0.3222,15.4,19.4,0.7979,9.0,43.1,20.4,9.8,6.3,14.4,19.8,38.1,88.3,0.4303,9.7,30.0,0.31789999999999996,17.2,22.9,0.7372,12.9,49.6,22.1,8.3,6.4,16.4,19.9,108.13999999999999,91.0
13.5,0.0,0.2,0.0,0.5,98.3,98.6,38.4,88.1,0.43859999999999993,7.0,22.3,0.3011,14.5,18.1,0.8086,9.6,44.0,20.5,9.7,6.1,14.1,20.2,35.7,85.8,0.4133,8.7,28.8,0.29569999999999996,18.5,23.7,0.7712999999999999,12.5,49.3,20.9,8.1,6.2,16.7,19.1,108.07000000000001,109.0
14.5,0.0,0.2,0.0,0.5,98.7,100.8,38.1,86.5,0.4443,7.1,21.8,0.3177,15.4,19.3,0.8014999999999999,9.6,43.2,20.1,8.6,6.2,14.3,18.8,37.2,86.6,0.42569999999999997,8.8,28.8,0.29879999999999995,17.6,22.5,0.7768999999999998,12.6,47.9,21.4,8.7,5.8,15.4,19.3,108.25,111.0
