Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER
5.5,0.0,0.5,0.0,0.9,107.0,91.9,38.2,84.2,0.45549999999999996,9.0,25.2,0.3607,21.6,29.6,0.7323999999999999,9.6,45.8,21.0,9.7,5.0,11.3,19.7,33.7,83.1,0.4051,7.4,21.5,0.33870000000000006,17.1,22.3,0.7715,10.2,44.5,19.1,6.3,3.3,16.0,25.9,107.67999999999999,127.0
6.5,0.0,0.4,0.0,0.9,108.3,90.8,39.3,84.1,0.4681,9.6,24.8,0.3891,20.1,27.1,0.7437999999999999,9.0,45.3,23.0,10.4,5.2,11.7,19.4,33.2,82.3,0.4034,8.0,23.0,0.3468,16.4,21.3,0.7737999999999999,10.2,43.4,19.1,6.5,3.1,16.7,24.6,107.68999999999998,107.0
7.5,0.0,0.4,0.0,0.8,110.2,94.4,39.6,83.9,0.4728,9.9,24.6,0.4029000000000001,21.1,28.5,0.7444,8.4,43.9,22.8,10.9,5.5,11.2,19.9,34.3,83.2,0.4125,8.8,23.7,0.36769999999999997,17.0,21.9,0.7810999999999999,10.4,43.4,19.7,6.3,3.1,16.4,24.6,107.88000000000002,121.0
8.5,0.0,0.5,0.0,0.8,110.7,96.1,39.6,83.5,0.47539999999999993,10.6,25.9,0.4102,20.9,28.1,0.7478999999999999,8.4,43.2,23.4,10.8,5.7,11.0,20.0,34.6,83.4,0.4149999999999999,9.3,24.8,0.3728999999999999,17.6,22.3,0.7898,10.3,42.7,19.9,5.9,3.5,15.8,23.7,107.82000000000001,102.0
9.5,0.0,0.5,0.0,0.9,112.6,97.1,39.8,82.5,0.48310000000000003,11.0,26.4,0.4191,22.0,28.6,0.7860999999999998,8.7,42.9,23.2,10.1,5.4,10.6,20.1,34.5,82.7,0.41740000000000005,9.7,25.8,0.3779,18.4,22.7,0.8130999999999998,10.8,41.6,20.2,5.8,3.5,14.9,23.3,107.74000000000001,123.0
10.5,0.0,0.4,0.0,0.9,115.0,99.8,40.5,81.4,0.49820000000000003,11.2,26.2,0.4295,22.8,29.5,0.7876000000000001,8.2,42.4,23.6,8.9,5.2,10.9,20.2,35.4,82.3,0.4305,9.6,25.1,0.38539999999999996,19.4,23.7,0.8202,9.9,40.0,19.5,6.4,2.8,14.2,23.6,107.8,124.0
11.5,0.0,0.4,0.0,0.9,115.8,101.0,40.1,80.8,0.49720000000000003,11.8,27.1,0.4372999999999999,23.8,31.2,0.7689,8.1,42.6,23.8,9.2,5.0,11.0,20.0,36.2,83.3,0.43520000000000003,9.7,25.0,0.39119999999999994,18.9,23.0,0.8266,10.2,40.4,19.9,6.6,2.6,14.3,24.2,108.29,97.0
12.5,0.0,0.5,0.0,0.8,114.1,103.6,39.5,80.5,0.49119999999999997,11.2,26.7,0.41859999999999997,23.9,31.6,0.7594000000000001,8.5,41.3,23.6,8.8,4.8,11.4,19.6,37.9,84.1,0.4508,10.2,25.7,0.4052999999999999,17.6,21.1,0.8288,10.0,40.7,21.1,6.8,2.4,14.2,24.5,108.29,70.0
13.5,0.0,0.6,0.0,0.7,110.0,104.7,37.9,78.8,0.47890000000000005,10.5,25.9,0.40090000000000003,23.7,31.0,0.7682,7.7,39.8,22.3,8.8,4.5,12.7,19.4,38.8,84.5,0.45909999999999995,10.1,24.6,0.41159999999999997,17.0,20.4,0.8288,10.2,41.2,22.1,7.2,2.5,14.1,24.3,108.09,122.0
14.5,0.0,0.6,0.0,0.6,111.2,106.6,38.6,81.1,0.4758,10.7,27.2,0.3927,23.3,29.7,0.7855000000000001,7.7,40.9,22.6,8.9,4.5,13.1,20.3,39.5,86.1,0.45919999999999994,9.8,25.6,0.3887,17.8,22.1,0.8113000000000001,10.1,42.1,22.2,7.8,2.7,13.8,23.9,108.4,113.0
15.5,0.0,0.6,0.0,0.6,110.6,105.5,38.8,82.4,0.47040000000000004,10.9,27.9,0.38880000000000003,22.1,28.4,0.7764999999999999,8.2,41.4,23.4,8.9,4.4,12.8,21.6,38.3,84.1,0.4549,9.9,25.8,0.38980000000000004,19.0,23.9,0.8047000000000001,9.2,41.8,20.8,7.2,2.7,14.3,23.2,108.28000000000002,114.0
16.5,0.0,0.7,0.0,0.6,109.3,105.6,38.5,82.2,0.46820000000000006,10.5,27.8,0.3745,21.8,27.9,0.783,8.5,41.8,22.9,7.8,4.5,12.6,21.2,38.8,84.9,0.4566,9.4,24.5,0.3845,18.6,23.8,0.7893,9.3,42.1,21.1,7.1,2.9,13.3,22.5,107.94000000000001,102.0
17.5,0.0,0.7,0.0,0.6,108.8,105.6,38.4,82.2,0.46690000000000004,10.6,28.3,0.3718,21.4,27.3,0.7837999999999999,9.3,43.4,23.3,7.0,4.5,13.8,21.7,38.7,84.6,0.45719999999999994,8.4,23.3,0.3625,19.8,25.4,0.7850999999999999,8.9,41.4,20.8,7.4,2.9,12.7,22.7,108.09,98.0
18.5,0.0,0.6,0.0,0.5,106.5,105.6,38.0,83.8,0.4534000000000001,10.1,28.0,0.3578,20.4,26.3,0.7764,10.5,44.4,22.1,6.6,4.1,13.7,21.7,39.1,84.9,0.46020000000000005,8.1,23.8,0.3466,19.3,24.8,0.7849999999999999,9.2,42.3,21.9,7.8,3.0,12.3,22.7,107.36000000000001,133.0
19.5,0.0,0.6,0.0,0.5,109.6,106.6,39.8,85.5,0.4640000000000001,10.7,28.9,0.36429999999999996,19.3,24.9,0.7827000000000001,10.3,44.6,23.5,7.0,4.1,13.4,21.9,39.8,85.5,0.4655,8.0,22.7,0.3587,19.0,25.0,0.7670999999999999,8.5,41.6,22.7,7.4,2.7,12.7,22.2,107.41000000000001,121.0
20.5,0.0,0.6,0.0,0.5,109.4,107.1,40.1,87.0,0.4584999999999999,10.8,28.7,0.3721,18.4,23.5,0.7923000000000001,11.0,44.2,23.8,7.4,4.5,13.2,21.5,40.2,86.2,0.46610000000000007,8.2,22.9,0.36419999999999997,18.5,24.3,0.7706999999999999,9.4,42.6,23.3,7.0,3.2,13.1,21.5,107.7,113.0
21.5,0.0,0.6,0.0,0.5,108.3,107.5,39.5,85.9,0.4579,10.6,28.0,0.3772,18.7,24.1,0.7884,11.1,44.1,23.3,6.9,4.6,13.4,21.8,40.6,86.7,0.46810000000000007,8.5,23.8,0.36079999999999995,17.8,24.5,0.7263,9.6,42.1,23.9,6.8,3.0,12.3,22.0,107.96,102.0
22.5,0.0,0.6,0.0,0.6,108.8,106.5,39.6,86.9,0.45339999999999997,10.6,28.4,0.37189999999999995,19.0,24.4,0.7908000000000001,11.2,45.8,22.4,6.6,4.4,13.0,22.2,39.7,87.0,0.45680000000000004,8.2,24.6,0.3356,18.9,26.3,0.7188999999999999,9.7,42.6,23.3,6.6,3.5,11.7,22.1,107.92999999999999,110.0
23.5,0.0,0.6,0.0,0.6,112.8,109.1,41.7,88.6,0.47139999999999993,10.9,28.4,0.38439999999999996,18.5,24.1,0.7801000000000001,11.8,45.8,24.1,6.4,4.1,12.5,23.2,40.0,85.9,0.46640000000000004,8.7,24.6,0.3619,20.4,28.6,0.7032,9.3,40.7,23.1,6.8,3.5,11.9,22.4,108.0,119.0
24.5,0.0,0.5,0.0,0.7,112.5,106.6,41.8,86.3,0.48389999999999994,11.2,28.0,0.3963,17.7,23.2,0.7720000000000001,11.2,43.9,25.2,6.1,4.0,12.3,21.6,39.4,84.5,0.4664,8.5,24.7,0.3559,19.3,27.0,0.7015,10.0,39.9,23.1,6.4,3.3,11.8,21.6,108.16,106.0
25.5,0.0,0.4,0.0,0.7,111.8,107.3,41.5,85.7,0.48369999999999996,11.0,27.7,0.39369999999999994,17.8,23.0,0.7826000000000001,10.4,43.2,23.7,6.2,4.3,12.4,20.6,40.3,86.8,0.466,8.2,24.2,0.35,18.5,25.6,0.7111,11.2,41.8,23.8,6.7,3.7,11.2,21.5,107.47,88.0
26.5,0.0,0.3,0.0,0.6,109.2,106.7,40.4,84.3,0.47850000000000004,11.3,28.2,0.39679999999999993,17.1,22.5,0.7586999999999999,9.8,42.6,22.7,6.5,4.0,13.5,20.4,40.1,87.0,0.46259999999999996,8.4,25.1,0.3491,18.1,25.0,0.7091999999999999,11.6,42.0,23.8,7.5,3.7,11.3,21.5,107.57000000000001,102.0
27.5,0.0,0.4,0.0,0.6,109.2,106.7,40.5,84.7,0.47759999999999997,11.3,28.1,0.39799999999999996,16.9,21.9,0.7691,9.2,41.7,23.2,6.9,3.8,13.0,20.0,40.2,87.5,0.4608,8.7,26.2,0.3454,17.6,24.5,0.7059,12.4,43.2,23.5,7.3,3.8,11.7,21.2,107.97000000000003,102.0
28.5,0.0,0.4,0.0,0.6,109.6,105.8,40.8,83.9,0.4849,11.4,28.0,0.4032,16.6,21.5,0.7691,7.9,40.8,23.9,7.2,4.2,12.8,19.5,39.6,86.8,0.4574999999999999,9.1,26.2,0.35829999999999995,17.5,24.4,0.7051999999999999,12.3,43.7,22.5,7.2,3.4,12.1,20.6,108.8,98.0
29.5,0.0,0.5,0.0,0.5,106.1,105.5,39.1,83.9,0.46690000000000004,10.8,28.1,0.38570000000000004,17.1,22.4,0.7524,8.6,42.6,22.0,6.8,4.4,12.9,19.3,39.6,87.2,0.4553,9.3,27.2,0.35069999999999996,17.0,23.9,0.6969,12.3,44.8,22.3,8.0,3.8,11.1,20.7,108.8,116.0
30.5,0.0,0.6,0.0,0.4,105.6,107.5,39.4,84.6,0.4666,11.0,29.1,0.3773000000000001,15.8,21.2,0.7407999999999999,8.4,42.6,21.6,6.7,4.0,13.2,19.8,39.7,86.6,0.4603,9.7,29.1,0.33809999999999996,18.4,25.7,0.6925999999999999,11.9,45.1,22.7,8.6,3.6,10.9,20.0,108.64000000000001,88.0
31.5,0.0,0.6,0.0,0.3,103.1,108.1,38.8,84.7,0.4579000000000001,10.5,29.6,0.352,15.0,19.6,0.7562,8.4,42.2,20.9,6.5,3.9,13.6,20.3,39.2,85.5,0.4605,9.3,28.7,0.33020000000000005,20.4,27.2,0.7283,11.5,45.6,22.3,9.0,4.1,11.0,19.1,108.31000000000002,109.0
32.5,0.0,0.5,0.0,0.3,103.8,108.1,38.9,84.4,0.4608,10.5,28.7,0.3678,15.5,20.5,0.7506,8.9,42.3,20.9,6.5,4.7,14.5,20.4,39.3,86.4,0.45780000000000004,8.9,27.5,0.32130000000000003,20.6,26.9,0.7461,12.4,45.7,22.5,9.6,4.0,11.8,19.7,108.8,115.0
33.5,0.0,0.4,0.0,0.4,104.3,107.0,38.3,83.0,0.46209999999999996,10.7,28.6,0.37770000000000004,17.0,22.6,0.7509,8.5,42.8,20.4,6.3,5.1,14.3,20.4,38.8,87.1,0.4479,9.0,28.4,0.308,20.4,26.4,0.7520999999999999,12.7,46.7,23.1,9.2,4.1,11.2,20.4,108.58,106.0
34.5,0.0,0.5,0.0,0.4,103.0,106.6,37.5,82.8,0.45380000000000004,10.4,28.1,0.3752,17.6,23.4,0.7531000000000001,8.8,43.6,20.0,6.2,5.4,13.9,20.4,38.5,86.8,0.446,8.8,27.5,0.30979999999999996,20.8,26.6,0.7643999999999999,12.4,47.1,23.2,9.1,4.3,10.6,20.7,108.47999999999999,98.0
35.5,0.0,0.5,0.0,0.4,102.2,105.1,37.2,83.1,0.4487,10.2,28.3,0.3659,17.6,23.7,0.7438,9.1,44.7,20.9,6.2,5.1,13.8,20.2,37.9,86.0,0.4427,8.9,28.3,0.3040999999999999,20.4,26.2,0.7613999999999999,11.7,46.6,22.7,8.9,4.1,10.9,20.5,108.84,105.0
36.5,0.0,0.5,0.0,0.5,103.9,105.7,37.7,83.3,0.45409999999999995,9.8,28.0,0.3557,18.7,25.2,0.7494,9.4,45.5,21.5,6.4,5.2,13.9,20.6,38.1,86.5,0.4426000000000001,8.8,28.1,0.30219999999999997,20.7,26.5,0.7680999999999999,10.9,45.9,22.7,8.4,4.0,11.0,21.2,109.1,113.0
37.5,0.0,0.4,0.0,0.6,105.0,104.3,38.8,84.0,0.4628,9.8,27.9,0.3569,17.6,23.8,0.7551,9.1,45.5,21.9,6.1,5.3,13.1,21.0,37.7,86.1,0.43999999999999995,9.0,27.7,0.31779999999999997,19.9,26.2,0.747,10.2,45.1,23.0,8.0,3.9,11.1,21.1,109.1,120.0
38.5,0.0,0.4,0.0,0.7,106.8,103.5,39.4,83.8,0.4713,10.1,28.2,0.36379999999999996,17.9,24.0,0.7619,9.7,46.4,22.4,6.4,5.2,13.5,20.6,37.7,86.4,0.4385,8.9,27.6,0.3156,19.2,25.3,0.7491,10.0,43.6,22.6,8.0,4.2,11.2,20.8,108.63000000000002,101.0
39.5,0.0,0.3,0.0,0.7,107.1,103.7,39.9,83.1,0.48019999999999996,9.4,26.7,0.35229999999999995,17.9,24.6,0.7438999999999999,9.5,44.7,23.3,6.7,5.4,13.5,20.7,37.7,86.1,0.4401,8.4,26.3,0.31240000000000007,19.9,25.7,0.768,10.5,43.4,22.8,7.2,3.9,11.9,21.3,109.05,98.0
40.5,0.0,0.3,0.0,0.7,105.3,102.0,39.4,83.1,0.475,9.1,26.6,0.34419999999999995,17.4,23.8,0.7626,9.4,44.4,23.4,6.4,5.2,12.7,20.5,37.8,86.7,0.43739999999999996,8.0,24.7,0.31910000000000005,18.4,24.0,0.7650999999999999,10.6,43.4,22.9,6.4,3.4,11.6,21.2,109.38,115.0
41.5,0.0,0.3,0.0,0.8,108.0,101.1,40.5,84.0,0.48369999999999996,9.7,26.0,0.3758,17.3,23.9,0.7541999999999999,9.7,45.2,24.3,6.4,5.6,12.3,19.9,37.8,87.7,0.43200000000000005,7.9,24.7,0.3156,17.6,23.1,0.764,10.6,43.0,23.2,6.3,3.0,11.5,20.9,109.2,110.0
42.5,0.0,0.4,0.0,0.7,108.1,103.4,40.1,83.1,0.48389999999999994,10.8,27.8,0.3849,17.1,24.2,0.7438999999999999,9.6,44.7,24.3,6.7,4.6,12.1,20.0,38.4,86.5,0.4438,8.7,26.1,0.33680000000000004,17.9,23.1,0.7777,9.3,42.0,24.5,6.0,3.3,10.8,20.7,108.89000000000001,98.0
43.5,0.0,0.5,0.0,0.6,106.4,107.2,40.0,84.0,0.47709999999999997,11.1,28.3,0.3887,15.3,21.9,0.7364,9.6,43.4,24.4,6.9,4.3,12.2,19.5,40.3,86.9,0.4626,9.3,26.7,0.3475,17.3,22.2,0.783,9.0,42.5,25.0,6.3,3.5,11.0,19.3,108.58000000000001,124.0
44.5,0.0,0.5,0.0,0.6,108.2,108.8,40.5,84.1,0.48249999999999993,10.3,27.1,0.37309999999999993,16.9,23.6,0.7466,9.6,43.5,23.6,7.2,4.6,12.4,21.0,40.6,87.8,0.46179999999999993,9.1,25.7,0.3525,18.5,23.5,0.7886,9.5,41.9,24.8,6.4,3.5,11.6,20.2,108.64000000000001,120.0
45.5,0.0,0.5,0.0,0.5,110.4,113.5,40.9,83.5,0.4906,10.4,26.6,0.38309999999999994,18.2,25.0,0.7555,9.6,42.1,23.3,7.1,5.0,12.8,20.8,42.7,89.3,0.4774,9.8,26.4,0.36779999999999996,18.3,23.2,0.7908999999999999,9.9,41.5,27.2,6.8,3.2,11.2,20.7,108.34,102.0
46.5,0.0,0.6,0.0,0.4,110.1,114.6,40.5,84.3,0.481,10.5,26.9,0.3829999999999999,18.6,25.2,0.7649000000000001,9.5,41.8,23.2,6.4,4.5,12.0,20.1,42.5,88.9,0.47700000000000004,10.8,28.9,0.37639999999999996,18.8,23.4,0.8092,10.2,42.5,27.5,6.9,3.2,11.0,20.7,108.10999999999999,109.0
