Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER,gamePoints
5.5,0.0,0.3,0.0,0.5,107.5,103.8,38.7,85.5,0.45489999999999997,10.5,29.4,0.35619999999999996,19.6,25.9,0.7630000000000001,12.6,46.8,20.2,8.3,4.3,14.1,20.8,37.8,84.8,0.4448,10.8,28.7,0.3683,17.4,22.7,0.7726,10.5,42.2,22.9,8.8,5.6,14.3,23.1,106.88000000000002,111.0
6.5,0.0,0.3,0.0,0.4,107.8,106.6,38.4,83.2,0.4620000000000001,10.5,29.1,0.3598,20.5,27.6,0.7406999999999999,12.5,45.5,19.2,7.5,4.2,14.5,21.8,38.1,83.5,0.4554,11.5,29.7,0.38560000000000005,18.9,24.4,0.7842,10.4,41.0,23.1,8.8,5.6,13.5,24.5,106.79,103.0
7.5,0.0,0.4,0.0,0.3,105.1,108.9,37.1,83.0,0.44820000000000004,10.3,29.1,0.35209999999999997,20.6,27.3,0.7526,12.3,44.0,18.2,7.5,4.1,14.4,21.0,39.7,84.4,0.47119999999999995,11.5,28.9,0.39809999999999995,18.0,23.0,0.7897,10.8,42.5,23.8,8.7,5.7,13.9,23.7,106.35,105.0
8.5,0.0,0.4,0.0,0.2,105.4,111.4,36.8,82.9,0.44509999999999994,10.5,29.4,0.3551,21.3,28.4,0.7515000000000001,12.1,43.0,17.7,7.1,4.1,14.6,22.0,40.1,84.2,0.47759999999999997,11.5,29.3,0.395,19.7,25.4,0.7821999999999999,11.0,43.5,24.5,8.9,5.2,14.1,24.0,106.44000000000001,113.0
9.5,0.0,0.4,0.0,0.1,106.3,112.9,37.8,85.5,0.44299999999999995,10.6,30.1,0.3516,20.1,26.2,0.7661999999999999,12.0,43.9,19.5,7.4,4.6,15.0,22.7,40.8,84.3,0.485,11.2,29.5,0.3831,20.1,26.1,0.7751,10.2,44.2,25.0,9.3,5.2,14.7,23.4,106.99000000000001,87.0
10.5,0.0,0.5,0.0,0.1,106.3,113.6,38.3,85.4,0.4494999999999999,9.9,29.2,0.3397,19.8,25.9,0.7619,11.2,43.2,19.4,7.3,4.6,14.6,23.1,40.6,84.2,0.4831999999999999,11.4,29.3,0.39330000000000004,21.0,26.9,0.7877000000000001,9.8,44.1,25.4,8.9,5.5,14.3,23.0,107.22,85.0
11.5,0.0,0.6,0.0,0.1,103.5,110.2,37.4,84.8,0.4417,9.9,29.9,0.331,18.8,25.0,0.75,11.3,43.3,19.3,8.1,4.6,15.5,23.4,38.9,83.4,0.46799999999999997,11.3,29.8,0.38320000000000004,21.1,26.4,0.807,9.8,44.6,24.1,9.2,5.2,15.3,23.3,107.5,116.0
12.5,0.0,0.7,0.0,0.1,103.2,110.7,37.7,84.6,0.44699999999999995,10.1,30.1,0.33459999999999995,17.7,24.0,0.7356,11.2,41.7,19.6,7.9,4.5,15.4,22.9,39.4,82.8,0.4769,11.1,29.1,0.3844,20.8,25.9,0.8137000000000001,9.8,44.4,24.7,9.4,4.9,15.4,23.1,107.67999999999999,97.0
13.5,0.0,0.8,0.0,0.2,102.5,108.9,37.7,84.3,0.4487,10.6,30.3,0.3513,16.5,22.2,0.7505,10.3,41.1,20.1,8.3,4.3,15.7,22.0,39.2,82.7,0.4751,10.9,28.1,0.3949000000000001,19.6,24.4,0.8192999999999999,9.7,44.2,24.5,9.5,5.0,16.1,22.0,107.69000000000001,120.0
14.5,0.0,0.8,0.0,0.3,104.4,110.0,38.4,84.1,0.45780000000000004,10.7,30.0,0.3580000000000001,16.9,22.2,0.7638,9.5,40.5,20.4,7.9,4.2,15.9,22.0,39.9,83.4,0.4795,10.6,27.5,0.39270000000000005,19.6,24.9,0.8018000000000001,9.9,44.8,24.5,9.3,4.9,16.1,22.3,107.83999999999999,107.0
15.5,0.0,0.7,0.0,0.3,104.4,110.6,38.0,82.9,0.4609,10.6,29.9,0.3558,17.8,23.5,0.7632000000000001,9.5,40.2,20.7,8.1,4.4,16.1,21.7,40.3,83.5,0.4835,10.8,28.2,0.3877,19.2,24.4,0.8015000000000001,9.8,44.2,25.0,9.3,4.8,16.1,22.2,107.72,82.0
