Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER,gamePoints
5.5,0.0,0.6,0.0,0.6,109.6,105.8,41.4,87.0,0.4755,9.6,27.6,0.35290000000000005,17.2,21.1,0.8198000000000001,10.8,43.9,21.7,8.9,4.2,16.6,21.7,39.7,86.2,0.46020000000000005,7.8,25.6,0.30999999999999994,18.6,24.4,0.7706000000000001,10.5,41.3,22.9,9.8,4.0,15.3,18.6,107.3,99.0
6.5,0.0,0.7,0.0,0.5,107.5,106.9,40.2,85.2,0.47139999999999993,9.2,26.5,0.35190000000000005,17.9,21.9,0.8212999999999999,10.2,43.9,21.2,8.5,4.3,16.8,22.4,39.5,85.6,0.4615,8.4,25.4,0.33399999999999996,19.5,25.9,0.7668999999999999,10.4,41.8,22.8,9.8,4.3,14.9,18.2,107.55000000000003,125.0
7.5,0.0,0.6,0.0,0.6,111.1,109.1,41.1,86.0,0.4779,9.2,27.0,0.34490000000000004,19.7,24.1,0.8242,10.5,45.1,22.0,8.8,3.8,16.5,21.2,40.9,88.0,0.4657,9.0,27.0,0.3393,18.3,23.9,0.7768999999999999,10.0,41.8,23.7,10.2,4.2,14.9,19.1,108.1,107.0
8.5,0.0,0.5,0.0,0.6,112.2,109.4,41.5,86.0,0.48250000000000004,9.7,26.3,0.37100000000000005,19.5,23.8,0.8260000000000002,10.9,45.5,22.4,7.9,3.7,15.7,21.5,40.8,86.3,0.4747,9.1,26.8,0.3464,18.7,24.1,0.7891999999999999,9.3,40.7,23.8,9.5,4.2,14.2,18.7,107.68000000000002,110.0
9.5,0.0,0.4,0.0,0.6,112.4,109.7,41.6,86.4,0.4817,10.4,26.6,0.39150000000000007,18.8,23.4,0.8094000000000001,10.8,44.8,23.6,8.2,3.8,14.8,20.9,41.2,86.3,0.4793,8.9,26.2,0.3471,18.4,24.0,0.7812999999999999,9.8,42.0,24.6,9.1,3.7,14.3,18.3,107.5,111.0
10.5,0.0,0.3,0.0,0.6,111.2,109.0,41.0,85.7,0.479,10.9,27.1,0.4025,18.3,23.0,0.8007000000000002,10.3,44.1,23.7,7.9,3.6,15.0,20.1,41.6,87.0,0.48,8.9,25.7,0.3534,16.9,22.2,0.7746999999999999,9.9,42.3,24.5,9.2,4.2,14.0,17.8,107.67999999999999,106.0
11.5,0.0,0.4,0.0,0.5,110.1,114.2,40.5,85.5,0.47459999999999997,10.9,26.1,0.41580000000000006,18.2,23.1,0.792,9.4,42.7,23.3,7.5,3.2,14.5,20.7,43.0,87.0,0.4963,10.3,26.1,0.3906,17.9,23.7,0.7733000000000001,9.6,43.1,26.6,8.6,4.4,13.0,18.5,107.67999999999999,85.0
12.5,0.0,0.4,0.0,0.4,106.7,114.3,39.6,85.5,0.4645999999999999,10.4,26.0,0.39499999999999996,17.1,21.9,0.7845,9.3,41.9,23.1,7.9,3.0,14.4,20.1,43.3,86.2,0.5041,10.8,26.9,0.3999,16.9,22.6,0.7653000000000001,8.9,43.5,27.7,8.8,5.2,13.0,17.6,106.89000000000001,109.0
13.5,0.0,0.4,0.0,0.5,107.9,112.8,40.0,87.2,0.46010000000000006,10.2,25.4,0.39649999999999996,17.7,22.5,0.7908999999999998,10.0,43.5,23.1,8.0,3.1,13.7,19.7,42.9,86.8,0.496,11.0,28.1,0.3907,16.0,22.1,0.7186,8.8,43.6,27.8,8.2,5.4,13.1,18.3,106.63999999999999,88.0
14.5,0.0,0.4,0.0,0.4,106.6,114.2,39.9,88.5,0.45119999999999993,9.8,25.7,0.37989999999999996,17.0,22.1,0.7681999999999999,10.5,44.0,23.9,8.0,3.4,12.8,19.5,43.3,87.1,0.4992,11.0,29.1,0.37839999999999996,16.6,22.6,0.7276,9.0,44.7,28.4,7.9,5.4,12.4,18.1,106.24000000000001,96.0
