Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER
5.5,0.0,0.3,0.0,0.5,106.5,107.3,41.3,87.5,0.4718,7.4,23.6,0.3081,16.5,22.7,0.7321,8.3,46.1,23.1,8.3,5.5,16.9,21.7,40.8,90.7,0.45249999999999996,10.1,31.0,0.3297,15.6,21.0,0.7136000000000001,9.7,45.2,22.0,9.4,5.0,14.9,20.4,107.55,96.0
6.5,0.0,0.4,0.0,0.5,106.9,107.2,41.3,86.9,0.47459999999999997,7.5,24.4,0.3039,16.8,22.7,0.7451,8.3,45.7,22.6,8.3,5.6,17.0,23.2,40.4,89.8,0.45199999999999996,9.6,30.6,0.3174,16.8,22.8,0.6987000000000001,9.6,44.1,21.7,9.0,5.3,14.8,20.4,106.94000000000001,95.0
7.5,0.0,0.4,0.0,0.4,103.2,105.3,39.6,86.2,0.4590000000000001,6.6,24.1,0.27070000000000005,17.4,23.5,0.7456,9.5,46.1,22.1,8.4,5.7,17.1,22.0,40.2,88.9,0.45489999999999997,8.9,29.8,0.30240000000000006,16.0,21.0,0.7203,9.3,43.6,22.0,8.9,4.8,14.8,21.0,106.54,90.0
8.5,0.0,0.5,0.0,0.4,101.0,103.2,38.3,84.6,0.45200000000000007,6.3,23.6,0.26470000000000005,18.1,25.2,0.7301,9.4,47.1,21.5,8.4,6.0,17.5,21.8,39.0,89.1,0.43949999999999995,8.5,28.9,0.2972,16.7,21.5,0.7335,9.6,43.6,21.0,8.6,4.7,14.2,21.7,106.73000000000002,100.0
9.5,0.0,0.6,0.0,0.4,100.8,102.6,38.1,84.6,0.44980000000000003,7.0,23.9,0.2838,17.6,24.9,0.7103,9.7,47.1,20.5,8.1,6.1,17.0,21.2,38.8,89.1,0.4373,8.6,28.9,0.30100000000000005,16.4,21.2,0.7283000000000001,10.0,44.5,20.5,8.1,4.6,14.4,21.5,107.13000000000002,109.0
10.5,0.0,0.6,0.0,0.4,102.5,104.0,38.7,87.6,0.44270000000000004,7.0,24.3,0.28190000000000004,18.1,25.2,0.7210000000000001,11.0,47.9,20.3,8.1,6.1,15.8,21.3,39.0,88.4,0.4431000000000001,8.6,29.2,0.2988,17.4,22.2,0.7383,9.9,45.7,20.5,7.6,5.7,14.8,21.0,107.00000000000003,113.0
11.5,0.0,0.5,0.0,0.4,105.7,106.6,40.1,88.6,0.4539000000000001,7.2,24.6,0.2872,18.3,25.6,0.7177,10.5,48.9,21.2,7.6,6.7,16.1,21.3,40.1,90.8,0.4429,8.6,29.3,0.2975,17.8,22.8,0.7375,9.4,45.2,21.5,7.7,5.7,14.0,21.2,107.87,127.0
12.5,0.0,0.5,0.0,0.4,107.1,108.2,40.9,89.5,0.4574000000000001,7.2,25.2,0.2785,18.1,25.8,0.6954,10.7,48.2,21.8,7.8,6.7,16.2,22.6,39.6,89.8,0.44220000000000004,8.9,29.1,0.3091,20.1,26.0,0.7727999999999999,10.1,45.5,21.2,7.8,6.2,14.8,21.6,108.2,103.0
13.5,0.0,0.4,0.0,0.5,106.4,106.3,40.2,90.6,0.44300000000000006,8.1,27.4,0.28880000000000006,17.9,25.6,0.6933,11.7,50.3,22.5,7.7,6.5,16.3,22.2,39.2,90.6,0.434,9.1,30.5,0.29880000000000007,18.8,24.9,0.7526999999999999,10.6,46.8,21.2,7.5,6.2,15.0,21.4,108.69000000000001,102.0
14.5,0.0,0.5,0.0,0.4,104.2,106.4,39.3,89.0,0.44190000000000007,8.7,28.2,0.29760000000000003,16.9,24.4,0.6828999999999998,11.4,47.8,22.6,7.5,6.2,16.4,21.2,40.2,90.0,0.4486,9.2,28.8,0.32270000000000004,16.8,22.5,0.7407,10.8,46.9,21.5,7.6,6.1,15.1,21.2,108.75999999999999,115.0
