Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER,gamePoints
5.5,0.0,0.4,0.0,0.6,101.8,98.1,35.8,81.3,0.44139999999999996,10.3,30.6,0.33790000000000003,19.9,25.5,0.7683,7.6,40.4,19.5,7.9,5.3,12.4,22.8,34.5,81.7,0.42440000000000005,9.6,29.8,0.3265,19.5,24.6,0.7976000000000001,10.6,45.0,20.1,6.0,5.7,15.6,23.7,107.62,98.0
6.5,0.0,0.5,0.0,0.6,101.3,98.7,35.4,79.4,0.44689999999999996,10.1,29.6,0.3437,20.4,25.2,0.7952,6.6,39.3,19.4,7.8,5.5,12.7,22.0,35.1,81.9,0.43080000000000007,9.5,29.2,0.33009999999999995,19.0,23.7,0.8098000000000001,10.0,44.1,19.7,6.5,4.6,15.5,22.4,107.45,96.0
7.5,0.0,0.6,0.0,0.5,99.8,99.7,35.6,79.6,0.44819999999999993,9.7,28.9,0.3367,18.9,23.3,0.7946,6.5,39.4,19.7,7.9,5.6,13.2,21.5,35.5,81.8,0.43610000000000004,9.9,29.9,0.33409999999999995,18.8,23.8,0.7996000000000001,9.9,44.1,19.5,6.9,4.3,15.3,21.5,107.33,103.0
8.5,0.0,0.6,0.0,0.4,100.3,101.7,36.4,80.4,0.45430000000000004,10.2,29.6,0.3474,17.3,21.7,0.7884000000000001,7.0,39.3,20.2,7.9,5.5,13.4,21.9,36.3,82.3,0.44329999999999997,10.2,28.3,0.36489999999999995,18.9,24.0,0.7977000000000001,10.0,43.8,19.3,7.0,4.6,14.6,20.3,107.67999999999999,113.0
9.5,0.0,0.5,0.0,0.4,102.2,103.0,37.5,81.8,0.45969999999999994,9.8,29.7,0.3337,17.4,21.5,0.7990000000000002,7.5,40.0,21.7,7.7,6.3,13.1,21.6,37.0,83.4,0.44530000000000003,10.3,28.1,0.37259999999999993,18.7,23.1,0.8187000000000001,10.1,43.9,20.2,7.0,4.8,14.7,20.0,107.58000000000001,83.0
10.5,0.0,0.5,0.0,0.3,100.9,104.4,37.6,83.1,0.4546,9.5,29.0,0.33019999999999994,16.2,20.4,0.786,8.1,40.2,21.7,7.6,6.4,12.5,21.1,37.3,81.8,0.45619999999999994,11.1,29.0,0.38509999999999994,18.7,23.2,0.8147,9.2,43.1,20.3,6.8,5.4,14.9,20.2,107.32000000000001,92.0
11.5,0.0,0.5,0.0,0.2,99.8,105.5,36.9,83.2,0.4459000000000001,8.9,28.7,0.31449999999999995,17.1,21.5,0.7893,8.0,39.5,21.4,7.2,6.7,12.4,21.7,37.7,82.4,0.45829999999999993,10.3,26.7,0.3883,19.8,24.3,0.8211999999999999,9.9,44.8,19.6,6.5,6.0,14.7,20.2,107.30999999999999,94.0
12.5,0.0,0.5,0.0,0.2,99.3,104.6,37.4,82.0,0.4572,8.8,28.1,0.3157,15.7,19.6,0.8004,7.5,39.9,22.2,7.2,6.5,13.4,22.0,37.9,82.6,0.4596,10.5,27.8,0.37920000000000004,18.3,23.0,0.7919,9.3,43.2,20.4,7.1,5.5,14.4,19.4,107.24000000000001,92.0
13.5,0.0,0.6,0.0,0.2,98.6,104.9,37.1,81.1,0.45890000000000003,8.7,27.5,0.3199,15.7,19.6,0.8004000000000001,7.3,39.1,22.9,7.0,6.5,13.9,22.5,38.1,83.0,0.45949999999999996,10.1,28.1,0.3625,18.6,24.2,0.7638999999999999,10.2,44.4,20.3,7.4,5.1,14.1,19.0,107.30000000000003,88.0
14.5,0.0,0.5,0.0,0.1,96.1,104.3,36.3,80.7,0.4513,8.2,26.9,0.31,15.3,19.0,0.806,7.5,38.7,22.3,7.0,6.1,14.2,22.1,37.6,82.1,0.45829999999999993,11.0,28.4,0.3919,18.1,23.4,0.7691,9.9,44.4,20.4,7.4,5.1,14.5,19.0,107.34,95.0
15.5,0.0,0.5,0.0,0.1,95.4,104.0,35.8,79.7,0.4508,8.2,25.4,0.3303,15.6,19.2,0.8149000000000001,8.0,38.5,22.1,6.8,5.5,14.7,21.8,37.4,81.1,0.4619,10.9,27.7,0.3986,18.3,23.5,0.7741,9.6,43.0,20.1,7.8,5.2,13.7,19.1,107.03,79.0
16.5,0.0,0.4,0.0,0.0,93.5,103.8,35.3,79.8,0.4433999999999999,8.0,25.0,0.32680000000000003,14.9,18.5,0.8087,8.3,38.9,22.2,6.8,5.1,14.9,22.3,36.9,80.0,0.46179999999999993,11.4,28.5,0.4077,18.6,24.7,0.7478999999999999,9.3,43.1,21.0,7.7,5.6,13.4,19.1,106.89000000000001,111.0
17.5,0.0,0.4,0.0,0.0,95.0,104.3,35.8,80.3,0.4465,8.7,25.3,0.3533,14.7,18.1,0.8165999999999999,8.4,38.4,23.0,6.5,5.0,14.2,22.2,37.4,79.2,0.47319999999999995,10.9,26.4,0.41790000000000005,18.6,24.2,0.7642,8.3,41.6,21.6,7.1,5.9,12.9,18.6,107.43000000000002,95.0
18.5,0.0,0.3,0.0,0.1,94.2,102.5,35.5,79.9,0.445,8.2,24.8,0.3396,15.0,18.4,0.8184000000000001,8.2,38.8,23.1,6.6,5.7,14.4,21.9,36.9,78.9,0.4687,10.1,25.9,0.38689999999999997,18.6,23.6,0.7868999999999999,8.0,41.4,21.0,7.4,5.6,12.9,18.3,107.53,88.0
19.5,0.0,0.4,0.0,0.1,91.7,100.8,34.0,78.3,0.4351999999999999,8.6,24.4,0.3575,15.1,18.4,0.8229000000000001,7.5,37.2,21.6,6.9,5.2,14.5,22.4,36.1,77.1,0.47030000000000005,9.8,24.9,0.40119999999999995,18.8,24.3,0.771,8.5,42.0,20.3,7.6,5.3,13.3,18.7,107.77000000000001,107.0
20.5,0.0,0.4,0.0,0.1,94.1,101.9,35.0,77.9,0.4492000000000001,8.8,24.4,0.3649,15.3,18.7,0.8219,7.1,35.9,22.2,7.1,4.8,14.9,23.1,36.3,77.1,0.47280000000000005,9.3,23.7,0.40119999999999995,20.0,25.5,0.7779,8.6,41.1,20.3,7.6,4.7,12.8,18.6,107.72,101.0
21.5,0.0,0.4,0.0,0.1,95.0,102.1,35.6,78.1,0.4551,9.3,24.7,0.3776,14.5,18.1,0.8024000000000001,7.9,37.1,22.2,7.0,4.4,15.4,23.5,36.6,78.0,0.4721,9.9,25.6,0.3965000000000001,19.0,25.4,0.7484999999999999,8.8,39.8,21.0,8.2,4.3,12.3,18.4,107.80000000000003,82.0
22.5,0.0,0.4,0.0,0.1,93.8,103.3,34.7,77.2,0.44830000000000003,9.4,24.5,0.3831,15.0,19.4,0.7762,7.9,35.0,21.4,6.9,3.9,15.1,23.2,36.4,75.5,0.48530000000000006,10.4,25.5,0.4163,20.1,26.2,0.7777,8.6,39.3,21.1,8.1,4.9,12.8,19.2,107.55,87.0
23.5,0.0,0.4,0.0,0.1,93.3,102.2,34.2,78.0,0.4373,9.5,24.9,0.3813,15.4,19.4,0.8012,8.6,37.4,20.4,6.5,3.8,14.9,23.4,36.0,75.3,0.48150000000000004,10.4,24.5,0.42910000000000004,19.8,26.0,0.7699999999999999,7.7,38.7,20.8,7.9,5.3,12.2,19.6,107.32000000000001,96.0
24.5,0.0,0.4,0.0,0.2,94.1,101.8,34.6,77.8,0.44349999999999995,9.9,24.9,0.39730000000000004,15.0,19.3,0.7828999999999999,8.5,38.2,21.0,6.9,4.1,15.6,23.4,36.1,75.6,0.48109999999999997,10.3,24.7,0.42300000000000004,19.3,25.3,0.7748999999999999,7.2,37.9,21.6,8.4,5.1,12.2,19.3,107.35999999999999,93.0
