Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER
5.5,0.0,0.6,0.0,0.6,102.2,100.6,35.8,80.0,0.4504,10.1,27.1,0.3764,20.5,27.2,0.7659,7.3,37.3,23.4,10.2,4.0,12.6,22.6,36.2,78.7,0.46099999999999997,11.0,29.8,0.37270000000000003,17.2,23.7,0.7331000000000001,9.5,43.9,23.9,6.1,4.6,17.4,23.8,109.78000000000002,112.0
6.5,0.0,0.5,0.0,0.7,105.1,100.1,37.8,81.9,0.46430000000000005,10.2,27.2,0.37859999999999994,19.3,25.9,0.7571000000000001,8.1,39.0,23.4,10.0,4.0,13.0,22.6,35.9,78.9,0.45619999999999994,10.8,30.3,0.36000000000000004,17.5,24.0,0.7418,9.0,43.0,23.7,6.9,4.5,17.7,23.4,110.08000000000001,88.0
7.5,0.0,0.5,0.0,0.6,100.8,98.0,36.7,81.7,0.4518,9.3,27.0,0.34530000000000005,18.1,23.9,0.7655999999999998,8.2,39.1,22.1,9.8,4.5,13.0,22.5,35.0,78.8,0.44580000000000003,10.3,30.5,0.34140000000000004,17.7,23.4,0.7602,9.2,43.9,22.9,6.7,4.6,17.3,22.8,109.3,116.0
8.5,0.0,0.5,0.0,0.6,103.2,100.9,37.8,81.6,0.4655,9.8,27.8,0.35209999999999997,17.8,23.7,0.7597999999999999,7.9,38.2,22.7,9.6,4.7,13.2,22.3,36.2,78.7,0.461,10.4,30.8,0.3421,18.1,23.8,0.7634000000000001,9.1,43.3,23.3,6.6,4.8,17.4,22.8,109.27000000000001,112.0
9.5,0.0,0.4,0.0,0.7,105.2,101.6,38.5,80.7,0.47780000000000006,9.9,26.6,0.36910000000000004,18.3,24.8,0.7454000000000001,7.5,37.3,23.3,10.0,4.6,13.0,22.1,36.4,78.4,0.46510000000000007,11.0,32.3,0.3452,17.8,22.9,0.7747999999999999,8.5,41.8,23.7,6.8,4.5,18.1,23.7,109.27000000000001,100.0
10.5,0.0,0.5,0.0,0.7,103.5,100.7,37.6,81.0,0.4648,10.2,26.8,0.3774,18.1,25.1,0.7264999999999999,8.2,37.7,22.9,9.9,5.4,13.0,22.0,35.9,78.6,0.4577,11.3,31.9,0.35930000000000006,17.6,22.6,0.7771999999999999,9.0,43.2,22.9,7.1,4.7,18.2,23.2,109.07000000000001,98.0
11.5,0.0,0.5,0.0,0.7,102.6,100.0,37.7,81.5,0.46299999999999997,10.1,27.0,0.37099999999999994,17.1,23.4,0.7412,8.1,38.4,23.0,9.1,6.2,13.0,22.1,35.7,80.0,0.4486,10.9,31.6,0.3506,17.7,22.7,0.7779,9.2,43.8,22.2,7.0,4.4,17.1,22.9,108.8,104.0
12.5,0.0,0.5,0.0,0.7,102.0,100.3,37.8,82.1,0.4604000000000001,9.6,26.9,0.353,16.8,22.1,0.7651000000000001,7.6,38.5,22.8,8.6,6.6,12.8,21.7,35.6,80.5,0.44449999999999995,10.2,30.2,0.3435,18.9,23.2,0.8085999999999999,9.2,44.2,22.2,7.1,4.4,16.5,22.4,109.33000000000001,107.0
13.5,0.0,0.5,0.0,0.7,102.7,101.3,38.4,83.7,0.45870000000000005,9.8,27.3,0.3559,16.1,21.0,0.7705,7.3,40.2,23.8,7.9,7.0,13.1,22.5,36.3,83.5,0.43550000000000005,9.6,29.3,0.3345,19.1,23.3,0.8129,9.5,45.3,22.3,7.0,4.6,15.2,22.0,108.94000000000001,98.0
14.5,0.0,0.4,0.0,0.7,102.4,99.9,38.4,84.0,0.45710000000000006,10.0,27.6,0.3593,15.6,20.8,0.7522,7.5,41.3,23.4,7.6,8.1,12.8,22.9,35.6,84.5,0.4223,9.1,29.1,0.3167,19.6,24.2,0.8016,10.1,46.3,21.1,7.0,4.7,14.6,21.6,109.37,114.0
15.5,0.0,0.4,0.0,0.6,104.9,103.4,39.7,85.5,0.4648,10.2,28.4,0.3557,15.3,20.4,0.7539,7.8,41.2,24.2,7.8,7.9,12.4,23.0,36.6,83.2,0.44420000000000004,10.1,29.2,0.34619999999999995,20.1,25.1,0.7941,9.2,45.3,21.7,6.6,4.9,14.5,21.2,109.25,131.0
16.5,0.0,0.5,0.0,0.6,106.8,105.3,40.2,85.3,0.4706,10.3,28.4,0.35900000000000004,16.1,21.1,0.7670000000000001,7.4,41.2,25.3,7.7,8.2,13.0,23.5,36.4,84.1,0.43710000000000004,10.9,30.5,0.35679999999999995,21.6,26.5,0.8149000000000001,9.5,45.6,21.6,6.3,4.7,13.8,22.0,109.25,95.0
17.5,0.0,0.6,0.0,0.6,107.5,106.0,40.2,85.3,0.4706,11.0,28.8,0.3816,16.1,21.1,0.767,6.9,40.5,25.3,7.7,8.0,12.8,23.1,36.8,83.3,0.44670000000000004,10.8,29.5,0.3650999999999999,21.6,26.5,0.8149000000000001,8.5,45.1,21.9,6.1,4.3,13.9,21.5,109.61999999999998,96.0
18.5,0.0,0.5,0.0,0.6,105.5,103.3,39.7,85.5,0.46349999999999997,10.3,28.0,0.3677,15.8,21.1,0.7545000000000001,7.6,42.0,24.7,7.8,8.2,13.1,23.8,35.2,82.6,0.42990000000000006,10.7,28.3,0.3742,22.2,27.3,0.8134,8.7,45.4,21.3,6.5,3.9,14.1,21.4,110.16,107.0
19.5,0.0,0.6,0.0,0.6,105.0,103.2,39.3,85.3,0.4598999999999999,10.0,27.4,0.3658,16.4,21.5,0.7670000000000001,7.7,42.2,25.3,7.7,8.4,12.9,24.0,35.3,83.0,0.4288,10.2,27.9,0.36189999999999994,22.4,27.3,0.8217000000000001,8.8,45.4,21.5,6.1,4.2,13.8,21.5,110.26999999999998,88.0
20.5,0.0,0.5,0.0,0.5,103.8,105.6,39.2,85.5,0.4577000000000001,9.4,27.6,0.3429,16.0,20.8,0.7727999999999999,7.6,41.5,24.4,7.9,8.2,13.2,23.9,36.5,84.7,0.4343,10.6,29.0,0.36049999999999993,22.0,26.9,0.8154,9.7,46.2,22.2,6.4,4.5,13.6,21.7,109.93999999999998,99.0
21.5,0.0,0.6,0.0,0.4,103.9,107.3,39.2,85.0,0.4609,9.1,27.3,0.33620000000000005,16.4,21.1,0.7812,7.7,40.4,23.7,7.8,7.5,13.1,23.7,37.4,83.6,0.4508,10.5,28.6,0.36129999999999995,22.0,27.1,0.808,10.1,45.9,22.7,6.7,4.7,14.0,21.5,109.72999999999999,92.0
22.5,0.0,0.5,0.0,0.4,102.7,105.3,38.7,85.1,0.45430000000000004,9.1,27.2,0.3375,16.2,21.4,0.7621999999999999,8.2,41.5,23.5,8.3,7.8,13.4,23.4,37.1,84.1,0.4449000000000001,10.4,28.6,0.3568,20.7,25.7,0.8026000000000002,9.5,46.0,22.1,7.4,5.1,14.6,21.4,109.62999999999997,97.0
23.5,0.0,0.4,0.0,0.4,101.7,104.1,38.0,84.2,0.4508,9.0,27.4,0.33180000000000004,16.7,22.1,0.7604,8.6,40.2,22.7,8.6,7.6,12.5,22.3,36.7,82.9,0.44620000000000004,11.1,30.2,0.36050000000000004,19.6,24.8,0.7859,10.1,46.2,22.5,7.1,5.4,15.1,21.1,109.3,97.0
24.5,0.0,0.4,0.0,0.4,101.6,104.3,38.2,83.1,0.45990000000000003,8.4,26.7,0.3168000000000001,16.8,21.9,0.7731,8.6,39.6,22.0,8.9,6.3,13.2,22.2,36.8,81.1,0.4567,11.6,31.7,0.3592000000000001,19.1,24.1,0.7895000000000001,9.3,44.2,23.1,7.2,5.1,15.6,21.2,109.03,93.0
25.5,0.0,0.5,0.0,0.4,99.5,103.1,37.5,82.5,0.4549,8.1,26.3,0.31029999999999996,16.4,21.6,0.7652000000000001,7.7,40.2,21.7,8.6,6.2,13.5,22.2,36.3,82.7,0.43929999999999997,11.0,31.5,0.34340000000000004,19.5,24.0,0.807,9.5,45.3,22.9,7.7,5.1,15.1,21.3,109.2,92.0
26.5,0.0,0.5,0.0,0.3,95.6,100.5,35.8,80.2,0.44770000000000004,7.8,26.0,0.30360000000000004,16.2,21.3,0.7683,7.7,39.3,21.2,9.0,6.6,13.2,22.0,35.6,80.8,0.4413,10.5,29.7,0.3493,18.8,23.0,0.8137000000000001,9.6,44.5,21.9,7.9,5.1,15.6,20.8,109.25999999999999,99.0
27.5,0.0,0.5,0.0,0.3,96.0,100.4,36.2,80.3,0.45220000000000005,8.3,26.4,0.31429999999999997,15.3,20.0,0.78,8.2,40.2,21.7,9.0,6.7,13.6,22.1,35.3,82.2,0.4302,11.2,31.6,0.34950000000000003,18.6,22.9,0.8094000000000001,10.5,44.3,22.2,8.4,5.4,14.9,20.3,109.45,107.0
