Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER
5.5,0.0,0.4,0.0,0.2,94.4,97.5,36.5,86.3,0.42269999999999996,8.0,22.8,0.3329,13.4,19.7,0.6771999999999998,10.8,44.3,19.8,8.0,6.2,13.8,21.0,36.1,85.3,0.4245,6.9,20.2,0.3546,18.4,22.5,0.8196999999999999,11.2,46.8,18.2,6.8,4.9,13.5,17.7,106.50999999999999,96.0
6.5,0.0,0.3,0.0,0.2,93.2,95.2,35.7,86.3,0.41439999999999994,8.3,24.2,0.3312,13.5,20.2,0.6670999999999998,10.9,45.0,19.0,8.0,6.3,13.5,20.6,35.5,84.9,0.4192,7.0,20.7,0.3517,17.2,21.0,0.818,10.9,47.1,18.2,6.7,5.3,13.7,18.2,106.35,114.0
7.5,0.0,0.4,0.0,0.3,95.5,96.6,36.8,86.2,0.42779999999999996,8.2,23.5,0.33809999999999996,13.7,20.8,0.6597999999999999,11.5,44.5,19.2,8.4,6.6,13.2,20.4,36.2,84.6,0.42840000000000006,7.4,21.2,0.3605999999999999,16.8,20.8,0.8074,10.9,46.2,18.4,6.6,4.6,14.0,18.4,106.38000000000002,94.0
8.5,0.0,0.5,0.0,0.3,95.0,96.1,36.5,87.0,0.42010000000000003,8.2,24.6,0.3257,13.8,21.0,0.6585,13.0,45.9,19.0,8.4,6.6,13.3,20.2,36.2,84.2,0.4307,7.5,22.0,0.34730000000000005,16.2,20.2,0.8028000000000001,10.2,45.8,18.5,7.0,4.6,13.9,18.3,106.92,84.0
9.5,0.0,0.6,0.0,0.2,92.6,97.2,35.5,85.9,0.4131,7.6,24.3,0.30779999999999996,14.0,21.1,0.6628000000000001,13.1,45.1,18.5,7.9,6.1,13.2,20.3,36.8,83.4,0.44189999999999996,7.6,21.6,0.35719999999999996,16.0,20.0,0.8016,10.3,45.4,19.5,7.4,4.9,13.7,17.9,106.52000000000001,90.0
10.5,0.0,0.6,0.0,0.3,92.9,95.7,35.4,85.6,0.4133,7.9,24.6,0.31440000000000007,14.2,21.4,0.6628000000000001,12.9,45.2,18.3,7.7,6.4,12.7,20.2,36.0,83.2,0.4333,7.4,21.0,0.35429999999999995,16.3,20.5,0.7952999999999999,10.6,45.5,19.5,7.0,5.8,13.9,17.9,106.46000000000001,107.0
11.5,0.0,0.5,0.0,0.3,95.1,97.0,36.3,85.3,0.4258,8.6,26.0,0.3264,13.9,21.6,0.6431,12.5,45.0,18.9,7.2,6.3,12.4,20.7,36.0,82.0,0.44049999999999995,7.4,20.7,0.35819999999999996,17.6,22.1,0.7947,9.8,44.2,19.4,6.7,5.8,12.9,18.0,106.41000000000001,104.0
12.5,0.0,0.5,0.0,0.3,96.0,98.4,36.5,84.5,0.4324,7.9,26.1,0.30160000000000003,15.1,23.3,0.6452,11.8,44.5,19.1,7.0,6.0,12.4,21.3,36.3,81.4,0.4471,7.9,21.8,0.36139999999999994,17.9,22.7,0.7854999999999999,9.2,43.4,20.2,6.4,5.9,12.8,19.5,106.59,106.0
13.5,0.0,0.6,0.0,0.4,97.5,98.0,36.8,85.7,0.42960000000000004,8.3,26.8,0.3097,15.6,24.0,0.6503,12.5,45.4,19.6,7.9,6.3,12.2,22.1,36.1,82.4,0.43949999999999995,8.0,22.0,0.36319999999999997,17.8,23.2,0.7637999999999999,10.0,44.4,21.8,6.2,6.2,13.8,19.7,107.3,111.0
14.5,0.0,0.6,0.0,0.5,99.6,99.6,37.5,85.9,0.43679999999999997,8.7,27.2,0.3251,15.9,23.8,0.6720999999999999,12.8,45.3,19.0,7.2,5.7,11.5,21.3,36.8,81.5,0.45410000000000006,8.9,23.5,0.36660000000000004,17.1,22.2,0.7661999999999999,9.1,42.3,21.8,6.3,6.3,13.2,19.6,107.47999999999999,92.0
