Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER,gamePoints
5.5,0.0,0.5,0.0,0.5,111.5,110.1,40.0,91.6,0.43810000000000004,12.2,34.0,0.35990000000000005,19.3,27.0,0.7173999999999999,12.7,50.0,22.4,7.1,7.3,15.2,22.7,40.0,91.2,0.44090000000000007,11.6,31.2,0.37100000000000005,18.5,25.4,0.7328,10.9,44.9,23.0,7.4,7.3,13.1,25.0,110.92999999999999,102.0
6.5,0.0,0.4,0.0,0.5,111.6,110.7,39.8,89.9,0.4438999999999999,12.7,33.4,0.3845,19.3,27.5,0.704,12.2,48.6,23.5,7.3,7.4,15.9,22.6,40.4,89.7,0.45380000000000004,11.6,30.7,0.37800000000000006,18.3,25.2,0.7301,10.1,43.7,23.0,7.7,7.1,13.7,25.1,110.77000000000001,110.0
7.5,0.0,0.3,0.0,0.4,111.3,111.1,39.9,89.0,0.44899999999999995,12.7,33.2,0.3866,18.8,26.7,0.7074,11.4,46.9,23.5,7.2,7.4,16.2,23.1,40.6,89.9,0.4551000000000001,11.7,30.3,0.38750000000000007,18.2,25.1,0.7294,11.0,44.5,22.5,7.8,6.1,13.8,24.5,110.77000000000001,114.0
8.5,0.0,0.3,0.0,0.4,111.5,112.2,39.5,87.8,0.45099999999999996,12.9,32.9,0.3961,19.6,27.3,0.7187999999999999,11.0,46.0,23.3,7.3,6.9,16.2,23.4,40.4,88.9,0.458,11.6,29.7,0.3911,19.8,26.7,0.7437,10.8,44.7,22.6,7.7,4.9,13.6,24.2,110.47,120.0
9.5,0.0,0.4,0.0,0.4,112.5,114.2,40.2,88.1,0.45750000000000013,12.4,32.9,0.37890000000000007,19.7,27.3,0.7222999999999999,11.2,45.6,23.2,7.2,7.0,16.6,24.6,41.2,89.9,0.46230000000000004,11.2,29.2,0.38330000000000003,20.6,27.7,0.7502000000000001,11.4,44.8,22.3,8.2,4.8,13.9,24.8,110.08,91.0
10.5,0.0,0.5,0.0,0.3,109.6,113.0,39.3,87.8,0.44930000000000003,12.3,32.6,0.3793,18.7,25.7,0.7268999999999999,10.9,45.1,23.2,7.5,6.7,17.0,24.1,41.1,89.2,0.46469999999999995,11.4,28.6,0.3988,19.4,26.4,0.7476,11.0,45.3,23.1,8.5,4.6,14.9,23.7,109.71999999999998,97.0
11.5,0.0,0.5,0.0,0.3,108.0,112.0,39.0,87.3,0.44820000000000004,12.3,31.9,0.3866,17.7,24.2,0.73,10.8,44.7,23.2,6.8,6.3,16.4,24.1,40.5,89.0,0.45940000000000003,11.3,28.7,0.39330000000000004,19.7,26.0,0.7733,11.5,45.7,21.9,8.4,4.3,14.6,23.3,109.53,92.0
12.5,0.0,0.4,0.0,0.3,105.9,109.9,38.5,88.6,0.43709999999999993,11.9,32.3,0.36920000000000003,17.0,23.8,0.7117,11.6,46.5,22.5,6.4,6.4,16.3,23.9,39.9,89.7,0.44830000000000003,10.8,29.0,0.3727,19.3,25.7,0.7674000000000001,12.0,47.1,20.9,8.3,4.2,14.3,22.8,109.22999999999999,103.0
13.5,0.0,0.4,0.0,0.4,104.4,107.2,38.1,88.8,0.4314,11.3,31.7,0.3586,16.9,24.3,0.6961,11.3,47.2,21.8,6.8,6.9,16.0,24.0,38.8,90.3,0.4332,10.2,28.6,0.3571,19.4,25.4,0.7841,12.3,48.5,19.9,8.0,4.1,14.4,23.0,109.21,115.0
14.5,0.0,0.4,0.0,0.3,103.9,108.2,37.6,88.5,0.4276,11.6,32.2,0.36160000000000003,17.1,24.4,0.7004,12.1,46.8,21.5,6.4,6.6,15.0,23.6,39.2,88.8,0.4444,10.2,28.6,0.35710000000000003,19.6,25.1,0.7998000000000001,11.3,47.2,19.7,7.6,4.5,13.4,22.1,109.03,113.0
15.5,0.0,0.4,0.0,0.2,105.7,110.9,38.0,87.9,0.4349,11.9,32.8,0.3645,17.8,25.6,0.6949000000000001,11.8,45.1,21.6,7.6,5.8,15.7,24.4,39.9,87.4,0.4589,10.1,28.5,0.3552,21.0,26.9,0.7913,11.1,46.9,20.0,8.1,4.7,14.6,22.6,109.27999999999997,106.0
16.5,0.0,0.4,0.0,0.3,106.1,110.0,38.4,89.2,0.43289999999999995,11.6,33.4,0.3459,17.7,25.3,0.6981,12.2,45.9,21.1,8.0,5.6,14.4,24.1,39.1,87.7,0.44719999999999993,10.0,29.3,0.3416,21.8,26.9,0.8189,11.6,47.6,20.5,7.5,5.0,14.4,22.2,109.88,102.0
17.5,0.0,0.4,0.0,0.4,105.3,108.4,38.1,89.5,0.4282,11.7,33.2,0.35140000000000005,17.4,25.1,0.692,12.2,47.1,20.6,8.3,5.9,13.8,22.6,39.0,88.3,0.44279999999999997,10.3,30.4,0.3385,20.1,24.6,0.8185,11.0,47.8,21.2,7.5,5.1,14.2,21.5,109.11999999999998,90.0
18.5,0.0,0.4,0.0,0.4,102.9,106.5,38.2,90.9,0.42189999999999994,11.6,33.6,0.34380000000000005,14.9,22.3,0.6502,13.0,47.8,20.6,8.5,6.4,13.8,21.5,38.9,88.6,0.44000000000000006,10.2,29.6,0.3468,18.5,22.7,0.8140000000000001,11.1,47.9,21.0,7.5,5.5,14.4,20.4,108.97999999999999,115.0
19.5,0.0,0.4,0.0,0.4,102.4,105.6,37.8,91.0,0.4166,12.3,34.4,0.3567,14.5,21.3,0.6677000000000001,13.0,47.1,21.5,8.9,6.3,13.3,20.4,38.4,86.4,0.445,10.8,30.2,0.3594,18.0,21.9,0.8181999999999998,9.9,47.5,22.0,7.2,5.7,14.9,19.6,109.51000000000002,121.0
20.5,0.0,0.4,0.0,0.5,105.4,105.5,38.3,90.9,0.42250000000000004,12.2,34.7,0.3511,16.6,24.2,0.6695,13.1,47.7,22.1,8.8,6.4,12.8,21.2,38.1,87.2,0.4377000000000001,10.1,30.4,0.3316,19.2,23.5,0.8120999999999998,10.8,47.7,21.4,6.7,5.9,14.6,20.8,109.95000000000002,105.0
21.5,0.0,0.5,0.0,0.5,106.2,105.0,39.0,91.6,0.42699999999999994,12.0,34.9,0.34290000000000004,16.2,23.6,0.6727000000000001,13.3,47.9,23.0,9.4,6.6,13.3,21.0,38.0,86.7,0.4391000000000001,10.4,30.9,0.33470000000000005,18.6,23.4,0.7863999999999999,10.6,47.3,22.2,6.9,6.1,14.9,19.9,109.95,84.0
22.5,0.0,0.6,0.0,0.5,105.4,105.7,38.3,89.3,0.42869999999999997,12.5,35.0,0.3574,16.3,24.0,0.666,11.7,45.7,22.8,9.9,6.2,13.2,20.8,38.2,85.5,0.4485,11.2,31.0,0.35890000000000005,18.1,22.9,0.7808999999999999,10.0,47.2,23.4,6.9,6.1,15.5,19.7,109.58,100.0
