Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER
5.5,0.0,0.5,0.0,0.4,105.4,108.7,40.0,81.5,0.4904,10.9,27.3,0.3973,14.5,18.5,0.7863999999999999,6.1,37.5,24.9,7.0,4.5,14.3,23.8,38.2,81.1,0.471,10.7,26.4,0.409,21.6,27.3,0.797,8.7,41.8,21.5,7.7,3.6,14.0,18.1,107.44000000000001,94.0
6.5,0.0,0.5,0.0,0.4,104.0,107.4,40.3,82.8,0.48650000000000004,10.7,27.0,0.3918,12.7,16.9,0.7531,6.6,37.7,25.7,7.4,4.8,14.1,22.9,37.7,80.0,0.47059999999999996,10.5,26.5,0.40069999999999995,21.5,26.3,0.8355,8.5,41.8,21.5,7.3,4.0,14.6,16.9,107.53999999999999,98.0
7.5,0.0,0.5,0.0,0.5,104.1,104.8,40.0,83.1,0.4814,10.2,25.8,0.3865,13.9,18.3,0.7544000000000001,6.7,38.9,25.0,7.6,5.0,13.9,23.9,36.4,79.3,0.4581999999999999,10.0,26.1,0.38570000000000004,22.0,28.3,0.795,8.4,42.2,21.1,7.2,4.6,15.0,18.0,107.16,110.0
8.5,0.0,0.5,0.0,0.5,103.8,104.1,39.8,83.3,0.4776999999999999,10.7,26.2,0.4021,13.5,17.8,0.7531000000000001,7.0,39.0,25.1,7.3,4.7,13.4,23.5,36.7,78.8,0.4649,10.0,25.9,0.38870000000000005,20.7,26.9,0.7921,7.9,41.7,21.4,6.7,4.1,14.8,18.3,107.63000000000002,99.0
9.5,0.0,0.5,0.0,0.5,103.4,104.2,39.6,82.6,0.47929999999999995,10.6,25.8,0.4039,13.6,18.2,0.7405999999999999,7.6,39.1,25.1,7.5,5.9,13.6,22.7,36.4,79.5,0.4579,10.8,27.0,0.40230000000000005,20.6,25.6,0.8208,8.6,41.4,22.0,7.1,3.9,15.0,18.2,107.4,79.0
10.5,0.0,0.6,0.0,0.5,102.4,105.7,38.9,82.3,0.4716,10.1,25.8,0.38389999999999996,14.5,19.9,0.7383,8.2,39.2,24.2,7.7,6.1,13.2,23.2,36.9,79.6,0.46369999999999995,11.6,27.8,0.4156000000000001,20.3,25.3,0.8186,8.7,41.8,22.6,7.1,3.7,15.1,19.4,107.91000000000001,88.0
11.5,0.0,0.5,0.0,0.4,99.5,105.0,38.0,82.1,0.46159999999999995,9.2,25.4,0.35209999999999997,14.3,19.7,0.7358,8.3,38.2,22.9,7.8,6.5,12.7,22.4,37.2,79.3,0.46959999999999996,11.2,27.3,0.4083,19.4,24.4,0.8084,9.2,43.3,22.2,6.6,3.6,15.1,19.1,107.67,113.0
12.5,0.0,0.6,0.0,0.5,101.7,104.7,39.0,84.1,0.4633,9.1,25.2,0.35069999999999996,14.6,20.6,0.7217,9.2,39.3,22.4,8.6,6.7,12.7,23.2,36.9,80.5,0.45999999999999996,10.7,26.7,0.3972,20.2,25.6,0.8015000000000001,10.5,44.7,21.3,6.7,4.2,16.5,19.7,108.20000000000002,108.0
13.5,0.0,0.6,0.0,0.5,100.4,104.2,38.6,82.7,0.4670000000000001,8.0,23.7,0.336,15.2,21.4,0.72,9.1,39.3,21.4,8.8,7.0,12.9,22.8,37.0,80.2,0.46319999999999995,11.1,27.4,0.3975000000000001,19.1,24.6,0.7835,10.3,43.6,22.3,7.0,4.1,16.4,19.8,107.60000000000002,112.0
14.5,0.0,0.6,0.0,0.6,102.0,102.4,38.9,81.5,0.4791999999999999,7.9,23.4,0.3369000000000001,16.3,23.6,0.6924000000000001,8.5,39.5,21.4,9.5,6.9,12.8,22.6,36.4,80.1,0.4561,10.8,26.5,0.39610000000000006,18.8,24.7,0.7704000000000001,10.5,43.7,21.7,6.5,3.9,16.8,20.8,107.97,103.0
15.5,0.0,0.6,0.0,0.7,100.4,99.1,38.4,81.9,0.4709,7.2,22.4,0.3236,16.4,23.5,0.7041000000000002,8.2,39.4,20.4,10.0,6.6,12.1,21.5,35.8,80.2,0.4483,10.5,27.0,0.3722,17.0,22.6,0.7718,10.3,44.8,21.6,6.3,3.8,17.5,20.6,107.42,109.0
