Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER
5.5,0.0,0.5,0.0,0.7,109.4,109.8,40.0,84.5,0.4737,8.8,23.0,0.3823,20.6,25.9,0.7885,10.7,42.8,22.7,8.2,4.2,15.9,18.9,43.3,87.7,0.4942000000000001,9.5,27.1,0.35350000000000004,13.7,18.4,0.7409,10.0,40.7,23.9,8.6,5.3,15.5,22.8,106.34,101.0
6.5,0.0,0.5,0.0,0.7,109.6,111.6,40.1,85.2,0.4715,8.5,23.5,0.361,20.9,26.3,0.7886999999999998,10.5,42.7,22.5,9.0,3.8,15.9,18.7,44.0,87.3,0.5046000000000002,10.2,28.6,0.35710000000000003,13.4,18.3,0.7292,9.1,40.2,25.4,8.8,5.1,16.3,23.3,106.61000000000001,110.0
7.5,0.0,0.6,0.0,0.6,110.6,113.7,40.4,86.7,0.46769999999999995,8.2,23.3,0.3492,21.6,27.2,0.7878999999999998,11.4,43.0,22.4,9.1,4.0,15.5,19.1,44.9,88.2,0.51,10.3,29.0,0.35470000000000007,13.6,19.0,0.7135,9.1,41.0,25.2,8.2,5.3,16.2,23.7,107.47999999999999,109.0
8.5,0.0,0.6,0.0,0.6,110.0,112.2,39.8,85.2,0.46979999999999994,8.2,22.8,0.3592,22.2,27.8,0.7914999999999999,10.9,42.5,22.1,9.5,4.4,15.3,18.7,44.0,87.0,0.5061000000000001,10.6,29.9,0.3542,13.6,18.5,0.7419,9.0,40.5,24.9,8.1,5.1,16.6,23.8,107.14000000000001,98.0
9.5,0.0,0.6,0.0,0.7,109.1,107.8,39.5,85.3,0.46580000000000005,8.2,22.2,0.37170000000000003,21.9,27.2,0.7967,11.1,43.9,22.1,9.5,4.4,14.5,18.9,41.7,86.5,0.4812,10.3,30.1,0.3379,14.1,18.9,0.7558999999999999,9.5,40.8,23.8,7.7,5.3,16.5,23.5,106.83,111.0
10.5,0.0,0.6,0.0,0.8,110.1,104.3,39.7,85.2,0.4687,8.6,22.7,0.379,22.1,27.4,0.7979999999999999,11.5,45.0,22.9,9.7,4.0,14.1,18.8,40.1,85.9,0.4662,9.6,30.5,0.3149,14.5,18.9,0.7793999999999999,9.4,40.2,22.4,7.3,5.3,16.2,23.3,106.98999999999998,97.0
11.5,0.0,0.6,0.0,0.7,107.9,102.7,39.5,84.4,0.47119999999999995,8.3,22.7,0.36529999999999996,20.6,25.7,0.7876000000000001,10.4,44.4,22.9,10.3,3.7,14.6,18.7,39.7,85.6,0.46319999999999995,9.6,30.2,0.3182999999999999,13.7,18.4,0.7614,9.4,40.4,23.0,7.5,4.6,16.7,22.5,107.02000000000001,102.0
12.5,0.0,0.6,0.0,0.6,105.6,102.3,39.1,84.3,0.46719999999999995,7.8,23.1,0.33969999999999995,19.6,24.8,0.7807999999999999,10.4,44.2,22.2,9.5,3.9,14.0,18.3,39.0,84.8,0.4598999999999999,10.0,30.1,0.33469999999999994,14.3,18.8,0.7727,9.0,40.6,23.5,7.2,4.8,16.0,21.5,107.34,124.0
13.5,0.0,0.5,0.0,0.6,107.6,104.3,39.0,84.7,0.4638,8.0,23.2,0.34719999999999995,21.6,26.9,0.7941,10.3,43.7,22.4,9.1,3.9,12.6,17.9,40.0,85.5,0.46749999999999997,10.4,30.7,0.34129999999999994,13.9,18.9,0.7506,8.8,41.2,23.6,6.3,4.8,15.5,22.2,107.55,97.0
14.5,0.0,0.5,0.0,0.5,106.1,105.3,38.4,85.2,0.4534000000000001,7.7,22.5,0.34669999999999995,21.6,27.5,0.7756000000000001,10.6,43.3,21.2,9.3,3.3,11.8,17.5,39.8,84.8,0.469,11.3,31.9,0.353,14.4,19.3,0.7631,9.0,42.3,24.7,6.0,5.0,15.3,22.7,107.3,119.0
15.5,0.0,0.5,0.0,0.5,106.8,106.7,39.5,86.2,0.4603,7.6,22.2,0.3479,20.2,26.2,0.7595000000000001,11.3,42.7,21.6,10.1,3.4,11.2,17.0,40.4,84.4,0.4779999999999999,11.7,31.7,0.3709,14.2,18.4,0.7857000000000001,9.1,42.0,24.8,5.8,4.8,15.7,22.3,107.57000000000001,89.0
16.5,0.0,0.4,0.0,0.5,105.6,103.4,39.2,85.5,0.46019999999999994,8.1,22.8,0.3604,19.1,24.9,0.7496999999999999,11.7,43.5,22.2,8.9,3.5,10.9,17.3,39.2,84.2,0.4649,11.2,30.9,0.3649,13.8,18.3,0.7667,9.7,41.9,23.4,5.3,4.3,14.5,21.6,107.65,120.0
17.5,0.0,0.4,0.0,0.6,106.6,101.8,40.0,84.0,0.4776000000000001,8.6,23.1,0.3795,18.0,23.3,0.7592000000000001,10.8,43.2,23.6,8.7,3.2,11.5,16.6,38.5,84.0,0.45780000000000004,11.6,31.8,0.3664,13.2,17.0,0.7908999999999999,9.8,40.1,24.0,5.7,3.5,14.3,20.8,107.21,107.0
18.5,0.0,0.4,0.0,0.5,106.4,103.1,40.2,84.5,0.4768,8.8,23.5,0.3795,17.2,22.5,0.7540000000000001,10.9,41.8,24.0,8.5,3.2,11.6,17.3,38.9,83.5,0.4657000000000001,11.0,30.4,0.36219999999999997,14.3,18.1,0.7955,10.3,41.2,24.5,5.6,3.8,14.6,20.9,107.55,112.0
19.5,0.0,0.4,0.0,0.5,107.8,105.1,40.1,84.6,0.47520000000000007,8.7,24.3,0.36029999999999995,18.9,24.0,0.7755000000000001,11.2,41.9,23.5,8.5,2.9,11.7,17.3,39.3,82.9,0.47459999999999997,11.8,31.4,0.37709999999999994,14.7,18.8,0.7861,9.8,40.4,24.6,5.5,4.1,14.6,21.7,108.06000000000002,92.0
20.5,0.0,0.4,0.0,0.4,105.9,105.9,39.7,84.1,0.47309999999999997,7.8,23.0,0.34049999999999997,18.7,23.6,0.7832000000000001,10.8,40.5,22.5,8.7,3.1,11.6,17.1,39.5,81.5,0.48460000000000003,11.6,29.7,0.38459999999999994,15.3,19.5,0.7853999999999999,9.3,40.4,25.0,5.8,4.6,15.1,21.9,108.26000000000002,113.0
21.5,0.0,0.5,0.0,0.5,107.5,106.6,40.2,84.5,0.4767,8.0,22.7,0.3545999999999999,19.1,23.9,0.7927000000000002,11.0,41.3,23.1,8.0,3.4,11.1,16.8,40.0,83.1,0.48200000000000004,11.8,30.4,0.3839,14.8,19.0,0.7754,9.9,41.0,24.8,5.4,4.7,14.1,21.5,108.52000000000001,97.0
22.5,0.0,0.4,0.0,0.6,107.0,104.0,40.1,82.7,0.4856,8.1,21.9,0.3692,18.7,23.6,0.7864,10.9,42.0,23.7,7.9,3.0,11.9,16.6,39.5,82.7,0.47830000000000006,11.8,30.9,0.3771,13.2,17.0,0.7738999999999999,9.4,39.1,24.9,5.5,4.5,13.4,21.9,108.45000000000002,112.0
23.5,0.0,0.4,0.0,0.5,105.8,104.0,40.5,84.8,0.4803,7.8,22.5,0.35159999999999997,17.0,21.8,0.7768,11.6,42.8,23.4,8.4,3.4,12.2,17.0,38.9,81.6,0.47780000000000006,11.7,29.8,0.38699999999999996,14.5,18.0,0.7947,9.4,39.9,25.3,5.7,4.4,14.4,20.6,107.90000000000002,119.0
24.5,0.0,0.4,0.0,0.6,108.0,102.7,41.4,84.6,0.49239999999999995,8.1,22.9,0.358,17.1,21.2,0.8003,11.1,42.3,24.2,8.7,4.0,12.1,17.3,38.7,82.3,0.47169999999999995,11.2,29.2,0.38070000000000004,14.1,17.6,0.7905,10.0,39.9,24.8,5.7,4.2,14.5,20.3,108.36000000000001,106.0
25.5,0.0,0.4,0.0,0.5,106.7,102.7,40.5,84.8,0.48180000000000006,8.1,23.5,0.3484,17.6,21.9,0.8004999999999999,10.2,40.6,23.9,8.9,4.3,11.7,17.8,37.7,81.0,0.4669,11.0,29.0,0.3765,16.3,19.9,0.8041,10.2,41.4,24.5,5.5,4.4,15.3,20.4,108.35999999999999,108.0
26.5,0.0,0.4,0.0,0.6,108.6,104.2,41.2,85.4,0.48679999999999995,7.8,22.4,0.3519,18.4,22.6,0.8172,10.0,38.9,23.1,9.2,4.4,11.7,17.5,38.7,81.1,0.47830000000000006,11.0,28.6,0.38249999999999995,15.8,18.7,0.8453000000000002,10.0,41.0,24.8,5.6,4.8,16.3,20.7,108.15,112.0
27.5,0.0,0.4,0.0,0.6,107.8,104.4,40.8,86.0,0.4782,7.7,22.5,0.34609999999999996,18.5,22.6,0.8223999999999998,9.8,38.2,22.9,9.4,4.5,10.8,18.1,38.4,79.9,0.4819000000000001,10.9,27.9,0.38889999999999997,16.7,20.0,0.8336,10.0,42.4,24.8,5.4,5.1,16.8,20.8,108.42,115.0
28.5,0.0,0.4,0.0,0.7,108.6,103.9,41.1,86.8,0.4769,7.1,21.7,0.3336,19.3,23.4,0.8276,10.5,40.3,22.1,9.3,4.6,10.6,18.2,38.3,80.6,0.47650000000000003,11.2,28.5,0.39249999999999996,16.1,20.2,0.8006,9.6,41.8,24.4,5.2,4.8,16.3,20.6,108.95,121.0
29.5,0.0,0.5,0.0,0.7,109.5,103.7,42.2,86.4,0.492,7.4,22.3,0.3372,17.7,21.7,0.8230000000000001,9.8,40.3,22.9,9.3,4.9,11.4,17.9,38.6,82.5,0.46929999999999994,10.7,28.1,0.3817,15.8,20.0,0.7933,10.1,41.8,24.4,5.9,4.2,15.9,19.6,108.75,128.0
30.5,0.0,0.4,0.0,0.8,113.1,106.7,43.4,87.5,0.49990000000000007,8.2,23.5,0.3551,18.1,22.8,0.8016,9.8,41.1,23.9,8.8,5.4,11.1,18.9,39.4,84.4,0.4683,11.6,29.9,0.39159999999999995,16.3,20.7,0.7897000000000001,10.6,42.5,24.8,5.6,3.6,15.2,19.8,108.72,96.0
31.5,0.0,0.4,0.0,0.7,111.4,106.2,42.3,86.4,0.4929,8.4,24.4,0.35040000000000004,18.4,23.3,0.7985,9.6,39.8,23.0,9.3,5.0,11.2,18.6,39.1,82.0,0.47859999999999997,11.1,28.2,0.3936,16.9,20.8,0.8235000000000001,9.6,41.8,24.8,6.0,3.3,15.9,19.9,108.71,107.0
32.5,0.0,0.5,0.0,0.7,112.4,106.0,42.8,87.8,0.49060000000000004,8.1,24.4,0.33469999999999994,18.7,23.5,0.8042,10.0,39.7,23.1,9.7,5.6,10.1,18.7,38.7,82.4,0.47169999999999995,11.0,27.6,0.3981,17.6,21.7,0.8234999999999999,10.3,42.8,24.5,5.7,3.3,16.5,19.5,108.61000000000001,114.0
33.5,0.0,0.5,0.0,0.8,112.6,103.8,42.4,85.1,0.4993,8.3,23.5,0.35250000000000004,19.5,23.8,0.8238,9.0,38.8,23.8,9.7,5.4,10.8,19.0,38.1,82.0,0.46640000000000004,10.7,27.6,0.3866,16.9,21.4,0.8080999999999999,10.5,41.3,23.1,6.3,3.4,16.5,20.2,108.95,97.0
34.5,0.0,0.6,0.0,0.7,110.4,104.0,41.4,84.9,0.4882000000000001,7.4,22.5,0.31400000000000006,20.2,24.8,0.8188000000000001,8.9,38.1,21.9,9.4,4.9,10.7,18.3,38.2,80.5,0.47640000000000005,10.7,27.3,0.39089999999999997,16.9,21.3,0.8157,9.4,40.9,22.9,6.2,3.5,17.0,20.4,108.88000000000002,84.0
35.5,0.0,0.7,0.0,0.7,108.2,102.3,40.2,83.0,0.48290000000000005,7.2,22.1,0.3111,20.6,25.2,0.8230000000000001,8.8,39.3,21.3,8.6,4.6,11.3,17.9,38.7,82.7,0.471,10.2,28.5,0.3618,14.7,19.1,0.7963,9.8,41.3,23.1,6.4,3.6,15.7,20.5,108.03000000000002,116.0
36.5,0.0,0.7,0.0,0.7,109.0,101.4,40.4,82.9,0.4856000000000001,7.4,22.0,0.3243,20.8,25.2,0.8324999999999999,9.0,40.8,22.0,9.0,4.9,11.2,18.5,37.4,82.1,0.4585,9.8,29.0,0.34079999999999994,16.8,21.4,0.7892,9.8,41.1,22.5,6.3,3.4,15.5,20.5,108.20000000000002,127.0
37.5,0.0,0.6,0.0,0.7,110.5,100.9,41.3,84.2,0.48819999999999997,7.6,22.7,0.32330000000000003,20.3,25.0,0.8143,9.7,42.7,22.2,8.4,4.9,10.9,18.2,37.5,83.3,0.4525,9.8,30.0,0.32859999999999995,16.1,20.6,0.7849999999999999,9.8,40.6,22.4,5.7,3.3,14.7,20.2,108.31000000000003,104.0
38.5,0.0,0.5,0.0,0.7,109.4,99.1,41.0,83.8,0.48699999999999993,7.7,23.1,0.32080000000000003,19.7,24.8,0.7985,9.5,42.5,22.6,8.9,4.8,10.9,18.3,36.7,82.7,0.44600000000000006,9.3,29.3,0.3181999999999999,16.4,20.6,0.7975000000000001,9.9,41.1,21.3,6.1,3.1,15.2,20.2,107.78000000000002,118.0
39.5,0.0,0.4,0.0,0.7,109.1,99.5,41.0,84.9,0.4802999999999999,7.6,22.6,0.3234,19.5,25.0,0.7752999999999999,10.4,42.6,22.9,9.2,4.8,10.6,18.2,37.2,81.8,0.4567,9.5,28.7,0.33490000000000003,15.6,19.5,0.7942,9.5,41.0,21.7,5.7,3.6,15.6,20.3,108.02000000000001,120.0
40.5,0.0,0.4,0.0,0.7,108.3,97.3,40.6,83.9,0.4819,7.1,21.6,0.31880000000000003,20.0,25.3,0.7837999999999999,10.4,42.2,22.3,10.0,4.4,11.1,17.3,36.9,80.6,0.45990000000000003,9.1,27.3,0.34040000000000004,14.4,18.1,0.7927,9.2,40.0,21.0,6.0,3.7,16.4,20.6,107.58000000000001,102.0
41.5,0.0,0.4,0.0,0.7,108.9,97.9,41.5,86.6,0.4779,6.9,20.4,0.3305,19.0,23.7,0.8007,10.9,42.6,22.2,10.1,5.0,10.2,18.0,36.8,82.1,0.44959999999999994,9.7,28.9,0.3426,14.6,18.4,0.7884,10.0,41.5,21.1,5.4,4.7,16.4,20.3,107.6,98.0
42.5,0.0,0.4,0.0,0.6,108.0,100.5,41.2,86.1,0.47709999999999997,7.3,20.9,0.3427,18.3,23.3,0.7834,10.4,42.2,22.6,9.8,5.0,10.6,17.6,37.7,82.4,0.4585,10.4,30.3,0.34619999999999995,14.7,18.3,0.7988,9.8,41.7,21.5,6.2,4.7,15.7,20.0,107.43999999999998,115.0
43.5,0.0,0.4,0.0,0.6,108.1,101.8,41.0,86.1,0.4746,7.3,20.5,0.35150000000000003,18.8,24.5,0.7696,11.2,42.5,22.1,8.8,4.8,10.0,17.2,38.2,83.1,0.4608,10.8,31.0,0.3518,14.6,17.5,0.8202999999999999,9.7,41.5,22.0,5.7,5.0,14.6,20.5,107.22999999999999,126.0
