Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER,gamePoints
5.5,0.0,0.5,0.0,0.4,110.8,117.5,39.8,93.3,0.4319,10.8,30.6,0.3665,20.4,24.9,0.7956,11.8,42.8,22.7,9.5,6.3,12.3,20.6,44.2,93.2,0.4742,11.9,32.7,0.36219999999999997,17.2,23.0,0.7400999999999999,14.3,51.1,24.8,6.2,5.9,15.4,22.1,108.7,109.0
6.5,0.0,0.5,0.0,0.4,110.9,118.3,39.9,92.7,0.4361,10.7,30.8,0.3587,20.4,25.2,0.7867,11.2,42.0,22.7,9.5,6.9,12.3,20.2,44.5,92.7,0.4800999999999999,12.2,33.3,0.3634,17.1,22.3,0.7585999999999999,13.7,50.2,25.6,6.4,5.9,15.4,22.6,108.68000000000002,110.0
7.5,0.0,0.6,0.0,0.3,108.8,117.4,39.6,93.1,0.4305999999999999,11.7,32.3,0.3687,17.9,22.6,0.7813000000000001,11.4,42.0,22.1,9.6,6.7,12.5,19.8,44.4,92.5,0.4801,12.9,34.4,0.3727,15.7,20.8,0.751,13.6,50.6,26.2,6.5,6.1,15.6,21.6,107.9,110.0
8.5,0.0,0.6,0.0,0.3,106.2,115.5,39.1,94.1,0.4196999999999999,11.0,32.1,0.34480000000000005,17.0,21.7,0.7769000000000001,12.3,43.9,21.8,9.2,6.5,12.5,19.1,43.8,92.2,0.47540000000000004,12.4,32.6,0.3762,15.5,20.3,0.7568,13.3,51.3,25.8,6.4,5.9,15.2,21.7,107.97,120.0
9.5,0.0,0.6,0.0,0.3,108.1,117.7,39.7,93.6,0.4298,11.3,31.1,0.3671,17.4,22.4,0.7691000000000001,12.4,44.4,22.0,9.1,5.9,13.3,19.1,44.2,93.1,0.47589999999999993,13.4,35.0,0.38139999999999996,15.9,20.9,0.7562,14.0,51.0,26.8,6.8,5.5,15.0,22.2,108.26999999999998,107.0
10.5,0.0,0.5,0.0,0.4,108.3,116.5,39.4,93.0,0.42919999999999997,11.2,31.3,0.3609,18.3,23.2,0.7858,11.9,44.7,22.4,9.5,6.0,13.3,19.6,43.6,93.6,0.4668,13.2,34.6,0.3791,16.1,21.5,0.7423,13.9,51.2,26.7,6.6,5.3,15.2,22.5,108.78,112.0
11.5,0.0,0.5,0.0,0.5,110.0,113.6,40.4,91.0,0.4471,11.4,29.8,0.3805,17.8,22.5,0.7863000000000001,11.1,44.1,23.3,9.6,5.8,13.8,19.7,42.4,93.2,0.45549999999999996,12.1,32.9,0.3654,16.7,22.4,0.7396,14.3,49.8,25.1,6.8,4.6,15.3,21.6,109.23999999999998,87.0
12.5,0.0,0.5,0.0,0.4,106.3,111.6,39.3,89.2,0.44299999999999995,11.2,29.8,0.37360000000000004,16.5,21.1,0.7809,10.1,43.9,22.7,9.3,4.9,14.4,20.3,41.0,91.0,0.45109999999999995,12.1,32.4,0.3719,17.5,23.4,0.7449,13.6,49.3,25.3,7.1,4.7,14.7,21.2,109.15,101.0
13.5,0.0,0.5,0.0,0.3,103.6,109.4,37.8,88.5,0.42919999999999997,10.9,30.5,0.3537,17.1,21.3,0.7988000000000001,10.2,43.8,23.2,9.1,4.4,14.6,19.0,40.5,90.2,0.4497999999999999,12.2,32.9,0.3686,16.2,21.0,0.7682,12.5,48.5,25.7,7.4,4.6,14.6,21.2,109.42999999999999,112.0
14.5,0.0,0.5,0.0,0.4,104.9,108.0,38.4,87.6,0.4394,10.5,28.5,0.3608,17.6,21.6,0.8156000000000001,10.3,43.7,23.2,9.8,4.4,14.8,19.4,39.5,89.3,0.44270000000000004,12.3,34.0,0.36150000000000004,16.7,21.4,0.7755000000000001,12.2,47.0,25.2,7.3,4.1,14.8,21.8,109.47,111.0
15.5,0.0,0.4,0.0,0.5,107.9,106.5,39.7,88.6,0.449,10.5,28.9,0.3581,18.0,21.8,0.8263999999999999,11.1,45.8,23.6,9.6,4.5,15.0,19.6,38.9,88.8,0.43800000000000006,12.6,34.5,0.36679999999999996,16.1,21.3,0.759,11.1,44.4,25.9,7.3,4.4,14.5,21.7,109.8,102.0
16.5,0.0,0.4,0.0,0.6,107.2,104.0,39.7,88.7,0.4484,10.8,29.4,0.3651,17.0,20.7,0.8200999999999998,11.1,45.9,23.4,9.5,4.5,14.7,19.1,38.2,88.6,0.43100000000000005,12.2,34.5,0.3539,15.4,20.5,0.761,10.7,44.1,25.3,7.2,4.3,14.9,20.8,110.43999999999998,128.0
17.5,0.0,0.3,0.0,0.7,109.0,101.5,40.6,89.5,0.45380000000000004,10.6,29.5,0.359,17.2,21.3,0.7979,11.3,46.7,24.5,9.7,4.6,14.0,19.2,37.2,88.2,0.4217000000000001,11.5,33.8,0.3394,15.6,20.4,0.7824000000000001,10.7,44.0,24.4,6.7,4.7,15.1,21.1,110.6,109.0
