Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER
5.5,0.0,0.5,0.0,0.1,101.3,109.5,38.1,87.8,0.4332,6.9,24.0,0.28009999999999996,18.2,24.0,0.7551,8.5,42.7,23.3,8.4,6.4,12.4,20.4,40.9,89.1,0.4591,9.9,26.7,0.3656,17.8,21.7,0.8236000000000001,9.8,48.9,25.7,8.2,4.4,14.0,20.8,107.92,106.0
6.5,0.0,0.5,0.0,0.2,101.7,109.3,37.8,86.5,0.4361999999999999,7.2,24.2,0.2929,18.9,25.0,0.7499,8.8,44.0,21.8,7.7,6.3,12.9,19.2,41.0,90.3,0.4545,10.3,28.4,0.36160000000000003,17.0,20.4,0.8328000000000001,9.8,47.5,25.8,8.4,4.0,12.6,21.3,107.55,82.0
7.5,0.0,0.6,0.0,0.2,98.5,106.0,36.1,84.7,0.4258,7.4,24.1,0.3035,18.9,24.6,0.7636,8.5,43.9,20.8,7.4,6.7,13.3,18.4,40.0,90.0,0.4447,10.4,28.3,0.36650000000000005,15.6,19.5,0.8013999999999999,10.2,47.6,24.3,8.3,4.5,12.4,20.6,108.24000000000001,113.0
8.5,0.0,0.5,0.0,0.3,101.9,106.3,37.4,84.3,0.44350000000000006,7.9,24.3,0.3228,19.2,25.1,0.7603,7.9,43.1,22.5,7.7,7.4,13.2,18.6,39.8,90.5,0.43999999999999995,10.6,29.3,0.3601,16.1,19.8,0.8116,10.9,47.4,24.1,7.9,3.9,12.9,21.2,108.96,121.0
9.5,0.0,0.5,0.0,0.4,102.7,106.2,38.1,85.9,0.44349999999999995,8.4,25.3,0.3271,18.1,23.5,0.7663,8.0,44.2,22.9,7.3,7.5,13.0,19.2,39.4,91.1,0.4328,11.1,30.4,0.3637,16.3,20.5,0.7960999999999999,10.6,47.7,24.0,7.7,3.9,12.8,20.8,108.92999999999999,112.0
10.5,0.0,0.5,0.0,0.5,105.6,106.7,39.6,86.4,0.45879999999999993,8.4,24.4,0.3387,18.0,23.1,0.783,8.0,43.9,24.1,7.6,7.5,11.8,18.2,40.0,90.2,0.4436,11.3,30.6,0.3686,15.4,19.5,0.7810999999999999,9.9,46.5,24.2,7.0,4.0,12.6,20.1,108.79999999999998,117.0
11.5,0.0,0.5,0.0,0.6,106.2,105.1,39.8,85.3,0.4673,8.3,23.8,0.3429,18.3,22.6,0.8077,7.8,44.1,24.0,7.9,6.8,12.7,18.2,39.3,89.5,0.43900000000000006,10.8,29.9,0.3529,15.7,20.0,0.7771999999999999,9.5,44.7,24.7,7.5,4.1,12.8,19.3,108.75999999999999,104.0
12.5,0.0,0.5,0.0,0.6,106.0,105.4,39.5,84.9,0.4659000000000001,8.9,24.0,0.3661,18.1,22.8,0.7954000000000001,6.9,43.2,23.4,7.4,7.5,12.2,18.0,39.5,90.5,0.43600000000000005,10.4,29.6,0.3447,16.0,20.5,0.7703999999999999,9.7,46.1,24.2,6.8,4.2,12.4,19.6,109.41999999999999,81.0
13.5,0.0,0.5,0.0,0.6,104.7,104.3,38.7,84.2,0.45970000000000005,8.9,23.9,0.3673,18.4,22.8,0.8121,7.2,43.4,22.8,7.7,6.9,12.5,17.6,38.8,90.1,0.4295000000000001,10.6,29.8,0.3497,16.1,20.5,0.7753999999999999,10.3,46.8,23.7,6.8,4.0,12.6,19.3,109.12,105.0
14.5,0.0,0.4,0.0,0.6,104.0,102.5,38.6,84.1,0.4591,8.8,24.5,0.35710000000000003,18.0,22.6,0.8035,7.4,44.1,23.0,7.8,6.5,12.3,17.4,38.5,89.7,0.42800000000000005,10.5,31.0,0.33310000000000006,15.0,19.8,0.7453999999999998,10.1,46.7,24.0,7.2,4.0,12.7,19.0,109.45,96.0
