Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER,gamePoints
5.5,0.0,0.6,0.0,0.4,118.6,120.7,43.6,90.8,0.48040000000000005,9.6,27.5,0.34950000000000003,21.8,29.4,0.7403,11.4,46.3,26.2,7.5,5.4,14.8,24.8,44.2,91.9,0.4817,12.3,31.7,0.38170000000000004,20.0,25.8,0.7722,9.4,43.7,26.9,8.3,4.8,13.6,23.7,108.82000000000001,107.0
6.5,0.0,0.5,0.0,0.4,116.2,119.3,42.6,90.4,0.472,9.7,28.0,0.34620000000000006,21.3,28.9,0.7336,11.1,46.4,25.8,7.2,6.1,15.1,24.1,44.1,92.3,0.47890000000000005,11.6,30.0,0.3774,19.5,25.1,0.7737,9.3,44.6,26.6,8.4,4.8,13.6,23.1,109.09,119.0
7.5,0.0,0.5,0.0,0.4,113.2,116.3,41.2,89.5,0.4619,9.2,27.4,0.3386,21.6,28.5,0.7527999999999999,11.5,46.6,25.1,7.3,6.4,15.3,23.4,42.6,91.3,0.46749999999999997,11.6,31.1,0.3652,19.5,24.5,0.7956000000000001,9.4,44.4,25.8,8.8,5.3,13.7,23.2,109.42999999999999,126.0
8.5,0.0,0.6,0.0,0.4,114.2,116.4,42.6,90.1,0.4734,9.6,27.7,0.3506,19.4,25.8,0.7393,11.7,47.2,25.9,6.3,6.0,15.8,23.0,42.4,92.3,0.4606,12.4,33.6,0.36910000000000004,19.2,24.0,0.8005000000000001,9.8,44.0,26.2,9.2,5.4,13.1,22.6,109.08,100.0
9.5,0.0,0.7,0.0,0.3,112.5,115.6,42.2,89.7,0.4711,9.6,28.2,0.3436,18.5,25.0,0.7235000000000001,11.2,47.2,26.1,5.9,5.5,16.5,23.1,41.8,91.5,0.45779999999999993,11.9,32.8,0.36540000000000006,20.1,24.9,0.8130000000000001,9.3,43.3,26.5,10.0,5.2,12.8,22.6,109.41,129.0
10.5,0.0,0.7,0.0,0.4,114.3,114.8,43.0,90.1,0.47750000000000004,9.7,28.2,0.34650000000000003,18.6,25.3,0.7195000000000001,11.2,48.6,26.6,6.0,5.5,16.4,22.4,42.0,92.5,0.4545,12.0,33.0,0.36650000000000005,18.8,23.6,0.8027,9.9,43.4,24.8,10.3,5.1,12.8,23.1,110.17,125.0
11.5,0.0,0.6,0.0,0.5,115.7,114.7,42.9,90.6,0.4734,9.6,28.3,0.34070000000000006,20.3,26.7,0.7407,11.5,48.8,26.7,5.8,5.8,15.3,21.7,42.4,92.7,0.4577,12.4,33.4,0.37360000000000004,17.5,22.6,0.7729,10.0,43.6,25.0,9.4,5.2,12.8,23.7,110.16999999999999,140.0
12.5,0.0,0.5,0.0,0.6,117.6,114.2,44.4,91.6,0.48340000000000005,9.4,27.4,0.3449,19.4,25.4,0.7485999999999999,11.7,48.8,27.7,6.0,6.1,14.8,21.4,42.2,93.2,0.45280000000000004,12.0,32.6,0.3736,17.8,22.6,0.7828999999999999,10.6,43.4,23.3,9.1,4.8,12.6,23.3,110.36999999999998,120.0
13.5,0.0,0.5,0.0,0.6,117.7,113.1,44.6,92.0,0.4837000000000001,9.7,27.5,0.354,18.8,25.0,0.7405999999999999,12.3,49.8,27.8,6.1,6.6,15.1,21.1,42.2,94.3,0.4471,11.2,32.0,0.3566999999999999,17.5,22.1,0.7875,10.9,43.5,23.4,9.4,5.1,12.8,22.9,110.30999999999999,109.0
14.5,0.0,0.5,0.0,0.6,119.1,113.6,45.0,94.4,0.4765,9.8,28.2,0.35039999999999993,19.3,24.9,0.7598,13.7,50.5,28.2,6.3,6.3,14.9,21.2,41.8,93.8,0.4452999999999999,11.6,33.0,0.35829999999999995,18.4,23.4,0.7829999999999999,11.3,43.8,22.7,9.5,5.7,12.7,23.4,110.53999999999999,114.0
15.5,0.0,0.5,0.0,0.6,118.9,113.8,45.2,95.0,0.4755,10.0,28.4,0.3549,18.5,24.0,0.7575000000000001,13.3,50.3,27.8,6.5,6.1,14.5,20.7,42.4,93.5,0.45359999999999995,11.6,33.2,0.3558,17.4,22.6,0.7642,10.9,44.2,23.1,9.2,6.3,12.9,22.7,111.17999999999999,107.0
