Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER
5.5,0.0,0.5,0.0,0.4,101.0,106.5,38.7,86.7,0.4478,7.9,23.2,0.34240000000000004,15.7,20.7,0.7755,11.6,44.6,20.8,6.7,5.5,14.6,22.4,37.9,85.3,0.4447,9.5,27.0,0.3632,21.2,27.4,0.7582,12.1,44.6,20.5,8.7,4.8,13.2,19.8,107.5,105.0
6.5,0.0,0.4,0.0,0.5,102.7,105.0,39.7,87.3,0.45620000000000005,7.9,23.0,0.3451,15.4,20.6,0.7636999999999999,12.2,45.6,21.5,6.9,5.8,13.7,21.3,37.6,84.4,0.4462,9.0,25.8,0.3609,20.8,26.7,0.7678,11.8,43.5,19.3,8.1,4.4,12.8,19.0,107.2,112.0
7.5,0.0,0.5,0.0,0.4,102.8,106.5,39.8,88.3,0.4513000000000001,8.5,23.8,0.3579,14.7,18.7,0.7896,12.6,45.1,21.4,7.4,5.5,13.8,20.8,38.3,83.9,0.4575,9.6,25.8,0.3849,20.3,25.9,0.7759000000000001,11.4,43.2,20.0,8.5,4.4,13.1,18.1,107.42,104.0
8.5,0.0,0.4,0.0,0.5,104.3,105.7,40.5,88.5,0.45830000000000004,8.8,24.3,0.3631,14.5,18.6,0.781,12.9,45.8,21.7,7.6,4.7,14.2,21.1,37.6,83.5,0.4514,9.4,26.6,0.352,21.1,26.7,0.7878000000000001,11.8,43.2,19.8,8.5,4.5,13.4,18.0,107.27000000000002,107.0
9.5,0.0,0.4,0.0,0.6,105.1,104.2,41.3,89.6,0.4617,8.9,25.2,0.3541,13.6,16.9,0.8130000000000001,13.2,46.7,22.5,7.4,4.6,13.9,21.2,37.2,83.2,0.4484000000000001,8.5,24.8,0.3418,21.3,26.6,0.7982000000000001,11.0,42.2,19.1,7.8,4.2,13.1,17.2,107.43000000000002,113.0
10.5,0.0,0.3,0.0,0.6,104.7,104.9,41.2,90.4,0.45640000000000003,9.1,25.9,0.3505,13.2,16.1,0.8291000000000001,13.4,48.2,21.9,7.6,5.2,15.0,21.0,37.8,84.1,0.45059999999999995,8.5,25.4,0.3346,20.8,26.6,0.7797,10.5,42.6,20.1,8.0,4.2,13.2,17.0,107.65000000000002,102.0
11.5,0.0,0.4,0.0,0.6,104.0,104.2,40.7,92.0,0.4431999999999999,9.5,27.1,0.34800000000000003,13.1,16.2,0.8196000000000001,13.5,49.0,22.7,7.7,5.3,14.6,21.1,37.5,84.6,0.44370000000000004,8.5,25.1,0.3390000000000001,20.7,27.3,0.7630000000000001,10.8,44.4,19.6,7.7,4.7,13.2,16.5,108.03000000000002,103.0
12.5,0.0,0.4,0.0,0.5,103.3,105.8,39.9,91.9,0.43499999999999994,9.1,26.0,0.3463,14.4,17.3,0.8382999999999999,13.8,48.0,22.2,7.5,5.9,13.7,20.6,38.8,85.9,0.4519,8.2,24.0,0.3421,20.0,26.4,0.7593,11.8,45.7,20.2,7.2,5.0,12.8,16.7,107.72,106.0
13.5,0.0,0.4,0.0,0.6,105.2,104.7,40.7,91.6,0.44499999999999995,9.8,26.9,0.3608,14.0,17.1,0.8234,12.9,46.2,22.7,7.6,5.1,12.5,20.6,38.7,84.6,0.4572000000000001,7.5,23.2,0.3225,19.8,26.0,0.7623,11.0,44.4,19.6,6.5,5.2,12.8,16.6,108.00999999999999,118.0
14.5,0.0,0.3,0.0,0.7,106.3,104.3,40.4,90.5,0.4473,10.3,27.7,0.3691,15.2,18.5,0.8283999999999999,12.3,45.6,23.4,8.2,5.5,12.4,20.1,38.9,85.1,0.45680000000000004,7.8,23.8,0.3264,18.7,24.6,0.7671999999999999,11.2,44.3,20.3,6.1,5.2,13.1,17.1,108.38999999999999,106.0
