Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER,gamePoints
5.5,0.0,0.3,0.0,0.6,106.0,105.7,40.5,85.4,0.47569999999999996,8.5,25.3,0.32019999999999993,16.5,21.4,0.7666000000000001,10.8,45.0,23.2,7.2,5.0,15.7,21.5,37.1,85.2,0.43629999999999997,12.8,34.7,0.3712000000000001,18.7,23.5,0.8029999999999999,10.8,40.4,21.7,8.0,3.8,13.5,22.0,107.98000000000002,99.0
6.5,0.0,0.3,0.0,0.6,107.5,106.4,41.5,85.5,0.48769999999999997,8.3,24.1,0.3327,16.2,20.8,0.7751000000000001,10.9,45.1,23.9,7.1,4.8,15.5,21.3,37.5,84.2,0.4468,13.0,33.7,0.3887,18.4,23.5,0.7893999999999999,10.1,39.2,22.2,8.2,3.8,12.9,21.3,108.28,118.0
7.5,0.0,0.3,0.0,0.7,108.6,104.4,42.5,86.4,0.49420000000000003,8.7,23.8,0.3504,14.9,19.2,0.7745,10.5,45.2,24.8,7.1,5.2,15.4,21.4,36.1,83.1,0.4359,12.8,32.9,0.3905,19.4,25.0,0.7760999999999999,9.7,39.1,22.0,8.3,4.0,13.0,20.6,108.65,101.0
8.5,0.0,0.2,0.0,0.7,109.8,103.8,42.7,86.7,0.495,9.4,25.1,0.3741,15.0,18.9,0.7878,10.7,45.8,24.7,7.6,5.3,15.7,21.8,35.9,84.4,0.4264,13.0,34.5,0.37779999999999997,19.0,24.5,0.7764,10.6,39.8,21.5,7.9,4.0,13.8,20.3,109.44000000000001,106.0
9.5,0.0,0.2,0.0,0.7,109.7,105.3,42.1,85.0,0.49700000000000005,9.4,24.5,0.3837,16.1,19.7,0.8130000000000001,10.0,44.8,24.6,7.3,5.2,15.7,21.8,36.3,84.8,0.42940000000000006,13.6,35.0,0.38969999999999994,19.1,24.1,0.7990999999999999,11.0,40.0,21.6,7.9,4.9,13.5,20.6,108.77000000000001,84.0
10.5,0.0,0.2,0.0,0.6,106.7,106.5,40.9,85.2,0.4828000000000001,9.0,24.0,0.37639999999999996,15.9,19.3,0.8202,10.3,44.0,23.6,7.1,5.0,15.2,20.4,37.6,84.5,0.44750000000000006,13.5,34.3,0.394,17.8,22.5,0.8048,10.6,39.9,22.5,7.8,5.5,13.2,20.2,108.17999999999999,107.0
11.5,0.0,0.2,0.0,0.6,105.8,104.0,40.3,85.1,0.476,9.0,24.2,0.374,16.2,19.5,0.8248999999999999,10.6,44.2,23.3,7.4,4.5,15.2,20.3,37.1,84.0,0.4438000000000001,12.7,33.4,0.38139999999999996,17.1,21.5,0.8051999999999999,10.3,39.9,22.5,7.7,5.3,14.0,20.3,108.10999999999999,108.0
12.5,0.0,0.2,0.0,0.7,106.9,102.1,40.7,85.4,0.4789,9.0,24.0,0.3765,16.5,19.9,0.8227,11.3,44.7,23.9,7.4,5.1,14.4,20.4,36.6,83.9,0.4386,12.2,32.0,0.38170000000000004,16.7,21.2,0.7956999999999999,10.6,39.5,22.5,7.5,5.9,14.1,20.6,108.06000000000002,104.0
13.5,0.0,0.3,0.0,0.6,105.3,103.0,40.2,84.5,0.47850000000000004,9.4,24.4,0.38570000000000004,15.5,18.8,0.8204,10.9,43.6,24.5,7.0,5.3,15.2,19.9,37.9,84.1,0.45099999999999996,12.6,31.9,0.3955000000000001,14.6,18.7,0.7895999999999999,9.9,38.8,23.8,7.5,5.8,14.0,19.7,107.9,102.0
14.5,0.0,0.4,0.0,0.5,104.7,104.6,40.0,84.2,0.4779,9.2,23.8,0.3831,15.5,18.8,0.8204,10.3,43.0,25.0,6.6,4.9,15.8,19.8,38.3,85.6,0.4478,13.2,34.1,0.38580000000000003,14.8,19.2,0.7787,10.4,39.6,24.4,8.1,6.2,13.5,19.5,107.74000000000001,91.0
15.5,0.0,0.4,0.0,0.4,102.0,103.6,39.0,85.5,0.4577,8.5,22.8,0.36840000000000006,15.5,18.9,0.8169000000000001,11.1,44.6,23.4,6.4,4.7,15.5,19.9,37.8,84.8,0.4462,12.4,32.5,0.3786,15.6,20.1,0.7808999999999999,9.2,40.1,23.8,8.3,6.3,13.1,19.5,107.4,115.0
16.5,0.0,0.3,0.0,0.5,103.6,101.0,39.2,84.8,0.4654999999999999,8.5,22.9,0.3652,16.7,20.2,0.8246,10.7,45.6,23.4,6.7,5.0,15.2,19.8,36.7,85.2,0.4305,12.1,33.5,0.3585,15.5,19.9,0.7817999999999999,9.5,40.3,22.8,8.0,6.0,13.4,20.0,107.04,100.0
17.5,0.0,0.3,0.0,0.4,101.8,102.4,38.8,85.1,0.45949999999999996,7.8,21.7,0.3541,16.4,19.7,0.8346,10.9,46.1,22.3,6.5,4.8,15.5,20.0,37.4,85.4,0.43809999999999993,12.0,34.1,0.34809999999999997,15.6,19.8,0.788,9.2,40.3,22.8,8.2,5.9,13.1,19.3,106.94000000000001,97.0
18.5,0.0,0.4,0.0,0.4,101.4,103.5,39.0,85.4,0.46030000000000004,7.6,21.5,0.3482,15.8,19.1,0.8261000000000001,11.1,45.5,23.0,5.6,4.7,15.5,19.4,38.5,85.2,0.4518,11.5,32.2,0.3548,15.0,19.1,0.7861999999999999,8.5,39.9,23.5,8.5,5.7,12.7,19.2,106.55999999999999,99.0
19.5,0.0,0.4,0.0,0.4,100.7,102.2,38.7,84.0,0.46560000000000007,7.6,20.8,0.36960000000000004,15.7,19.3,0.8162,10.9,45.2,23.4,6.0,4.5,16.0,19.6,38.0,84.3,0.4502,11.0,31.5,0.3491,15.2,19.6,0.7738999999999999,8.0,38.9,23.0,8.8,5.2,12.9,19.3,107.29,102.0
20.5,0.0,0.4,0.0,0.4,102.5,101.9,40.0,84.0,0.47990000000000005,7.4,20.9,0.3597,15.1,18.5,0.8280000000000001,10.3,44.9,24.2,5.9,4.4,16.5,20.1,37.8,84.7,0.4450000000000001,10.8,31.4,0.34249999999999997,15.5,20.8,0.7394999999999999,8.5,38.9,22.9,9.4,4.8,13.1,19.3,107.82000000000001,111.0
21.5,0.0,0.4,0.0,0.4,102.9,104.1,40.4,83.9,0.48550000000000004,6.6,19.2,0.3509,15.5,19.4,0.8144,9.5,43.1,23.4,5.7,4.3,15.5,20.5,38.5,84.4,0.4556,10.7,31.3,0.3402,16.4,21.7,0.7480999999999999,8.1,38.8,23.1,8.7,4.9,12.6,19.8,107.9,113.0
