Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER,gamePoints
5.5,0.0,0.3,0.0,0.6,104.6,102.6,39.1,88.1,0.44329999999999997,8.6,24.7,0.344,17.8,24.6,0.7272,11.3,46.2,20.4,7.9,4.8,16.1,21.9,38.5,86.4,0.4453999999999999,8.1,24.9,0.3209000000000001,17.5,24.7,0.7117,10.1,41.5,19.6,9.1,6.5,14.0,20.5,108.46,88.0
6.5,0.0,0.3,0.0,0.5,103.1,103.3,38.5,87.5,0.43929999999999997,8.5,25.2,0.3352,17.6,24.2,0.7313999999999999,11.3,46.0,20.1,7.5,5.1,16.6,21.7,39.2,87.2,0.44919999999999993,7.9,24.1,0.32300000000000006,17.0,23.8,0.721,10.0,41.9,20.0,9.0,6.4,13.6,19.7,108.30999999999999,105.0
7.5,0.0,0.3,0.0,0.5,102.3,102.6,38.5,86.3,0.4452,9.2,25.6,0.35940000000000005,16.1,21.8,0.7505999999999999,10.4,44.7,21.3,7.1,5.5,16.0,20.8,39.0,87.0,0.44799999999999995,8.8,25.3,0.34010000000000007,15.8,22.0,0.7196999999999999,10.5,42.2,21.0,8.9,6.5,13.7,17.8,108.02000000000001,124.0
8.5,0.0,0.3,0.0,0.5,103.4,103.5,38.9,85.7,0.45289999999999997,9.0,25.6,0.3517,16.6,22.5,0.7474,10.4,44.8,20.7,6.5,5.4,15.7,21.0,39.0,86.6,0.45,9.2,25.0,0.3561,16.3,22.6,0.7204999999999999,10.1,41.1,20.9,8.0,6.5,13.2,17.9,107.83,111.0
9.5,0.0,0.2,0.0,0.4,106.0,106.7,39.9,87.4,0.45600000000000007,9.5,27.2,0.35450000000000004,16.7,22.3,0.7596,10.9,44.5,22.1,6.7,5.7,15.6,20.9,39.6,86.8,0.4558,9.6,25.0,0.3743,17.9,23.9,0.7535,10.8,42.1,21.0,8.0,6.2,13.7,18.0,107.88000000000002,109.0
10.5,0.0,0.2,0.0,0.4,107.3,105.6,40.9,87.9,0.4647,9.6,27.2,0.3582,15.9,20.6,0.7752000000000001,10.7,44.4,23.0,7.0,5.7,15.5,20.3,39.2,86.2,0.45470000000000005,9.6,24.7,0.37950000000000006,17.6,23.5,0.7547999999999999,9.9,41.0,20.8,7.9,5.5,13.9,17.9,108.74000000000001,101.0
11.5,0.0,0.3,0.0,0.3,106.2,108.0,39.6,86.9,0.45450000000000007,9.6,28.1,0.34240000000000004,17.4,22.0,0.7916000000000001,10.1,44.1,22.4,6.8,5.5,15.2,20.3,40.3,87.2,0.4622,10.4,25.6,0.4013,17.0,22.3,0.7729999999999999,9.3,41.5,22.2,7.6,4.8,13.3,18.3,108.72,132.0
12.5,0.0,0.4,0.0,0.3,109.7,112.4,40.7,88.0,0.461,10.0,27.9,0.36029999999999995,18.3,23.2,0.7885000000000001,9.8,43.4,22.9,7.1,5.4,14.8,20.6,42.0,88.9,0.4728,11.2,27.3,0.4131,17.2,22.8,0.7643999999999999,9.4,42.6,24.4,7.7,4.8,13.7,18.8,109.25,106.0
13.5,0.0,0.4,0.0,0.4,110.1,110.0,41.8,88.9,0.4697,9.6,26.8,0.3598,16.9,22.7,0.752,9.7,43.8,23.4,6.9,5.2,13.9,20.1,41.4,88.8,0.46609999999999996,10.2,26.6,0.3761,17.0,22.3,0.7726999999999999,9.3,42.3,23.0,7.4,4.3,13.4,18.4,109.21000000000001,112.0
14.5,0.0,0.5,0.0,0.5,110.5,109.3,42.6,89.3,0.4765,8.8,26.2,0.3391,16.5,22.6,0.7344999999999999,10.5,44.6,23.8,7.0,5.8,13.7,19.6,41.1,89.3,0.46040000000000003,9.7,25.8,0.367,17.4,21.6,0.8019999999999999,9.4,41.8,23.2,7.4,5.1,12.9,18.0,109.53000000000002,126.0
