Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER
5.5,0.0,0.5,0.0,0.6,111.4,108.8,41.1,92.2,0.44719999999999993,8.9,30.1,0.30979999999999996,20.3,29.4,0.692,12.0,46.1,21.2,11.8,6.0,13.7,25.2,38.9,86.5,0.45020000000000004,9.2,28.4,0.3305,21.8,26.8,0.8267,10.5,45.6,23.2,6.8,4.4,18.3,26.3,111.43999999999998,98.0
6.5,0.0,0.4,0.0,0.7,111.2,106.0,41.4,91.2,0.4553,8.8,30.1,0.30710000000000004,19.6,28.1,0.6979,11.7,46.8,20.9,11.6,5.8,13.7,24.7,37.8,85.2,0.4438000000000001,9.6,30.0,0.3298,20.8,26.0,0.8023,10.0,43.7,22.0,7.0,4.0,17.8,26.0,111.6,96.0
7.5,0.0,0.4,0.0,0.7,111.6,106.3,41.8,91.4,0.45870000000000005,9.0,30.2,0.3124,19.0,27.6,0.6851,12.8,46.9,20.8,12.0,5.6,14.1,23.7,38.6,84.8,0.4563999999999999,9.9,30.3,0.3358,19.2,24.1,0.792,9.4,42.7,23.0,7.6,4.2,18.0,25.9,111.58,118.0
8.5,0.0,0.4,0.0,0.8,111.4,103.3,41.5,90.2,0.46119999999999994,9.4,29.0,0.33740000000000003,19.0,26.6,0.7168,12.2,46.0,20.8,12.1,5.3,13.6,22.3,37.5,83.8,0.44959999999999994,9.6,30.7,0.31720000000000004,18.7,23.2,0.8012,9.2,41.8,22.7,7.0,4.0,18.1,25.4,111.92,128.0
9.5,0.0,0.4,0.0,0.9,114.7,103.5,42.9,90.3,0.4754999999999999,10.3,29.5,0.36089999999999994,18.6,25.3,0.7441000000000001,11.9,45.0,22.1,12.7,5.4,13.6,21.7,38.1,84.0,0.45549999999999996,9.2,30.1,0.30970000000000003,18.1,22.2,0.8068,9.1,40.9,22.6,7.1,4.7,18.8,24.4,112.50000000000003,110.0
10.5,0.0,0.5,0.0,0.9,114.0,102.5,42.4,90.3,0.46959999999999996,10.3,29.5,0.36089999999999994,18.9,25.0,0.7599000000000001,12.4,45.9,21.6,12.0,5.8,13.9,21.3,38.0,83.6,0.4563999999999999,9.6,30.3,0.3215,16.9,21.6,0.7772,8.5,39.6,23.0,7.5,5.0,18.0,24.0,112.5,113.0
11.5,0.0,0.6,0.0,0.8,112.5,103.2,42.1,91.7,0.46019999999999994,10.6,31.9,0.3373,17.7,23.4,0.7568,12.8,47.1,21.9,11.2,5.5,13.7,20.0,39.0,86.4,0.4532,10.5,32.1,0.32860000000000006,14.7,19.0,0.7652,9.3,41.7,24.1,7.6,4.7,17.1,23.2,112.55,123.0
12.5,0.0,0.6,0.0,0.8,113.7,102.0,43.1,92.7,0.46559999999999996,11.1,31.7,0.35279999999999995,16.4,22.0,0.7377,13.2,48.3,22.8,11.0,5.1,13.7,20.2,38.8,85.4,0.45570000000000005,10.1,30.9,0.3259,14.3,19.2,0.741,8.9,40.8,23.9,7.6,5.4,17.1,22.4,112.21,109.0
13.5,0.0,0.5,0.0,0.8,111.2,101.3,42.3,93.4,0.4527,10.7,31.8,0.3392,15.9,21.8,0.7236,13.6,49.1,21.8,10.3,4.8,13.8,20.0,38.7,86.2,0.4502,9.8,31.0,0.3153,14.1,18.8,0.7489,9.4,42.4,23.6,7.8,5.5,16.6,22.4,112.12,98.0
14.5,0.0,0.5,0.0,0.7,108.8,100.2,41.5,94.4,0.44020000000000004,10.6,33.0,0.32530000000000003,15.2,21.0,0.7178000000000001,14.6,50.4,21.4,9.7,5.0,13.6,20.1,38.5,87.3,0.4425,9.9,31.1,0.31760000000000005,13.3,18.2,0.7363999999999999,9.8,43.3,23.5,7.6,5.9,16.0,21.8,111.72999999999999,100.0
15.5,0.0,0.4,0.0,0.7,109.3,99.9,42.1,94.6,0.4462,10.5,33.0,0.3216,14.6,19.9,0.7286,14.7,51.0,22.9,8.9,5.2,13.7,19.6,38.7,87.3,0.44469999999999993,9.9,30.3,0.3277,12.6,17.8,0.6962,9.3,42.5,23.8,7.7,5.6,15.3,21.1,111.72999999999999,124.0
16.5,0.0,0.4,0.0,0.7,111.9,102.8,43.1,95.3,0.45409999999999995,11.4,33.4,0.3412,14.3,19.0,0.7511,14.1,50.4,24.1,9.1,5.5,14.3,20.4,39.9,88.7,0.45170000000000005,9.9,29.7,0.3321,13.1,18.8,0.6862,9.5,42.8,24.8,8.3,5.6,15.8,19.7,112.02000000000001,110.0
17.5,0.0,0.4,0.0,0.8,113.3,100.0,43.6,94.1,0.4655,11.2,32.5,0.34269999999999995,14.9,19.2,0.7749999999999999,12.1,50.3,24.7,9.2,6.1,14.4,20.9,38.7,90.4,0.42889999999999995,9.1,30.0,0.30260000000000004,13.5,19.0,0.7003999999999999,10.0,43.1,23.3,8.4,5.4,15.7,19.2,111.87,114.0
18.5,0.0,0.5,0.0,0.8,112.9,101.1,43.6,94.8,0.4622,11.2,33.6,0.3288,14.5,19.8,0.7377,12.6,52.1,25.2,8.8,6.1,14.4,21.7,38.5,90.9,0.42380000000000007,9.9,31.0,0.3174,14.2,20.1,0.6929000000000001,10.0,43.9,22.9,8.6,5.3,15.3,19.5,111.34,112.0
19.5,0.0,0.6,0.0,0.7,111.3,102.2,42.8,94.7,0.4542,10.6,33.1,0.316,15.1,21.0,0.7211,12.7,52.5,24.5,8.9,6.0,15.0,21.8,38.9,90.3,0.4319,10.4,30.9,0.33849999999999997,14.0,20.1,0.6841999999999999,9.6,44.2,23.6,9.3,5.1,15.5,20.4,111.34,122.0
20.5,0.0,0.5,0.0,0.7,112.5,103.5,43.3,94.7,0.4601,10.7,32.8,0.3249000000000001,15.2,21.7,0.7084999999999999,12.5,51.6,25.3,9.2,5.5,14.9,22.4,39.5,90.5,0.43800000000000006,10.0,30.9,0.3247,14.5,21.0,0.6808000000000001,10.3,45.6,24.1,9.0,4.9,16.1,20.4,110.44000000000001,114.0
21.5,0.0,0.5,0.0,0.7,112.6,103.6,43.0,92.6,0.4667,10.8,33.0,0.32580000000000003,15.8,22.8,0.7026999999999999,12.1,50.2,25.4,9.4,5.8,15.4,22.9,39.5,90.0,0.4403,8.8,28.9,0.30479999999999996,15.8,22.3,0.6961,10.6,45.3,24.1,9.7,4.8,16.3,21.3,110.55,98.0
22.5,0.0,0.5,0.0,0.6,110.1,105.0,41.6,91.0,0.45969999999999994,10.2,31.4,0.3255,16.7,24.2,0.708,12.2,48.4,23.9,9.3,5.7,15.7,22.3,40.1,90.0,0.44750000000000006,9.2,29.4,0.3131,15.6,21.4,0.7226999999999999,11.1,45.9,24.6,9.8,4.4,16.6,21.9,110.5,110.0
23.5,0.0,0.5,0.0,0.6,110.2,105.0,41.7,90.7,0.46229999999999993,10.0,30.3,0.3331,16.8,24.2,0.7121000000000001,12.0,47.8,24.1,10.0,6.2,15.4,22.5,39.6,88.1,0.45249999999999996,9.9,28.8,0.3457,15.9,22.2,0.7051999999999999,10.6,45.7,24.0,9.7,4.3,17.9,22.0,110.33999999999999,121.0
