Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER,gamePoints
5.5,0.0,0.5,0.0,0.4,95.0,104.1,35.9,85.7,0.41850000000000004,8.3,25.3,0.33120000000000005,14.9,20.8,0.7258000000000001,11.1,42.4,22.0,5.8,5.2,11.6,17.6,41.0,87.6,0.46699999999999997,7.4,22.2,0.336,14.7,20.1,0.7359000000000001,11.9,47.0,22.1,6.6,5.3,10.9,19.7,107.91000000000001,69.0
6.5,0.0,0.6,0.0,0.4,92.3,102.1,35.2,85.2,0.4124,8.2,26.0,0.3179,13.7,19.3,0.7241000000000001,10.5,43.1,21.2,5.6,5.3,11.9,17.8,39.8,86.9,0.4574,7.8,23.1,0.343,14.7,19.5,0.7734,11.0,46.7,21.6,7.0,5.5,10.8,18.9,108.07000000000001,89.0
7.5,0.0,0.5,0.0,0.5,93.0,99.5,35.3,84.5,0.4163,8.4,26.1,0.32410000000000005,14.0,20.0,0.7153,10.4,43.7,20.9,5.5,5.7,12.2,18.0,38.0,85.6,0.44349999999999995,7.8,23.3,0.3395,15.7,20.8,0.7689999999999999,11.0,46.2,20.8,6.7,6.0,11.3,19.4,108.07000000000001,95.0
8.5,0.0,0.4,0.0,0.6,92.6,97.7,34.9,83.9,0.4147000000000001,8.4,25.4,0.3336,14.4,19.6,0.7439999999999999,10.1,43.7,20.5,5.5,6.0,12.1,17.8,37.0,84.5,0.4364,8.0,22.4,0.3562,15.7,20.5,0.7772,10.2,45.6,20.4,6.7,5.9,11.7,18.3,107.87,89.0
9.5,0.0,0.4,0.0,0.5,91.2,96.9,33.9,82.3,0.4111000000000001,8.5,25.4,0.3376,14.9,20.3,0.7424999999999999,9.9,45.2,19.7,5.6,5.9,13.5,18.1,36.5,85.0,0.4277,7.9,23.3,0.3388,16.0,21.0,0.7736000000000001,10.2,45.1,20.1,7.8,6.0,11.5,18.5,107.92,87.0
10.5,0.0,0.4,0.0,0.4,89.7,96.7,33.4,83.0,0.4022,8.2,24.9,0.33230000000000004,14.7,20.3,0.7338,9.7,45.2,19.0,6.0,6.3,13.2,18.6,36.0,84.3,0.42540000000000006,8.1,23.7,0.34080000000000005,16.6,21.5,0.7862,9.7,45.6,19.9,7.6,6.6,11.8,18.2,107.98000000000002,91.0
11.5,0.0,0.4,0.0,0.3,90.0,97.5,33.8,83.2,0.4063,8.0,24.4,0.33060000000000006,14.4,19.6,0.7408,10.1,45.8,18.7,6.1,6.4,14.3,18.6,36.6,84.5,0.4314,8.1,24.9,0.32619999999999993,16.2,20.8,0.7956000000000001,9.0,44.4,21.4,8.2,6.5,11.9,17.6,107.98000000000002,96.0
12.5,0.0,0.3,0.0,0.3,91.6,96.7,34.3,83.9,0.4088,7.8,24.2,0.32560000000000006,15.2,20.7,0.734,10.5,46.5,18.3,6.1,6.3,13.6,18.0,36.5,84.2,0.4319,8.6,25.4,0.3437,15.1,19.7,0.7849999999999999,8.5,44.1,21.2,8.1,6.7,12.2,18.1,108.23000000000002,95.0
13.5,0.0,0.4,0.0,0.4,90.4,92.7,34.4,84.0,0.40940000000000004,7.6,23.3,0.33229999999999993,14.0,18.9,0.7489999999999999,10.2,46.6,18.8,7.1,6.2,14.0,18.2,34.8,83.1,0.417,7.8,25.1,0.3122,15.3,19.7,0.7927,8.5,44.1,20.4,8.2,6.6,13.4,17.5,107.42,94.0
14.5,0.0,0.5,0.0,0.4,92.4,93.5,35.1,83.6,0.42069999999999996,7.4,23.7,0.3173,14.8,20.1,0.7463,10.1,46.5,19.0,6.5,6.5,14.5,18.3,34.8,82.9,0.4181,7.8,24.1,0.3261,16.1,20.9,0.7837999999999999,8.1,42.8,20.3,8.2,6.8,12.9,18.2,107.60999999999999,105.0
