Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER
5.5,0.0,0.5,0.0,0.6,109.0,106.3,40.7,87.0,0.4699,11.8,29.5,0.3983,15.8,19.9,0.7688,8.2,43.2,24.3,7.8,4.9,15.6,21.1,40.3,90.2,0.44639999999999996,8.7,27.9,0.3093,17.0,22.3,0.7557999999999999,11.2,46.9,23.5,8.2,4.7,15.5,18.9,107.97999999999999,112.0
6.5,0.0,0.5,0.0,0.6,108.6,105.3,40.7,86.0,0.47590000000000005,12.3,30.2,0.40659999999999996,14.9,19.2,0.752,7.7,41.1,25.2,8.6,4.7,15.4,20.8,40.1,88.1,0.4553000000000001,8.4,26.1,0.32430000000000003,16.7,21.9,0.7562,11.3,46.7,23.4,8.3,4.5,16.5,19.0,108.37,128.0
7.5,0.0,0.5,0.0,0.7,109.3,103.9,40.5,85.3,0.4777,11.8,29.7,0.39849999999999997,16.5,22.0,0.7327000000000001,7.5,41.5,25.1,8.5,4.9,15.0,20.1,39.9,88.3,0.4521,8.0,25.8,0.3118,16.1,20.9,0.7607999999999999,11.0,45.9,22.5,7.8,4.4,16.2,20.2,108.57000000000001,107.0
8.5,0.0,0.5,0.0,0.6,108.6,107.1,40.6,85.0,0.48040000000000005,11.2,29.3,0.38539999999999996,16.2,22.0,0.7177,7.1,40.1,24.7,8.5,4.8,15.0,19.2,41.2,88.4,0.4666,8.5,26.2,0.32520000000000004,16.2,20.9,0.7645,11.2,46.5,23.9,8.3,4.1,15.8,20.4,108.46000000000001,100.0
9.5,0.0,0.6,0.0,0.5,106.1,106.0,40.2,85.5,0.47300000000000003,11.4,30.2,0.3819,14.3,19.8,0.7191000000000001,6.9,39.2,25.3,8.7,4.6,15.0,18.7,41.6,87.6,0.47490000000000004,8.2,25.0,0.3286,14.6,19.1,0.7638,11.0,46.6,25.3,7.9,4.2,15.9,19.8,108.17999999999999,94.0
10.5,0.0,0.7,0.0,0.4,104.1,107.2,39.1,85.0,0.4627,11.4,30.8,0.372,14.5,19.3,0.7691000000000001,7.0,38.8,25.0,8.4,4.3,14.8,17.9,42.4,87.4,0.4849,9.2,25.3,0.3638,13.2,17.7,0.7478,10.3,45.8,25.5,7.8,3.6,15.4,19.3,108.32000000000001,85.0
11.5,0.0,0.6,0.0,0.4,101.3,107.7,38.1,83.4,0.4587,11.1,30.4,0.3663,14.0,19.0,0.7574000000000001,7.2,39.5,23.5,8.3,4.4,15.3,17.9,41.8,87.5,0.47829999999999995,10.0,26.9,0.37170000000000003,14.1,17.8,0.7950999999999999,10.5,45.3,25.5,8.2,3.3,14.7,18.8,107.72,97.0
12.5,0.0,0.5,0.0,0.3,99.5,108.3,37.3,83.3,0.4497999999999999,10.8,30.8,0.35340000000000005,14.1,19.5,0.7461,7.7,40.2,23.1,7.9,5.0,15.9,18.0,41.6,87.9,0.47400000000000003,10.1,26.1,0.3867,15.0,18.9,0.7966000000000001,10.4,45.8,25.0,9.0,3.2,14.0,19.1,107.72,118.0
13.5,0.0,0.5,0.0,0.2,101.2,110.8,38.1,84.9,0.44959999999999994,10.7,31.6,0.34099999999999997,14.3,20.3,0.724,7.8,40.8,23.4,7.7,4.6,14.9,18.9,41.7,88.4,0.47240000000000004,9.9,25.4,0.3882,17.5,21.8,0.8078000000000001,10.9,46.9,25.1,8.7,3.2,13.4,19.2,107.71,103.0
14.5,0.0,0.6,0.0,0.2,103.2,112.1,38.7,85.8,0.4521,10.6,30.5,0.3499,15.2,21.7,0.7272000000000001,8.7,42.1,23.2,7.7,4.8,14.5,19.4,41.9,89.0,0.4715,10.2,26.7,0.38039999999999996,18.1,23.1,0.7840999999999999,11.3,46.7,25.5,8.7,4.0,12.8,19.9,106.97999999999999,111.0
15.5,0.0,0.7,0.0,0.2,105.5,114.7,39.3,85.3,0.46109999999999995,11.2,30.7,0.3679,15.7,23.0,0.7060000000000001,8.4,41.7,23.6,8.1,4.9,14.1,19.2,42.8,89.6,0.4782,10.7,26.8,0.3942,18.4,23.1,0.7990999999999999,11.5,46.6,26.4,8.4,4.1,12.6,20.0,107.05000000000003,109.0
16.5,0.0,0.8,0.0,0.1,105.2,116.9,39.0,86.5,0.4507999999999999,11.5,32.0,0.3605,15.7,22.4,0.7282,8.8,42.3,22.7,6.9,5.1,14.3,20.0,42.8,89.5,0.47890000000000005,11.7,28.2,0.41019999999999995,19.6,24.4,0.8068,11.1,46.7,26.3,8.4,4.7,11.7,19.7,106.81000000000002,121.0
17.5,0.0,0.7,0.0,0.1,104.5,116.5,39.2,85.9,0.45759999999999995,11.5,32.2,0.3574,14.6,20.7,0.73,8.3,41.6,22.6,7.0,5.3,13.8,20.2,42.2,89.7,0.47169999999999995,12.4,29.0,0.4269,19.7,24.9,0.7975,12.0,47.5,26.7,8.4,4.7,11.5,18.8,106.28000000000002,112.0
18.5,0.0,0.6,0.0,0.1,105.0,117.3,39.5,86.8,0.4563,11.5,31.9,0.3612,14.5,20.5,0.7322000000000001,8.8,41.5,22.5,7.2,5.2,14.0,19.8,43.1,89.8,0.48130000000000006,12.4,28.5,0.43549999999999994,18.7,23.3,0.8196999999999999,11.4,46.7,28.4,8.4,5.4,12.2,18.8,105.97,105.0
19.5,0.0,0.6,0.0,0.2,105.5,116.3,39.5,86.2,0.4593999999999999,11.1,31.5,0.35130000000000006,15.4,21.6,0.7295,9.2,42.2,21.8,7.0,5.2,13.9,19.1,43.0,90.3,0.4774999999999999,12.1,27.7,0.434,18.2,22.7,0.8221999999999999,11.2,46.2,26.7,8.4,5.3,12.0,19.1,106.25,94.0
20.5,0.0,0.6,0.0,0.2,105.5,116.8,39.4,86.5,0.4565,11.0,31.8,0.3447,15.7,22.1,0.7152000000000001,9.0,42.1,22.3,6.9,5.3,14.4,20.5,42.6,90.0,0.47430000000000005,11.0,26.7,0.39970000000000006,20.6,25.4,0.8355,11.3,47.3,26.3,9.0,5.6,12.2,19.9,106.59,110.0
21.5,0.0,0.6,0.0,0.3,108.0,114.9,40.9,88.2,0.46510000000000007,10.8,31.7,0.3385,15.4,21.6,0.7167000000000001,9.2,42.7,22.7,6.8,5.5,14.4,20.8,41.9,89.5,0.46929999999999994,10.7,26.0,0.39920000000000005,20.4,25.6,0.8161000000000002,11.0,46.8,25.7,8.7,5.5,12.9,19.6,107.3,89.0
22.5,0.0,0.6,0.0,0.3,107.2,114.7,40.7,88.1,0.46320000000000006,10.0,30.0,0.3281,15.8,21.6,0.7341000000000001,9.2,41.9,22.2,6.7,5.5,13.6,20.5,42.4,89.1,0.47709999999999997,10.5,26.1,0.38780000000000003,19.4,24.3,0.8181,10.8,46.4,25.3,7.7,5.8,12.9,19.1,107.57000000000001,110.0
23.5,0.0,0.6,0.0,0.3,106.4,114.0,40.6,88.2,0.46159999999999995,10.1,29.7,0.33390000000000003,15.1,20.2,0.758,9.5,41.4,23.3,7.0,5.3,13.4,19.8,42.5,88.4,0.48240000000000005,11.4,27.1,0.40449999999999997,17.6,22.3,0.8101,10.7,46.2,26.4,7.5,6.1,13.4,18.7,107.55999999999999,95.0
