Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER,gamePoints
5.5,0.0,0.4,0.0,0.1,95.6,108.9,36.1,84.9,0.42460000000000003,9.5,27.8,0.3376,13.9,19.2,0.718,8.1,42.3,21.1,8.3,5.9,16.7,20.7,42.2,89.1,0.4744,9.9,26.8,0.366,14.6,20.4,0.7083999999999999,10.3,46.7,24.6,9.2,6.0,13.5,18.4,107.48000000000002,109.0
6.5,0.0,0.4,0.0,0.2,96.8,108.8,36.7,84.2,0.43620000000000003,9.8,28.2,0.34409999999999996,13.6,18.9,0.7142,8.1,42.1,22.0,8.4,5.0,17.1,21.1,42.1,88.8,0.4747,10.1,26.9,0.3735,14.5,20.3,0.7072999999999999,10.1,45.4,24.5,9.3,5.8,13.6,18.7,107.65,86.0
7.5,0.0,0.5,0.0,0.2,98.2,109.4,37.0,84.5,0.43850000000000006,10.2,29.6,0.34439999999999993,14.0,19.3,0.7198,9.0,42.2,21.9,8.4,4.7,16.6,20.8,42.2,88.7,0.47650000000000003,10.2,27.4,0.37249999999999994,14.8,20.0,0.7321,10.9,45.5,23.2,8.9,5.9,13.7,19.2,108.22,120.0
8.5,0.0,0.5,0.0,0.3,100.1,109.6,37.5,85.0,0.44139999999999996,11.0,31.1,0.34800000000000003,14.1,19.7,0.7098,8.9,42.4,22.4,9.0,4.8,16.9,21.1,41.9,88.6,0.4737000000000001,10.2,27.0,0.37709999999999994,15.6,21.7,0.7174,10.9,46.0,22.1,9.3,6.0,14.2,19.6,108.32000000000001,101.0
9.5,0.0,0.4,0.0,0.4,100.9,108.1,37.8,84.2,0.44930000000000003,10.9,29.9,0.3587000000000001,14.4,20.2,0.7031000000000001,8.8,42.7,22.2,9.0,5.1,16.6,21.2,41.4,89.5,0.46290000000000003,9.6,26.7,0.3615,15.7,21.9,0.7161000000000001,12.1,46.6,21.3,9.2,6.3,14.0,20.1,108.12,99.0
10.5,0.0,0.4,0.0,0.4,100.7,108.3,37.3,84.8,0.44089999999999996,10.7,29.7,0.35520000000000007,15.4,21.3,0.7187,9.1,43.8,22.5,9.0,5.2,17.5,22.1,41.5,90.3,0.46060000000000006,9.2,25.8,0.35919999999999996,16.1,22.5,0.7133,11.9,46.3,21.4,9.5,6.7,13.9,21.4,107.8,89.0
11.5,0.0,0.4,0.0,0.4,101.2,107.9,37.3,84.9,0.4403,10.9,29.8,0.3628,15.7,21.3,0.7323,9.0,44.4,22.7,9.2,5.8,17.6,22.3,41.2,90.8,0.4544,8.7,26.0,0.32989999999999997,16.8,23.1,0.7264,12.0,46.9,21.8,9.5,6.1,14.1,20.9,107.96,108.0
12.5,0.0,0.3,0.0,0.4,100.5,106.9,37.0,84.6,0.43859999999999993,11.0,29.6,0.368,15.5,20.4,0.7548999999999999,9.3,45.1,23.3,8.6,5.7,17.5,22.6,40.1,91.0,0.4413,9.0,28.1,0.31250000000000006,17.7,23.9,0.7371000000000001,12.7,47.2,21.2,9.1,5.8,13.4,20.6,108.13,95.0
13.5,0.0,0.4,0.0,0.3,99.1,108.6,37.0,84.6,0.4386,11.3,29.8,0.37479999999999997,13.8,18.6,0.7402,9.2,43.5,23.6,8.8,5.5,17.0,22.6,40.4,89.9,0.45149999999999996,9.8,28.1,0.35459999999999997,18.0,24.7,0.722,13.1,47.4,21.1,8.8,6.3,13.3,19.2,108.04,88.0
14.5,0.0,0.3,0.0,0.3,98.3,107.4,37.0,85.8,0.43309999999999993,11.1,30.1,0.365,13.2,17.6,0.7452,9.7,44.2,23.9,7.7,5.7,16.1,22.4,39.3,88.2,0.4484,9.8,27.5,0.364,19.0,25.9,0.7341,12.3,46.9,20.4,8.6,6.0,12.7,19.8,108.55000000000003,106.0
15.5,0.0,0.2,0.0,0.3,100.1,106.6,37.1,84.4,0.44139999999999996,12.1,31.2,0.38780000000000003,13.8,18.5,0.7378,9.5,44.1,24.1,7.2,5.3,16.4,23.0,38.7,86.7,0.4499999999999999,8.9,26.1,0.35229999999999995,20.3,27.1,0.7546,11.3,45.1,20.6,8.5,5.3,12.0,20.0,108.51000000000002,98.0
16.5,0.0,0.2,0.0,0.2,99.0,107.0,36.4,85.3,0.4276,12.2,31.5,0.3876,14.0,18.6,0.7434999999999999,10.2,44.4,23.1,7.8,6.2,16.4,22.9,38.4,85.2,0.45430000000000004,9.1,26.5,0.3545,21.1,28.0,0.7591,11.2,45.6,20.5,9.0,6.0,12.8,19.4,108.81000000000002,91.0
17.5,0.0,0.2,0.0,0.2,99.5,105.6,36.5,85.2,0.4293,12.7,32.4,0.39360000000000006,13.8,19.3,0.7146,9.8,44.9,23.7,7.4,6.7,16.5,23.9,37.4,85.4,0.4415,8.7,25.7,0.3423,22.1,29.5,0.7491,11.0,46.1,20.5,9.1,5.7,12.8,20.0,108.37,99.0
18.5,0.0,0.3,0.0,0.2,97.4,103.9,35.9,85.7,0.4199,12.2,32.9,0.37500000000000006,13.4,18.6,0.7188000000000001,10.3,45.1,23.1,7.1,6.6,15.7,23.6,36.8,84.6,0.43839999999999996,8.8,26.1,0.3417,21.5,28.3,0.7555000000000001,10.9,46.4,20.5,8.3,5.2,12.5,19.8,107.91,97.0
19.5,0.0,0.4,0.0,0.2,97.0,102.4,36.0,84.7,0.4284,11.8,32.0,0.3739,13.2,18.3,0.7212,10.1,45.3,23.4,7.4,6.5,16.3,22.4,36.6,84.0,0.4387999999999999,8.6,24.9,0.3454,20.6,26.9,0.759,9.8,44.8,20.3,9.1,4.8,12.7,19.4,107.94000000000001,114.0
