Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER
5.5,0.0,0.6,0.0,0.6,107.3,107.4,40.1,87.8,0.45709999999999995,12.3,30.8,0.39719999999999994,14.8,21.2,0.7015999999999999,10.6,47.7,26.2,8.5,4.5,17.6,25.9,37.5,87.7,0.4305,10.4,34.1,0.30379999999999996,22.0,28.8,0.7588999999999999,10.1,43.9,19.7,8.3,6.1,14.7,21.4,106.19000000000001,108.0
6.5,0.0,0.6,0.0,0.6,106.6,106.3,39.5,87.2,0.45339999999999997,12.3,31.0,0.39479999999999993,15.3,22.0,0.6982999999999999,10.8,48.5,26.0,8.5,4.4,17.6,25.9,37.3,87.3,0.43019999999999997,11.0,34.6,0.32089999999999996,20.7,27.8,0.7406999999999999,9.3,43.2,20.5,8.1,5.6,14.7,21.3,106.46000000000001,114.0
7.5,0.0,0.7,0.0,0.6,108.8,109.6,40.4,87.4,0.4622,12.5,30.6,0.4064,15.5,22.4,0.6933,10.7,47.6,27.0,8.8,4.2,17.9,24.8,38.6,87.1,0.44699999999999995,11.4,34.4,0.3383,21.0,27.2,0.7681,8.3,41.6,22.0,9.2,6.2,15.0,21.2,106.83,109.0
8.5,0.0,0.7,0.0,0.7,110.3,107.3,41.0,86.9,0.4726,12.4,31.4,0.395,15.9,22.3,0.7065,10.9,48.6,27.9,9.2,4.0,17.9,24.8,38.0,86.4,0.44370000000000004,11.3,33.2,0.3463,20.0,26.7,0.7499,8.4,39.9,21.3,9.5,5.6,15.2,20.9,107.23999999999998,115.0
9.5,0.0,0.7,0.0,0.7,112.1,109.6,41.7,88.0,0.4747,12.2,32.2,0.3794,16.5,22.9,0.7115,10.9,48.9,28.1,8.8,5.5,17.4,24.3,38.9,88.8,0.4433999999999999,11.0,32.9,0.33740000000000003,20.8,27.5,0.7577,9.7,41.7,21.7,9.7,6.0,14.7,21.1,107.3,116.0
10.5,0.0,0.7,0.0,0.7,113.3,111.5,42.1,88.0,0.47890000000000005,12.0,31.5,0.3806,17.1,23.5,0.7264999999999999,10.8,48.6,28.0,8.2,5.3,17.1,24.6,40.3,90.4,0.4503000000000001,10.5,31.3,0.3370000000000001,20.4,27.1,0.7552,10.1,42.5,22.0,9.1,5.3,14.0,21.6,107.42,107.0
11.5,0.0,0.6,0.0,0.7,112.8,109.1,42.2,87.8,0.48129999999999995,10.8,29.5,0.3615999999999999,17.6,24.3,0.7233,10.6,49.9,27.5,8.3,5.9,17.7,24.3,39.5,91.5,0.43420000000000003,9.5,30.1,0.3216,20.6,27.1,0.7657999999999999,10.5,42.6,21.6,10.0,5.5,13.7,22.0,106.89000000000001,101.0
12.5,0.0,0.5,0.0,0.7,111.4,106.5,41.7,88.8,0.46959999999999996,10.9,30.3,0.35429999999999995,17.1,23.6,0.7231,11.0,50.8,27.1,8.5,6.3,17.6,23.3,39.2,92.1,0.4281,8.9,28.0,0.32080000000000003,19.2,25.7,0.7504,10.6,43.9,21.3,9.6,5.8,13.9,21.4,106.88000000000002,130.0
13.5,0.0,0.5,0.0,0.7,112.5,106.7,41.9,88.4,0.47359999999999997,11.2,30.2,0.36429999999999996,17.5,23.1,0.7571000000000001,10.6,50.8,27.0,8.2,6.1,17.1,22.9,39.0,91.3,0.4298,9.3,28.8,0.32470000000000004,19.4,26.1,0.7476999999999998,10.1,43.1,21.3,9.3,5.9,13.0,20.3,106.81000000000002,91.0
14.5,0.0,0.5,0.0,0.6,109.5,107.0,40.9,88.8,0.46109999999999995,9.7,29.4,0.325,18.0,23.7,0.7585,11.6,51.1,25.1,8.1,5.4,16.5,22.7,38.6,90.2,0.4311000000000001,10.0,29.7,0.33660000000000007,19.8,26.2,0.7644999999999998,10.4,43.7,21.3,9.4,5.6,13.0,20.6,107.18999999999998,118.0
15.5,0.0,0.4,0.0,0.6,110.9,108.6,41.2,88.8,0.4648,8.8,28.5,0.2973,19.7,27.1,0.7426000000000001,12.9,51.9,25.1,8.2,5.6,16.0,22.0,39.2,89.2,0.4412,10.0,28.0,0.35440000000000005,20.2,26.4,0.771,9.7,42.7,22.0,8.8,5.4,12.9,22.5,107.66,97.0
16.5,0.0,0.4,0.0,0.6,109.8,108.5,41.0,88.5,0.46399999999999997,8.9,28.0,0.3068,18.9,26.2,0.7333000000000001,13.1,50.8,25.2,8.7,5.2,16.2,21.4,39.2,87.8,0.4488,10.0,28.2,0.3514,20.1,25.6,0.7903,9.6,42.2,21.6,8.9,5.6,13.6,22.6,106.93999999999998,108.0
17.5,0.0,0.3,0.0,0.7,109.2,105.3,40.1,87.7,0.4579,8.7,28.0,0.2996,20.3,27.4,0.7508,13.5,51.7,24.9,8.4,5.4,16.0,21.9,37.8,87.4,0.43389999999999995,9.5,28.6,0.32849999999999996,20.2,26.2,0.7754000000000001,9.9,41.9,20.5,8.2,4.7,13.0,23.0,106.92,101.0
18.5,0.0,0.2,0.0,0.6,108.4,106.3,40.2,89.1,0.4514,8.7,27.8,0.30100000000000005,19.3,25.5,0.7765,13.8,51.3,24.5,8.4,5.8,15.4,21.5,38.6,88.3,0.43839999999999996,9.3,27.6,0.3365,19.8,25.2,0.7870999999999999,10.5,43.1,21.4,8.4,5.2,12.6,21.8,107.16,104.0
19.5,0.0,0.1,0.0,0.5,107.3,106.1,39.9,88.6,0.4507,9.0,27.2,0.3176,18.5,24.6,0.7727,13.7,50.5,24.7,8.0,5.6,15.6,22.2,38.6,87.0,0.44369999999999993,10.1,27.7,0.3647,18.8,24.9,0.7556,9.8,41.8,21.8,9.0,5.3,12.8,21.8,107.16000000000001,98.0
20.5,0.0,0.2,0.0,0.5,105.5,104.2,38.9,86.7,0.44959999999999994,9.1,27.6,0.31640000000000007,18.6,24.3,0.7977000000000001,13.3,50.4,25.0,8.2,5.3,16.4,22.1,37.2,85.4,0.4368,10.8,28.3,0.3826,19.0,25.4,0.7465999999999999,9.3,40.3,21.9,9.7,4.9,13.3,21.6,107.58000000000001,124.0
