Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER
5.5,0.0,0.5,0.0,0.3,107.2,113.9,39.5,90.9,0.4366,6.4,21.8,0.2995,21.8,28.5,0.7638000000000001,11.7,48.2,18.7,8.9,3.2,15.3,26.1,40.2,88.4,0.4572,9.6,26.3,0.36,23.9,30.9,0.7741999999999999,8.9,46.5,22.4,7.5,6.2,15.5,22.6,108.41000000000001,120.0
6.5,0.0,0.6,0.0,0.3,109.8,115.9,40.5,92.2,0.44089999999999996,6.8,22.6,0.30779999999999996,22.0,28.4,0.774,11.5,47.9,19.4,9.3,3.2,14.8,26.1,40.3,88.5,0.4577,10.6,27.5,0.37989999999999996,24.7,31.4,0.7882000000000001,8.7,46.7,23.2,7.8,6.4,15.8,22.6,107.68000000000002,104.0
7.5,0.0,0.6,0.0,0.3,109.2,116.6,40.2,90.7,0.44560000000000005,7.1,21.8,0.32989999999999997,21.7,28.1,0.7705000000000002,11.5,47.0,19.3,9.0,3.3,14.9,26.1,40.8,88.2,0.46440000000000003,10.9,27.1,0.4032,24.1,30.0,0.8061999999999999,8.7,45.9,24.2,7.5,6.5,15.0,22.6,108.15,116.0
8.5,0.0,0.7,0.0,0.4,110.8,115.6,41.1,91.4,0.4519,7.2,22.1,0.3297,21.4,27.4,0.7818000000000002,12.2,46.6,19.5,9.4,3.4,14.9,26.3,40.9,87.5,0.46959999999999996,10.2,24.9,0.38989999999999997,23.6,29.6,0.8007,9.0,45.1,23.3,7.4,6.8,15.3,22.2,108.61000000000001,105.0
9.5,0.0,0.7,0.0,0.4,111.5,116.0,41.5,92.2,0.45260000000000006,7.3,22.7,0.325,21.2,27.7,0.7694000000000001,12.4,46.6,19.4,9.4,4.1,14.4,24.9,41.4,88.1,0.47189999999999993,11.3,26.8,0.40099999999999997,21.9,27.8,0.7868000000000002,9.1,45.1,24.5,7.7,7.3,15.5,22.2,108.67999999999999,101.0
10.5,0.0,0.8,0.0,0.3,109.8,115.1,41.0,91.0,0.45280000000000015,7.9,23.8,0.33440000000000003,19.9,26.2,0.7661,12.3,45.9,20.1,8.7,4.3,15.3,25.3,40.9,87.1,0.471,11.1,26.3,0.4003,22.2,29.1,0.761,9.5,44.3,24.5,7.7,6.9,15.2,21.8,108.55,92.0
11.5,0.0,0.8,0.0,0.3,107.8,112.7,40.3,89.0,0.45499999999999996,8.0,23.6,0.34199999999999997,19.2,25.6,0.7577,11.7,44.4,19.8,8.6,4.8,15.5,24.6,39.9,86.8,0.46159999999999995,10.8,25.8,0.395,22.1,28.6,0.7683000000000001,10.0,44.4,23.4,7.9,6.4,15.5,21.6,108.91000000000001,85.0
12.5,0.0,0.7,0.0,0.3,105.5,110.6,39.5,87.8,0.45150000000000007,8.0,24.2,0.3351,18.5,24.9,0.7505,11.8,45.2,19.5,8.9,5.2,16.3,24.2,39.2,86.3,0.45600000000000007,10.5,25.7,0.3833000000000001,21.7,27.6,0.7832000000000001,9.6,43.0,22.8,8.6,6.7,15.3,22.1,108.8,114.0
13.5,0.0,0.6,0.0,0.3,104.8,110.2,38.8,88.1,0.44189999999999996,8.4,24.6,0.3458,18.8,25.2,0.7518,11.2,45.7,18.8,8.4,5.7,15.8,23.9,38.6,87.1,0.44420000000000004,10.4,25.5,0.3829000000000001,22.6,28.0,0.8024000000000001,9.9,44.4,22.7,8.6,6.4,14.5,21.9,108.97,109.0
14.5,0.0,0.6,0.0,0.3,105.0,110.9,39.0,88.6,0.44159999999999994,8.6,24.5,0.35699999999999993,18.4,24.7,0.7511,11.5,44.9,18.3,8.8,5.5,15.6,23.6,39.9,87.1,0.4588,10.4,25.8,0.378,20.7,25.8,0.798,9.7,44.3,22.7,8.4,6.5,15.4,21.7,108.82000000000001,109.0
15.5,0.0,0.7,0.0,0.3,105.5,112.5,39.1,87.0,0.4492999999999999,8.9,24.4,0.36719999999999997,18.4,24.7,0.7510999999999999,11.2,43.0,18.4,8.7,5.4,15.8,24.5,40.8,86.5,0.47400000000000003,10.2,24.2,0.40149999999999997,20.7,26.2,0.7878,9.7,42.6,24.2,8.7,6.0,15.4,21.7,108.15,105.0
