Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER,gamePoints
5.5,0.0,0.6,0.0,0.4,106.1,116.5,37.8,86.9,0.43629999999999997,8.8,25.6,0.3446,21.7,28.1,0.7708,11.0,46.8,18.6,7.3,5.4,16.2,23.8,42.7,90.7,0.4715,10.2,25.8,0.40099999999999997,20.9,27.6,0.7578999999999999,10.1,46.6,21.6,8.5,5.0,13.2,24.6,107.15,92.0
6.5,0.0,0.6,0.0,0.4,107.7,113.9,38.0,86.6,0.43970000000000004,8.7,25.4,0.34270000000000006,23.0,29.8,0.7729,11.4,48.7,18.9,7.2,5.3,16.3,24.5,41.8,90.4,0.4628,9.6,26.6,0.3677,20.7,27.7,0.7482999999999999,9.7,45.7,21.4,8.7,4.7,13.2,25.6,107.56000000000002,115.0
7.5,0.0,0.6,0.0,0.4,106.2,113.3,37.5,86.2,0.4363,8.5,25.4,0.3358,22.7,29.0,0.7812,11.0,47.1,19.2,6.8,4.6,15.5,24.9,41.3,89.2,0.4643,9.6,27.0,0.3615,21.1,27.9,0.7555999999999998,10.3,46.8,21.3,8.4,4.8,12.8,25.0,107.41000000000001,112.0
8.5,0.0,0.5,0.0,0.4,108.6,113.1,39.2,88.5,0.44510000000000005,8.4,25.4,0.3316,21.8,27.7,0.7835,11.8,47.5,18.6,6.8,4.8,15.1,25.1,40.8,88.6,0.4622,9.7,27.2,0.3617,21.8,29.2,0.7497,10.0,46.0,21.6,8.0,5.1,13.4,23.8,107.42,118.0
9.5,0.0,0.5,0.0,0.4,108.7,112.6,39.6,89.4,0.4441,8.4,25.0,0.33680000000000004,21.1,27.4,0.765,11.9,47.6,18.7,6.6,5.3,14.9,25.1,40.4,88.3,0.45940000000000003,9.2,27.0,0.34080000000000005,22.6,29.8,0.7606999999999998,10.6,47.0,21.3,7.9,5.3,13.6,23.4,107.4,93.0
10.5,0.0,0.5,0.0,0.3,108.3,113.8,39.1,89.3,0.43920000000000003,8.5,25.7,0.33210000000000006,21.6,28.5,0.7472,11.4,47.5,18.4,6.4,5.2,14.8,24.3,41.1,89.8,0.46020000000000005,10.0,27.8,0.3592,21.6,28.6,0.7502,10.8,47.9,21.0,7.7,4.9,12.9,23.5,107.83,116.0
11.5,0.0,0.4,0.0,0.3,109.2,116.6,40.1,91.0,0.44190000000000007,8.6,26.1,0.3308000000000001,20.4,27.6,0.7242999999999998,11.8,47.6,19.1,6.1,5.0,14.5,24.2,41.4,89.7,0.4640000000000001,11.0,29.6,0.3646,22.8,29.6,0.7602,10.8,47.7,21.0,7.8,5.1,12.9,22.9,107.84,122.0
12.5,0.0,0.4,0.0,0.3,109.2,116.5,40.4,91.7,0.44160000000000005,8.9,27.1,0.3259,19.5,27.1,0.7009999999999998,11.7,45.4,20.1,6.6,5.0,14.0,23.8,41.7,88.6,0.47230000000000005,10.8,29.0,0.36360000000000003,22.3,29.0,0.7569000000000001,11.0,48.2,22.1,7.6,5.7,14.1,22.7,107.6,113.0
13.5,0.0,0.3,0.0,0.3,108.3,115.4,40.8,92.3,0.4428000000000001,8.7,27.4,0.3143,18.0,25.5,0.6920999999999999,11.5,45.7,21.0,6.6,4.9,14.3,23.0,41.8,89.5,0.46930000000000005,11.0,29.6,0.36360000000000003,20.8,27.4,0.7412,10.7,48.4,22.1,7.6,5.4,14.0,22.0,107.88000000000002,107.0
14.5,0.0,0.2,0.0,0.3,108.3,114.7,41.1,91.9,0.44750000000000006,8.5,26.4,0.318,17.6,25.1,0.6898,11.7,47.0,20.8,6.6,5.5,16.2,23.1,41.5,90.5,0.4609,11.0,29.9,0.3604,20.7,28.0,0.7209,11.1,47.7,21.6,8.7,5.3,14.2,22.6,107.83,91.0
15.5,0.0,0.1,0.0,0.3,107.9,115.0,41.1,93.2,0.4412,7.9,26.1,0.2932,17.8,24.7,0.7140000000000002,12.1,47.3,19.7,7.0,5.7,16.0,23.3,41.6,90.8,0.46040000000000003,10.8,30.4,0.3437,21.0,28.4,0.7214,11.6,48.3,22.4,8.8,5.3,14.8,22.5,108.14000000000001,108.0
