Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER,gamePoints
5.5,0.0,0.4,0.0,0.6,107.2,100.9,37.7,86.7,0.43520000000000003,10.2,25.9,0.4002,21.6,26.4,0.8145,11.9,48.6,19.4,6.9,6.3,14.5,22.3,36.4,83.2,0.4396,8.1,25.1,0.3173,20.0,27.4,0.7211,7.9,40.7,16.2,7.8,6.6,13.2,21.2,107.74000000000001,97.0
6.5,0.0,0.3,0.0,0.5,104.5,103.1,36.9,85.8,0.4307,9.4,25.4,0.37349999999999994,21.3,25.6,0.8309,11.4,47.1,18.3,7.0,5.7,14.5,22.1,37.1,81.6,0.45600000000000007,8.1,24.3,0.3282,20.8,28.1,0.7328999999999999,7.4,40.8,17.0,7.7,6.8,13.0,21.1,107.6,97.0
7.5,0.0,0.2,0.0,0.4,102.8,103.6,36.3,85.8,0.4244,9.3,25.8,0.36089999999999994,20.9,25.0,0.8362,11.5,47.1,18.1,6.9,5.5,14.6,21.2,37.5,82.9,0.454,8.9,26.3,0.3376,19.7,26.7,0.7241,7.9,41.8,18.0,8.3,6.8,12.8,20.7,107.84,99.0
8.5,0.0,0.1,0.0,0.5,101.7,100.5,36.7,85.0,0.4345,8.9,25.1,0.3549,19.4,23.3,0.8365,11.0,47.2,18.5,7.1,5.4,15.1,20.8,36.3,83.3,0.4372,9.1,27.7,0.3268,18.8,25.2,0.7375,8.4,41.8,17.1,8.3,6.2,13.4,20.0,107.92,99.0
9.5,0.0,0.1,0.0,0.5,101.3,100.6,37.2,84.9,0.4407,9.3,24.9,0.37229999999999996,17.6,21.3,0.8239000000000001,10.2,45.0,18.9,7.1,4.9,14.5,19.6,37.0,83.6,0.44449999999999995,9.3,27.6,0.3347,17.3,22.9,0.7625,8.7,41.7,17.3,8.4,5.9,13.2,19.0,108.13,82.0
10.5,0.0,0.2,0.0,0.5,99.2,98.8,36.7,84.1,0.43839999999999996,8.6,24.3,0.3551,17.2,20.7,0.8313,9.7,45.0,18.3,7.4,4.6,15.3,19.0,37.0,84.4,0.4401,8.8,26.2,0.3312,16.0,20.8,0.7653,8.5,41.4,18.2,9.1,5.9,13.4,19.3,108.24000000000001,102.0
11.5,0.0,0.2,0.0,0.5,98.0,97.1,36.5,82.0,0.4487,8.5,23.8,0.3604,16.5,20.0,0.8253999999999999,9.0,44.1,17.5,7.2,4.7,15.6,18.6,36.7,84.6,0.43579999999999997,8.7,25.3,0.3437,15.0,19.6,0.7631,8.2,40.4,17.5,8.8,5.6,12.8,19.4,108.10999999999999,100.0
12.5,0.0,0.3,0.0,0.6,99.5,96.4,36.7,82.3,0.4496999999999999,8.3,22.7,0.36960000000000004,17.8,21.3,0.834,9.9,46.3,17.3,6.8,4.9,15.8,19.4,36.1,84.5,0.42940000000000006,8.7,25.9,0.3371,15.5,20.2,0.7649,7.9,39.2,18.1,8.4,5.6,12.7,20.6,108.61999999999998,81.0
13.5,0.0,0.3,0.0,0.6,97.3,95.3,36.0,81.9,0.4436,8.1,21.9,0.37,17.2,21.0,0.8182,9.9,45.8,17.0,6.8,4.7,15.8,18.6,36.6,84.5,0.4349,8.5,26.2,0.3267,13.6,18.3,0.7494,8.0,39.4,18.8,8.7,5.6,13.1,20.6,108.71,127.0
14.5,0.0,0.4,0.0,0.6,98.7,96.8,36.8,82.9,0.4471,7.8,21.2,0.3691,17.3,21.8,0.8007,10.1,46.2,17.2,6.6,5.6,15.3,18.1,37.3,86.6,0.4305,9.1,26.9,0.3445,13.1,17.7,0.7467,9.1,40.9,19.7,8.3,5.4,12.9,20.8,108.94999999999997,108.0
