Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER
5.5,0.0,0.4,0.0,0.7,117.2,107.8,41.9,90.2,0.46790000000000004,11.1,31.2,0.35929999999999995,22.3,25.9,0.86,11.6,51.9,20.2,6.1,4.8,14.5,22.2,40.2,94.4,0.42750000000000005,10.1,30.8,0.3295,17.3,24.1,0.7146000000000001,12.5,45.2,22.3,7.3,6.4,11.9,22.4,109.57000000000001,118.0
6.5,0.0,0.4,0.0,0.7,116.2,106.2,42.3,89.3,0.4766000000000001,11.5,31.8,0.36369999999999997,20.1,23.8,0.8294,11.3,51.6,20.4,5.9,4.1,14.1,21.3,39.7,94.3,0.4226,11.0,32.0,0.34430000000000005,15.8,22.0,0.7262000000000001,12.9,44.8,22.6,6.5,5.9,11.5,21.4,109.17,116.0
7.5,0.0,0.4,0.0,0.7,115.7,105.9,41.8,90.6,0.46420000000000006,11.0,31.2,0.3553,21.1,24.7,0.8381000000000001,11.9,52.3,19.8,5.8,4.6,13.5,21.9,39.6,93.2,0.4267,10.5,31.3,0.3358,16.2,22.6,0.7225999999999999,12.1,44.9,21.6,6.2,6.5,11.6,21.9,109.15,100.0
8.5,0.0,0.4,0.0,0.8,113.3,102.8,41.4,88.4,0.4697000000000001,11.3,30.9,0.366,19.2,22.6,0.8310000000000001,11.7,50.8,19.8,5.6,4.4,13.7,21.1,38.6,91.5,0.4236,10.4,31.8,0.32860000000000006,15.2,21.0,0.7334,12.0,43.7,21.2,6.7,6.3,11.8,20.8,108.56999999999998,117.0
9.5,0.0,0.4,0.0,0.7,112.2,104.0,40.7,89.0,0.4586,11.6,31.5,0.3677,19.2,22.3,0.8414999999999999,11.6,51.1,19.8,5.8,4.8,14.1,21.0,38.7,92.2,0.42089999999999994,10.7,32.0,0.3355,15.9,21.6,0.7419,12.0,44.5,20.8,7.3,6.2,11.7,20.5,108.71,96.0
10.5,0.0,0.4,0.0,0.7,110.7,103.2,40.7,89.0,0.4586,11.2,31.1,0.35890000000000005,18.1,21.5,0.8221999999999999,11.9,51.7,20.0,5.7,4.1,15.0,19.9,38.9,91.8,0.4250999999999999,10.4,30.9,0.3399,15.0,20.1,0.7492,11.3,43.2,21.5,7.7,5.8,11.7,20.0,109.22999999999999,119.0
11.5,0.0,0.4,0.0,0.7,112.3,104.8,40.8,89.8,0.45519999999999994,11.3,31.5,0.3571000000000001,19.4,23.2,0.8135,11.9,51.9,20.7,5.8,4.1,14.7,20.1,39.5,92.4,0.4288,11.1,32.2,0.3489,14.7,20.2,0.7318,11.5,44.0,22.4,7.3,6.2,12.0,21.0,109.92,118.0
12.5,0.0,0.4,0.0,0.7,113.7,107.7,41.5,91.3,0.4551,12.1,33.0,0.3628,18.6,22.6,0.7971,12.6,51.1,21.5,6.2,4.1,14.1,20.1,40.6,91.1,0.4471,11.4,30.8,0.37039999999999995,15.1,20.1,0.7525999999999999,10.5,43.3,22.8,7.4,5.8,12.4,20.0,110.18999999999998,100.0
13.5,0.0,0.5,0.0,0.6,110.5,110.1,40.5,91.9,0.4410999999999999,11.2,33.6,0.33340000000000003,18.3,22.3,0.7952999999999999,12.8,50.5,20.2,6.6,4.3,14.4,19.1,42.3,92.5,0.45730000000000004,12.1,32.4,0.3761,13.4,18.1,0.7512,10.4,44.8,23.9,7.5,5.7,12.6,19.9,109.48999999999998,97.0
14.5,0.0,0.6,0.0,0.6,109.2,111.2,39.9,90.8,0.43970000000000004,11.5,32.5,0.3538,17.9,22.3,0.7771000000000001,12.4,49.4,20.4,6.5,4.0,14.3,18.6,42.6,92.4,0.4615,13.0,33.5,0.3911,13.0,17.2,0.7622,10.1,44.1,24.8,7.7,5.6,12.1,19.9,109.45,100.0
15.5,0.0,0.6,0.0,0.5,108.1,113.5,40.3,91.9,0.43879999999999997,11.6,33.5,0.3499,15.9,20.1,0.7696000000000001,12.3,48.6,20.7,6.0,4.4,13.9,19.0,43.5,92.1,0.4725,12.8,33.0,0.38780000000000003,13.7,18.5,0.7535999999999999,9.9,45.1,24.5,7.7,5.7,11.4,19.1,109.25999999999999,115.0
16.5,0.0,0.6,0.0,0.5,107.8,114.4,39.2,91.3,0.4295999999999999,11.8,33.1,0.35910000000000003,17.6,22.5,0.7759,12.5,48.2,20.8,6.1,4.2,13.8,19.0,43.7,91.0,0.4809,12.6,31.8,0.39640000000000003,14.4,19.2,0.7594,9.0,44.6,24.7,7.8,6.4,11.7,19.5,109.51999999999998,112.0
17.5,0.0,0.6,0.0,0.4,107.4,115.2,39.7,90.1,0.4413,11.4,32.7,0.3479,16.6,21.8,0.7592000000000001,12.3,47.3,20.9,6.4,4.0,14.6,19.3,43.6,90.8,0.4808,13.2,32.5,0.4083,14.8,19.8,0.7575000000000001,9.6,44.6,25.6,8.7,5.7,12.1,19.4,109.29,118.0
18.5,0.0,0.7,0.0,0.3,109.2,118.9,40.3,90.1,0.4483,11.2,32.0,0.3504,17.4,22.4,0.7792,11.7,45.3,21.2,6.6,4.3,14.2,20.0,45.0,89.8,0.5023000000000001,12.9,29.8,0.44830000000000003,16.0,21.0,0.7684,9.0,43.8,26.6,8.1,5.6,12.1,19.3,109.64000000000001,102.0
19.5,0.0,0.7,0.0,0.3,107.7,117.4,40.0,89.2,0.44939999999999997,10.5,31.1,0.33720000000000006,17.2,22.4,0.7705,11.7,45.4,20.8,6.5,3.9,14.6,20.8,44.4,89.3,0.49820000000000003,12.5,29.6,0.43810000000000004,16.1,21.9,0.7484999999999999,9.4,44.0,26.6,8.1,5.4,12.1,19.4,109.75999999999999,108.0
20.5,0.0,0.6,0.0,0.4,108.9,114.8,40.4,88.9,0.4556000000000001,10.6,30.9,0.34290000000000004,17.5,23.1,0.7635,11.9,46.2,21.6,6.9,4.4,14.5,21.3,43.3,89.2,0.4867,11.8,29.5,0.41369999999999996,16.4,22.2,0.7544000000000001,9.6,43.8,25.8,8.1,5.2,12.5,19.9,109.96,113.0
21.5,0.0,0.5,0.0,0.4,108.3,114.4,40.4,88.6,0.45729999999999993,10.5,31.2,0.3365,17.0,22.6,0.7610999999999999,12.4,46.3,21.3,7.5,5.0,14.9,20.8,43.0,88.7,0.4859,11.2,27.9,0.41690000000000005,17.2,22.3,0.7886,9.7,43.5,25.5,8.9,5.0,12.6,19.2,109.9,104.0
22.5,0.0,0.5,0.0,0.3,106.9,114.1,39.7,87.8,0.45360000000000006,9.9,30.2,0.3308,17.6,23.0,0.7762,12.3,46.4,20.8,6.8,5.0,15.2,20.6,43.0,88.9,0.48469999999999996,10.8,27.9,0.40310000000000007,17.3,22.8,0.7779999999999999,9.9,43.5,25.5,9.0,5.0,11.8,19.8,109.63000000000002,83.0
23.5,0.0,0.5,0.0,0.3,105.2,109.0,39.5,87.2,0.45380000000000004,9.6,28.3,0.3361,16.6,21.8,0.7754000000000001,11.7,46.8,21.0,7.1,5.3,14.9,20.5,40.7,86.3,0.4734,10.1,25.8,0.40310000000000007,17.5,23.5,0.7623,9.5,42.7,24.0,9.1,5.8,11.6,19.7,109.94000000000001,128.0
24.5,0.0,0.4,0.0,0.4,108.3,108.7,40.5,87.3,0.46399999999999997,10.0,28.6,0.3467,17.3,21.7,0.8113999999999999,11.7,46.7,21.7,7.2,5.5,14.4,20.4,40.2,85.6,0.4720000000000001,10.2,25.7,0.4081,18.1,24.0,0.7729999999999999,9.5,42.1,23.1,8.4,5.2,11.7,19.6,109.77000000000001,131.0
25.5,0.0,0.5,0.0,0.5,111.4,111.0,41.0,86.2,0.47539999999999993,10.2,26.8,0.3756,19.2,23.8,0.8185,10.7,44.2,22.5,7.5,5.4,14.3,21.2,40.6,84.9,0.48040000000000005,10.7,25.9,0.42510000000000003,19.1,24.5,0.7899999999999999,9.2,41.0,24.3,8.0,4.8,12.3,20.6,109.77000000000001,99.0
26.5,0.0,0.5,0.0,0.5,109.8,109.0,40.8,85.2,0.47859999999999997,9.4,25.5,0.36920000000000003,18.8,22.6,0.8397,10.6,43.8,21.7,7.6,5.7,15.3,21.8,39.7,84.6,0.4708,10.2,25.6,0.4117,19.4,24.9,0.7862,10.0,40.9,23.7,8.9,5.0,12.3,20.7,109.81999999999998,90.0
27.5,0.0,0.5,0.0,0.5,107.6,109.7,39.8,85.4,0.4659,9.8,26.5,0.37320000000000003,18.2,22.3,0.8190999999999999,10.7,43.6,21.5,7.7,5.7,15.3,21.1,40.4,84.4,0.4801,10.4,25.7,0.4166,18.5,24.0,0.7719,9.3,41.0,24.4,8.5,5.3,12.7,20.7,109.53999999999999,121.0
28.5,0.0,0.4,0.0,0.6,107.9,108.4,40.2,87.2,0.4607,9.7,27.4,0.3607,17.8,22.4,0.7897000000000001,10.5,45.4,21.9,7.6,5.8,14.5,21.6,39.7,86.4,0.46159999999999995,10.5,27.6,0.37860000000000005,18.5,24.6,0.7524,9.6,42.5,23.7,8.1,5.1,12.4,21.2,109.5,96.0
29.5,0.0,0.4,0.0,0.6,107.3,109.0,39.9,87.7,0.4548,9.9,27.3,0.37060000000000004,17.6,22.7,0.7725000000000002,10.5,44.8,21.9,7.6,5.5,13.9,20.7,40.5,85.9,0.47380000000000005,10.7,27.5,0.38670000000000004,17.3,23.4,0.736,9.0,42.4,23.2,7.7,5.7,12.8,21.2,109.00999999999999,110.0
30.5,0.0,0.5,0.0,0.6,107.5,111.3,39.6,89.7,0.4428000000000001,10.3,28.6,0.3698,18.0,22.3,0.8008000000000001,10.3,44.6,21.5,7.3,5.3,13.6,20.6,41.5,87.4,0.47779999999999995,11.5,29.2,0.3977,16.8,23.5,0.6974,9.3,44.2,24.8,7.6,6.4,12.7,21.0,108.44000000000001,105.0
31.5,0.0,0.5,0.0,0.5,106.7,112.3,39.6,90.5,0.43870000000000003,10.2,28.4,0.36850000000000005,17.3,21.5,0.7993,10.0,43.9,21.0,6.9,4.8,13.0,20.3,41.5,86.3,0.4837999999999999,12.0,30.1,0.4018999999999999,17.3,24.1,0.6977,8.8,44.4,25.0,7.3,6.1,12.7,20.5,108.07000000000002,129.0
