Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER
5.5,0.0,0.6,0.0,0.4,97.8,101.8,35.9,81.3,0.4418,7.4,22.1,0.33440000000000003,18.6,24.2,0.7596999999999999,9.5,40.7,21.5,7.2,3.7,13.7,22.6,36.4,79.9,0.45760000000000006,8.6,25.6,0.3277,20.4,28.0,0.7365999999999999,10.3,42.7,22.5,7.9,6.1,13.2,22.5,108.14000000000001,120.0
6.5,0.0,0.6,0.0,0.3,98.5,104.6,35.8,81.5,0.43950000000000006,7.4,22.1,0.3344,19.5,25.1,0.7666,9.8,41.4,20.9,7.4,3.5,13.9,22.7,37.3,80.8,0.4631,9.5,27.3,0.3421,20.5,28.0,0.7403,10.0,42.2,23.4,8.1,6.2,12.5,22.0,108.00999999999999,105.0
7.5,0.0,0.6,0.0,0.3,99.6,105.4,36.6,82.1,0.44689999999999996,7.7,22.1,0.34940000000000004,18.7,24.4,0.7598,10.2,42.0,20.8,7.2,3.8,14.0,22.3,38.0,81.7,0.4664,10.0,28.5,0.34550000000000003,19.4,27.0,0.7279,10.0,41.9,24.0,8.2,6.1,12.7,21.5,108.01000000000002,115.0
8.5,0.0,0.6,0.0,0.2,100.5,107.2,36.5,82.2,0.4452,7.8,22.1,0.35330000000000006,19.7,25.4,0.7666999999999999,10.0,42.6,20.5,7.3,3.7,14.1,22.3,38.3,82.3,0.46610000000000007,10.6,29.2,0.35850000000000004,20.0,27.3,0.7392999999999998,9.8,42.0,24.8,8.3,6.2,13.0,21.4,107.67,102.0
9.5,0.0,0.5,0.0,0.3,101.2,106.5,36.5,82.8,0.44159999999999994,7.9,22.5,0.3505,20.3,26.0,0.7743,9.8,42.5,20.5,7.1,3.9,13.5,20.7,38.4,82.9,0.46430000000000005,10.4,28.6,0.35930000000000006,19.3,25.0,0.7692999999999999,9.7,42.5,24.0,7.9,6.2,13.2,21.5,107.85999999999999,116.0
10.5,0.0,0.4,0.0,0.4,103.2,105.8,37.5,83.3,0.4502,8.6,23.0,0.37170000000000003,19.6,25.0,0.7831999999999999,10.0,41.8,21.9,7.1,3.6,13.1,20.7,37.9,81.9,0.46340000000000003,9.8,28.2,0.34249999999999997,20.2,25.9,0.7757999999999999,9.6,41.8,23.4,7.6,6.0,12.6,21.5,107.91999999999999,104.0
11.5,0.0,0.3,0.0,0.4,104.2,107.3,37.6,83.3,0.45150000000000007,8.8,24.4,0.3609,20.2,25.4,0.7994999999999999,9.3,41.6,22.6,7.0,4.1,13.1,20.2,38.1,82.0,0.46529999999999994,10.9,30.2,0.35119999999999996,20.2,25.6,0.7861999999999998,9.1,41.6,23.7,7.9,5.8,12.6,22.0,107.72999999999999,122.0
12.5,0.0,0.3,0.0,0.5,107.3,106.1,38.9,83.5,0.4657,9.1,23.9,0.3817,20.4,25.7,0.7978999999999999,8.9,42.5,22.3,7.3,4.1,13.0,19.5,37.8,82.5,0.45899999999999996,11.1,30.9,0.3488,19.4,24.5,0.7950999999999999,8.3,40.5,22.8,7.4,4.9,12.6,21.9,107.87,95.0
13.5,0.0,0.3,0.0,0.4,107.2,107.1,39.3,85.0,0.46299999999999997,8.9,24.4,0.36469999999999997,19.7,25.2,0.7852,8.9,42.2,22.2,8.4,4.0,14.1,19.7,38.3,82.6,0.46449999999999997,11.4,30.4,0.36549999999999994,19.1,24.0,0.7985,8.1,41.1,22.8,7.9,5.1,14.3,21.6,108.03,92.0
14.5,0.0,0.4,0.0,0.3,106.2,107.4,38.7,85.7,0.4524,8.7,24.5,0.3558,20.1,25.7,0.7851999999999999,9.8,43.4,22.0,8.6,4.5,14.5,19.2,38.1,83.0,0.46019999999999994,12.0,31.1,0.38099999999999995,19.2,23.7,0.8196,8.5,41.6,23.0,8.4,5.1,14.6,21.5,108.16,98.0
