Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER,gamePoints
5.5,0.0,0.7,0.0,0.6,118.7,119.3,45.7,92.0,0.4960000000000001,10.8,27.1,0.3968,16.5,25.3,0.641,9.9,45.8,25.4,8.3,4.8,14.3,22.7,43.2,92.2,0.46889999999999993,12.7,37.5,0.3438,20.2,27.5,0.7443000000000001,11.2,48.6,25.4,8.3,6.3,16.7,23.8,108.47,105.0
6.5,0.0,0.7,0.0,0.6,117.5,118.4,45.0,91.3,0.4921000000000001,10.9,27.5,0.39479999999999993,16.6,25.3,0.6465,10.0,45.2,26.4,8.5,5.0,14.9,22.6,43.2,93.2,0.4631,12.5,38.4,0.3263,19.5,26.0,0.7619,12.0,49.5,25.0,8.5,6.3,17.0,23.9,108.63,121.0
7.5,0.0,0.6,0.0,0.7,116.7,114.5,44.3,91.2,0.48530000000000006,11.1,28.2,0.3923,17.0,25.6,0.6527000000000001,10.3,46.2,26.5,8.6,5.4,14.8,22.9,41.5,93.1,0.4457,11.6,37.8,0.3027,19.9,25.8,0.7789,12.3,49.5,23.5,8.5,6.0,17.1,23.7,108.66,86.0
8.5,0.0,0.5,0.0,0.6,112.2,112.6,42.5,91.3,0.4652,10.7,28.5,0.3708,16.5,24.8,0.6577,10.4,46.6,24.8,8.2,5.2,15.0,22.3,41.0,92.6,0.44289999999999996,11.9,37.7,0.31120000000000003,18.7,24.5,0.7567999999999999,12.2,50.3,23.5,8.5,5.4,16.7,22.8,108.91,104.0
9.5,0.0,0.4,0.0,0.7,111.4,109.9,42.3,91.3,0.4629,10.5,27.8,0.3747,16.3,24.0,0.671,10.2,47.2,24.6,8.7,4.9,14.6,22.6,39.7,91.4,0.4351,11.8,37.8,0.3068,18.7,24.6,0.7514000000000001,11.6,49.7,22.9,7.9,5.5,17.0,21.8,109.16,104.0
10.5,0.0,0.5,0.0,0.6,112.1,111.9,42.5,91.0,0.46699999999999997,11.1,29.3,0.3778,16.0,23.1,0.6824,9.6,45.7,25.0,8.9,4.6,15.3,23.5,40.4,90.5,0.4474,11.9,36.6,0.3238,19.2,25.7,0.737,11.2,48.8,23.5,8.3,5.4,16.8,21.6,109.16,112.0
11.5,0.0,0.6,0.0,0.5,111.7,113.9,42.7,91.7,0.46579999999999994,10.8,29.1,0.37140000000000006,15.5,22.0,0.6965,9.5,44.3,24.8,9.1,4.5,14.9,23.8,41.0,90.0,0.4576999999999999,12.5,37.1,0.3331,19.4,25.8,0.742,11.3,48.7,24.0,8.4,5.7,16.9,20.9,108.88999999999999,117.0
12.5,0.0,0.5,0.0,0.5,111.1,113.9,42.4,92.2,0.4603999999999999,11.2,30.3,0.36729999999999996,15.1,21.2,0.7012,10.0,45.6,24.9,9.0,4.1,15.2,23.3,41.7,91.6,0.45809999999999995,12.4,37.3,0.32910000000000006,18.1,24.0,0.7402,11.3,48.8,24.2,8.2,5.1,16.4,21.0,108.83,119.0
13.5,0.0,0.5,0.0,0.5,112.3,115.0,43.0,92.7,0.46440000000000003,11.5,30.6,0.37489999999999996,14.8,20.5,0.7095,10.0,45.3,25.4,8.7,3.9,14.8,24.3,41.9,91.3,0.4617000000000001,12.5,36.9,0.33430000000000004,18.7,24.9,0.7384999999999999,11.4,48.6,23.5,7.9,5.0,15.8,20.9,108.6,116.0
14.5,0.0,0.5,0.0,0.4,109.3,115.2,41.9,92.6,0.45359999999999995,11.2,29.9,0.3742,14.3,20.2,0.7006000000000001,10.3,45.4,24.4,7.9,4.0,14.2,23.6,41.8,91.4,0.45999999999999996,12.7,37.2,0.33790000000000003,18.9,24.4,0.7571,11.6,49.7,23.7,7.8,5.0,15.0,20.5,108.15,112.0
15.5,0.0,0.4,0.0,0.4,109.6,114.1,41.7,91.6,0.4565,10.7,28.6,0.37439999999999996,15.5,21.1,0.7248000000000001,10.2,44.6,24.0,8.3,4.3,14.4,23.5,42.1,91.1,0.4649,11.5,34.6,0.33190000000000003,18.4,24.4,0.742,11.9,49.0,23.7,8.3,4.8,15.6,21.1,108.17999999999999,121.0
16.5,0.0,0.4,0.0,0.4,111.2,116.0,42.1,92.4,0.45669999999999994,10.6,28.7,0.36879999999999996,16.4,21.9,0.7372000000000001,11.2,46.3,23.9,7.7,4.0,14.0,23.4,43.0,91.2,0.4744,11.6,33.8,0.34419999999999995,18.4,24.9,0.7257,11.4,47.5,24.5,8.0,4.9,14.5,21.2,108.53000000000002,111.0
17.5,0.0,0.4,0.0,0.4,110.2,116.0,41.9,92.0,0.45649999999999996,10.7,28.4,0.3761,15.7,21.4,0.7246,11.4,46.0,23.9,8.0,3.7,14.8,22.1,43.4,90.0,0.48529999999999995,11.9,33.7,0.3579,17.3,23.6,0.7228999999999999,10.5,46.5,25.7,8.5,5.3,15.3,21.5,107.9,122.0
18.5,0.0,0.5,0.0,0.5,113.8,116.4,43.2,91.2,0.4753,11.2,28.3,0.39790000000000003,16.2,22.6,0.7102,11.0,45.2,25.5,8.6,3.5,14.2,22.3,43.1,88.8,0.48760000000000003,11.9,34.2,0.35419999999999996,18.3,24.0,0.7627,10.1,44.9,26.1,8.3,5.4,16.0,22.2,108.42999999999999,129.0
19.5,0.0,0.6,0.0,0.5,116.3,117.5,44.5,92.4,0.4824,11.4,28.8,0.3969,15.9,22.1,0.709,11.3,44.2,25.9,8.0,3.7,13.9,22.1,43.6,88.2,0.497,11.9,33.7,0.3604,18.4,24.3,0.7551,9.9,44.1,25.6,8.2,5.0,16.1,22.7,109.05,97.0
20.5,0.0,0.6,0.0,0.5,115.6,117.0,44.6,93.4,0.47829999999999995,11.1,28.7,0.3886,15.3,21.2,0.7139999999999999,11.6,44.3,26.0,8.0,4.3,13.1,21.8,43.3,88.9,0.4898999999999999,11.6,34.2,0.34309999999999996,18.8,24.1,0.779,10.5,45.3,25.8,7.8,5.3,16.3,22.1,108.84,108.0
21.5,0.0,0.6,0.0,0.6,115.2,112.7,44.0,92.0,0.4787,11.6,28.9,0.40040000000000003,15.6,21.5,0.7189999999999999,11.3,44.6,26.5,8.6,4.4,13.3,21.2,42.1,88.4,0.47779999999999995,10.4,32.3,0.32909999999999995,18.1,23.0,0.7957,10.6,45.2,24.7,7.9,4.6,16.8,21.8,109.11000000000001,141.0
22.5,0.0,0.6,0.0,0.6,117.6,114.4,44.5,90.4,0.49269999999999997,11.9,28.9,0.4083,16.7,23.0,0.7230999999999999,10.8,42.5,27.0,8.2,4.6,12.8,21.5,42.6,86.9,0.4899,10.1,30.4,0.3407,19.1,24.1,0.8047000000000001,10.5,43.8,25.5,7.5,4.7,16.6,22.0,109.69000000000001,125.0
