Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER,gamePoints
5.5,0.0,0.5,0.0,0.6,99.9,100.0,38.0,87.2,0.43790000000000007,7.6,22.1,0.3377,16.3,22.0,0.7326,12.2,46.8,21.7,7.6,6.7,13.8,16.9,37.8,82.0,0.4605,9.7,26.1,0.3792,14.7,20.4,0.73,8.2,43.1,21.3,8.2,4.8,14.8,20.8,107.82000000000001,120.0
6.5,0.0,0.5,0.0,0.6,101.2,100.8,38.4,86.7,0.4454000000000001,8.3,22.8,0.3532,16.1,22.0,0.7219999999999999,12.1,45.7,22.8,8.1,5.9,14.0,17.2,38.3,81.7,0.46820000000000006,10.0,27.2,0.3738,14.2,19.8,0.7266999999999999,8.1,42.8,21.0,8.1,4.8,15.2,21.1,107.72999999999999,87.0
7.5,0.0,0.4,0.0,0.5,101.2,102.5,38.0,85.4,0.44699999999999995,9.1,24.5,0.3759,16.1,21.5,0.7503999999999998,11.6,44.8,22.6,8.1,6.2,14.7,17.3,39.3,82.4,0.4765,9.7,26.2,0.373,14.2,20.3,0.6988999999999999,8.4,42.7,21.9,8.8,5.0,14.6,20.9,107.6,133.0
8.5,0.0,0.4,0.0,0.5,104.4,102.2,39.1,84.9,0.46259999999999996,10.4,25.2,0.4176,15.8,20.8,0.7620999999999999,10.6,43.7,24.0,8.2,5.6,14.0,16.7,39.9,83.0,0.4805,9.3,24.8,0.3721,13.1,19.2,0.6811999999999999,8.4,42.1,22.4,8.6,5.0,14.5,19.4,108.13,97.0
9.5,0.0,0.4,0.0,0.5,102.4,101.3,38.4,85.2,0.4515999999999999,10.0,26.1,0.3819,15.6,20.5,0.7632,10.6,44.0,24.0,8.5,6.0,13.9,16.3,39.5,83.1,0.4749,9.4,25.6,0.3669,12.9,19.2,0.6701,8.5,42.9,22.3,8.7,5.2,15.1,19.2,108.38000000000002,86.0
10.5,0.0,0.4,0.0,0.5,102.3,99.7,38.7,84.2,0.45969999999999994,10.3,26.1,0.3944,14.6,19.3,0.7646999999999999,10.2,43.6,24.1,8.1,5.6,13.8,16.6,38.6,83.4,0.4626,9.2,25.1,0.36910000000000004,13.3,19.4,0.6889000000000001,9.0,42.5,22.8,8.7,4.9,14.0,18.4,108.46000000000001,104.0
11.5,0.0,0.3,0.0,0.6,103.3,100.1,38.5,82.9,0.46390000000000003,10.8,26.8,0.40230000000000005,15.5,20.3,0.7711,10.2,43.6,24.5,7.5,5.5,13.6,17.3,38.9,84.6,0.4595999999999999,9.1,25.2,0.3627,13.2,19.5,0.6806,9.7,42.2,23.1,8.5,4.9,12.9,18.6,108.37,96.0
12.5,0.0,0.2,0.0,0.7,103.5,97.8,38.9,83.1,0.46740000000000004,10.6,27.3,0.38839999999999997,15.1,18.9,0.8211,10.4,44.8,25.0,7.4,5.6,14.3,17.6,38.4,84.3,0.4553999999999999,8.8,25.1,0.3539,12.2,18.7,0.6367999999999999,9.1,40.6,22.8,8.2,5.0,13.1,17.9,109.05999999999999,90.0
13.5,0.0,0.3,0.0,0.7,103.3,97.3,39.0,83.2,0.4681,10.5,27.3,0.3842,14.8,18.1,0.8404999999999999,9.8,44.1,25.3,7.8,5.3,14.2,18.9,38.0,84.1,0.45170000000000005,8.1,24.7,0.3331,13.2,19.5,0.6535,9.3,41.0,22.1,7.8,4.0,13.2,17.7,109.1,106.0
14.5,0.0,0.4,0.0,0.7,103.1,95.8,39.0,83.0,0.4692,10.2,27.1,0.37489999999999996,14.9,18.0,0.8477,9.9,44.1,24.4,7.9,5.4,13.8,18.2,37.8,84.5,0.4473,7.7,24.8,0.31579999999999997,12.5,17.9,0.6660999999999999,9.6,40.6,22.5,7.4,4.3,13.4,17.6,109.1,115.0
15.5,0.0,0.4,0.0,0.7,103.4,97.1,38.9,82.4,0.4716,10.1,27.3,0.3665999999999999,15.5,18.3,0.866,9.5,44.1,25.0,7.7,5.5,13.9,17.9,38.2,84.9,0.44980000000000003,8.3,25.7,0.32480000000000003,12.4,17.4,0.6776,8.9,40.1,22.7,7.6,3.9,12.7,17.9,108.75999999999999,104.0
