Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER
5.5,0.0,0.4,0.0,0.6,110.9,109.8,41.3,92.0,0.44980000000000003,9.4,24.6,0.36819999999999997,18.9,22.6,0.8460999999999999,11.2,45.7,24.3,7.0,4.1,11.6,19.3,42.2,89.7,0.4706999999999999,10.9,29.8,0.3587,14.5,19.9,0.7404,9.3,46.1,23.8,7.0,5.0,13.9,22.4,109.60999999999999,96.0
6.5,0.0,0.4,0.0,0.6,109.3,107.9,40.6,90.1,0.4514,9.3,24.1,0.3742,18.8,22.4,0.8478000000000001,10.1,45.1,23.8,7.0,4.2,11.9,19.1,41.3,89.6,0.46110000000000007,11.2,32.0,0.3491000000000001,14.1,20.1,0.7204999999999998,9.4,46.4,22.9,7.1,5.3,13.6,22.1,109.4,99.0
7.5,0.0,0.4,0.0,0.6,108.4,106.2,40.2,88.8,0.45309999999999995,9.0,24.2,0.3632,19.0,22.6,0.8504999999999999,9.5,45.4,23.4,7.0,4.2,12.8,18.6,41.1,89.8,0.4574999999999999,10.8,31.2,0.34800000000000003,13.2,19.4,0.6946,9.3,46.3,23.2,7.8,5.3,13.6,22.7,109.53000000000002,96.0
8.5,0.0,0.4,0.0,0.5,103.7,103.6,38.7,87.4,0.4438,8.2,23.7,0.33999999999999997,18.1,21.2,0.8559999999999999,9.8,45.0,21.8,6.8,4.3,13.7,17.2,40.3,87.5,0.46210000000000007,10.9,30.4,0.36050000000000004,12.1,17.6,0.7129,8.5,44.9,22.6,8.2,5.1,13.7,22.1,110.05999999999999,111.0
9.5,0.0,0.5,0.0,0.5,105.2,103.6,39.3,88.9,0.4438,8.5,24.7,0.3394,18.1,21.6,0.8408,9.8,44.9,22.1,7.2,4.6,12.9,18.0,39.7,87.3,0.45630000000000004,10.0,29.5,0.3422,14.2,20.3,0.7053999999999999,8.9,45.9,21.5,7.5,4.9,13.9,22.4,110.5,104.0
10.5,0.0,0.5,0.0,0.5,104.6,102.2,39.0,89.0,0.44000000000000006,9.2,25.5,0.36229999999999996,17.4,20.9,0.8321999999999999,9.7,44.8,22.5,6.8,4.6,12.6,18.1,39.1,87.3,0.44930000000000003,9.2,28.8,0.322,14.8,20.6,0.7253000000000001,9.2,46.3,21.6,7.6,4.8,13.3,21.6,110.46,126.0
11.5,0.0,0.6,0.0,0.4,105.9,105.4,39.3,89.3,0.4417000000000001,9.5,25.9,0.36729999999999996,17.8,21.8,0.817,11.0,45.1,22.0,5.8,4.4,12.4,18.2,40.7,88.4,0.4598000000000001,9.2,28.0,0.3311,14.8,20.3,0.7404000000000001,9.8,45.6,23.5,7.7,5.0,12.1,21.8,110.64000000000001,103.0
12.5,0.0,0.5,0.0,0.3,104.2,106.8,38.2,89.2,0.429,9.8,26.3,0.37689999999999996,18.0,22.2,0.8113999999999999,11.4,44.7,21.7,5.5,4.3,11.8,18.7,41.1,87.5,0.46900000000000003,9.4,28.1,0.33809999999999996,15.2,20.6,0.7483000000000001,9.5,46.1,23.5,7.1,5.4,11.5,21.7,110.01999999999998,111.0
13.5,0.0,0.6,0.0,0.3,104.4,107.3,37.9,87.9,0.4327000000000001,10.0,26.1,0.3897,18.6,23.2,0.8036,11.5,45.0,21.6,5.0,4.3,12.4,18.5,42.1,89.7,0.4687,9.1,28.4,0.322,14.0,18.5,0.7472000000000001,10.0,45.8,24.4,7.7,4.8,11.1,21.8,109.42,129.0
14.5,0.0,0.7,0.0,0.3,106.3,109.1,39.0,88.3,0.4428000000000001,9.8,24.7,0.403,18.5,23.5,0.7905999999999999,11.4,44.6,21.8,5.5,4.1,12.3,18.5,42.4,89.2,0.47519999999999996,9.4,29.2,0.322,14.9,19.6,0.7509000000000001,9.5,45.6,24.5,7.7,4.7,11.6,21.8,109.16,108.0
15.5,0.0,0.7,0.0,0.4,108.3,110.3,40.4,88.2,0.45820000000000005,9.5,24.5,0.39570000000000005,18.0,23.0,0.7866000000000001,10.9,44.3,22.8,5.4,3.8,12.1,18.2,43.0,88.9,0.4831999999999999,9.8,29.3,0.33309999999999995,14.5,18.9,0.7605,8.6,43.9,24.7,7.5,4.1,11.4,21.3,109.73999999999998,89.0
16.5,0.0,0.8,0.0,0.3,107.6,114.2,40.5,89.5,0.45269999999999994,9.3,25.2,0.3753,17.3,21.6,0.8125,11.3,44.3,23.4,5.2,4.1,12.4,17.9,45.0,89.8,0.5004,10.7,29.3,0.355,13.5,17.5,0.7582,8.4,43.8,26.9,7.7,4.2,11.4,20.7,109.95,105.0
17.5,0.0,0.7,0.0,0.3,108.2,117.4,40.6,89.4,0.45430000000000004,9.3,24.9,0.3787,17.7,22.0,0.8162,11.3,44.1,23.3,5.1,4.1,12.2,18.5,45.6,91.0,0.5004,11.8,32.3,0.3499,14.4,18.3,0.7799,9.0,44.2,27.4,7.4,4.5,10.7,20.9,109.88,131.0
18.5,0.0,0.6,0.0,0.4,111.7,117.6,42.1,89.4,0.4723,9.7,24.1,0.4215999999999999,17.8,21.8,0.8279,10.5,43.2,24.6,4.9,4.1,11.6,18.8,45.4,91.2,0.49669999999999986,11.5,32.1,0.34290000000000004,15.3,19.1,0.7924,9.4,43.9,27.2,7.1,4.6,10.8,20.7,109.41,105.0
19.5,0.0,0.6,0.0,0.4,111.1,119.9,42.4,88.2,0.481,9.5,23.4,0.4224,16.8,20.4,0.8388,9.7,41.9,25.2,4.9,4.0,12.7,18.3,46.5,91.1,0.5103,12.7,33.1,0.36869999999999997,14.2,17.6,0.7973999999999999,9.0,43.1,28.7,8.1,4.8,11.3,20.2,108.9,113.0
20.5,0.0,0.7,0.0,0.3,112.0,122.8,42.6,88.6,0.4812,9.2,23.7,0.4066000000000001,17.6,20.7,0.8681999999999999,9.7,42.0,24.6,5.4,3.7,12.7,18.9,47.2,91.3,0.5173,13.6,34.4,0.3854,14.8,18.8,0.7861,8.6,42.7,28.8,8.1,4.7,11.4,20.3,108.94000000000001,133.0
21.5,0.0,0.6,0.0,0.4,112.7,120.8,42.7,88.3,0.4838,9.3,24.4,0.3985,18.0,21.0,0.873,8.8,42.4,25.1,5.1,4.4,12.2,18.7,45.9,91.1,0.5055000000000001,13.7,35.4,0.3775,15.3,19.5,0.7814,8.2,42.8,27.8,7.9,4.3,11.2,20.4,108.64000000000001,110.0
22.5,0.0,0.6,0.0,0.5,113.4,120.1,43.9,89.0,0.4939,9.1,23.6,0.4024,16.5,19.2,0.8779999999999999,8.8,42.7,25.6,5.4,4.6,12.5,18.2,45.7,91.5,0.5009,13.8,35.8,0.3765,14.9,19.3,0.7693999999999999,8.7,42.6,28.0,8.3,4.0,11.7,19.4,108.35999999999999,111.0
23.5,0.0,0.5,0.0,0.5,113.4,118.7,43.8,89.0,0.49269999999999997,9.4,23.6,0.41669999999999996,16.4,18.7,0.8914000000000002,8.7,42.7,25.6,5.8,4.4,12.5,17.8,44.4,89.8,0.4946,14.3,36.2,0.3926,15.6,19.8,0.7995,8.4,42.1,26.8,8.1,4.3,12.2,19.4,109.19000000000001,125.0
24.5,0.0,0.4,0.0,0.6,113.0,113.9,43.7,88.1,0.49720000000000003,9.4,23.7,0.41459999999999997,16.2,18.3,0.8956,8.6,43.5,25.4,6.0,4.8,12.6,17.7,42.5,89.6,0.47330000000000005,13.8,35.3,0.3874,15.1,19.3,0.7944,9.1,42.2,25.9,7.8,4.1,12.6,19.0,109.73000000000002,93.0
25.5,0.0,0.3,0.0,0.5,111.5,113.0,42.4,86.1,0.49260000000000004,9.1,22.8,0.41459999999999997,17.6,20.0,0.8913,8.6,43.0,24.3,5.6,5.1,13.1,17.9,42.0,89.2,0.46959999999999996,13.0,34.9,0.3657,16.0,20.3,0.7983,9.4,41.9,25.2,8.4,4.4,12.2,19.8,109.72999999999999,123.0
26.5,0.0,0.2,0.0,0.6,114.9,109.8,43.9,86.1,0.5098,9.2,22.4,0.4241,17.9,20.4,0.8854,7.8,42.9,24.8,6.0,5.2,11.9,17.6,41.0,89.1,0.45990000000000003,12.3,34.5,0.35150000000000003,15.5,19.5,0.8030000000000002,9.3,41.2,24.8,7.5,4.3,12.4,19.5,109.4,129.0
