Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER,gamePoints
5.5,0.0,0.4,0.0,0.7,106.5,101.4,39.8,86.1,0.46319999999999995,7.1,22.9,0.3002,19.8,24.6,0.8047000000000001,11.1,43.3,18.7,9.2,4.6,10.5,22.6,36.8,82.9,0.44589999999999996,9.1,26.1,0.3366,18.7,24.8,0.7464000000000001,11.5,44.3,19.7,5.4,4.5,14.3,19.9,108.97,121.0
6.5,0.0,0.4,0.0,0.6,107.7,105.0,39.4,85.7,0.4605999999999999,7.8,23.6,0.3235,21.1,25.8,0.8121,11.0,42.8,18.6,9.2,4.7,10.8,22.6,37.7,83.2,0.4548,10.0,27.5,0.3545,19.6,25.4,0.7620000000000001,11.4,43.8,21.3,5.5,5.2,14.2,20.0,108.64000000000001,113.0
7.5,0.0,0.5,0.0,0.7,109.9,106.7,40.2,86.1,0.4673999999999999,8.2,24.3,0.3333,21.3,27.1,0.7789999999999999,9.8,42.1,19.7,9.1,4.6,10.1,23.1,38.3,83.6,0.45999999999999996,9.2,26.8,0.333,20.9,27.1,0.7637,11.4,45.7,22.2,5.4,5.3,14.4,21.1,108.84,99.0
8.5,0.0,0.6,0.0,0.6,109.3,106.7,39.5,85.8,0.46080000000000004,8.7,25.1,0.3458,21.6,27.0,0.7947,10.3,42.6,19.7,9.1,4.3,10.9,22.4,38.6,83.6,0.46370000000000006,9.4,27.3,0.33280000000000004,20.1,26.1,0.7626,10.7,44.8,23.4,6.0,5.2,14.9,21.1,108.74000000000001,115.0
9.5,0.0,0.6,0.0,0.5,109.5,108.7,39.2,86.1,0.45499999999999996,8.5,24.5,0.3479,22.6,27.7,0.8110999999999999,10.3,42.7,19.5,8.5,4.3,10.7,23.1,38.3,83.8,0.45810000000000006,10.1,28.8,0.34280000000000005,22.0,27.9,0.7792,10.7,45.4,23.6,5.7,5.1,14.3,21.5,108.62000000000003,115.0
10.5,0.0,0.7,0.0,0.5,111.4,110.2,39.8,86.5,0.4598999999999999,9.1,24.3,0.3761,22.7,28.0,0.8032,10.5,41.5,20.9,9.2,4.5,10.6,23.0,38.7,82.8,0.46820000000000006,10.6,30.2,0.344,22.2,27.6,0.8125,10.6,45.0,24.6,5.3,5.3,15.6,21.5,108.82000000000001,105.0
11.5,0.0,0.8,0.0,0.6,112.8,110.5,40.6,86.3,0.47050000000000003,9.8,24.5,0.39659999999999995,21.8,26.8,0.8046999999999999,10.3,41.0,20.5,8.9,4.5,10.9,22.1,39.3,82.9,0.47520000000000007,11.3,31.5,0.3541,20.6,25.7,0.7966,10.0,44.1,25.1,5.3,5.0,15.8,21.2,108.62,122.0
12.5,0.0,0.7,0.0,0.6,113.8,109.8,40.5,85.7,0.47319999999999995,10.0,23.8,0.42269999999999996,22.8,27.7,0.8170999999999999,10.4,41.7,20.2,9.0,4.7,11.0,21.1,39.8,84.1,0.47519999999999996,11.5,31.5,0.36,18.7,23.9,0.7755,10.1,44.0,26.0,5.6,4.9,15.3,21.2,108.74000000000001,120.0
13.5,0.0,0.6,0.0,0.6,114.5,109.2,40.0,83.6,0.48050000000000004,11.0,24.8,0.4454000000000001,23.5,28.8,0.8064,10.6,41.5,20.7,8.9,4.6,12.3,21.5,39.6,83.0,0.4782,10.9,30.1,0.3592,19.1,24.1,0.7851,9.5,41.3,25.4,6.8,4.6,15.6,22.1,108.55,113.0
14.5,0.0,0.6,0.0,0.6,114.0,106.5,40.6,83.6,0.48769999999999997,11.5,25.5,0.45500000000000007,21.3,26.3,0.8042,10.2,41.5,21.4,8.7,4.5,12.2,21.3,38.4,82.6,0.46719999999999995,10.8,30.4,0.3519,18.9,24.2,0.7689000000000001,9.7,41.0,25.1,7.1,4.6,15.6,21.6,108.68000000000002,128.0
