Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER,gamePoints
5.5,0.0,0.7,0.0,0.6,97.2,93.3,35.5,78.6,0.4511,9.3,25.6,0.3711999999999999,16.9,22.6,0.7613999999999999,8.3,42.0,19.0,6.9,5.7,12.4,20.0,34.5,79.8,0.4325,7.8,22.2,0.36069999999999997,16.5,20.5,0.808,8.1,40.6,18.0,7.0,4.7,12.1,20.3,108.04,102.0
6.5,0.0,0.7,0.0,0.7,97.0,91.1,35.5,78.5,0.45170000000000005,9.1,25.2,0.3679,16.9,22.9,0.7455999999999998,8.3,43.4,18.3,6.5,5.6,12.2,20.0,34.4,80.4,0.4274,7.0,22.0,0.3217,15.3,20.2,0.7605999999999999,8.0,41.1,17.9,7.0,4.8,11.7,20.2,107.67999999999999,96.0
7.5,0.0,0.7,0.0,0.6,97.0,92.4,35.9,78.3,0.45830000000000004,9.3,25.5,0.37249999999999994,15.9,21.1,0.7573999999999999,7.6,41.6,18.6,6.9,5.0,11.6,20.9,34.8,79.6,0.4367,6.9,21.8,0.3207,15.9,20.7,0.7689999999999999,8.3,41.2,17.6,6.8,4.3,11.9,19.9,107.13,77.0
8.5,0.0,0.6,0.0,0.6,97.2,92.1,36.0,78.8,0.45709999999999995,9.1,26.1,0.3557,16.1,21.2,0.7662,7.9,42.1,17.9,6.5,5.1,11.1,20.1,34.7,80.3,0.4324,6.8,20.8,0.3279,15.9,20.3,0.7865,8.3,40.9,16.7,6.7,4.5,11.4,20.1,107.0,102.0
9.5,0.0,0.6,0.0,0.5,96.8,94.1,36.1,78.8,0.4584,8.8,25.7,0.3517,15.8,21.1,0.7535000000000001,8.2,42.5,17.9,6.3,4.8,11.3,19.8,35.6,82.1,0.4337,7.4,22.0,0.33540000000000003,15.5,20.2,0.771,8.9,41.4,17.6,6.9,4.3,10.9,20.2,107.55999999999999,91.0
10.5,0.0,0.7,0.0,0.4,96.2,96.5,35.9,79.6,0.45169999999999993,8.3,25.9,0.3296,16.1,20.8,0.7741,8.9,43.3,17.6,6.0,5.1,11.1,19.9,36.5,83.0,0.4396000000000001,7.5,21.6,0.34490000000000004,16.0,22.2,0.7343,9.5,42.7,18.9,6.9,4.2,10.5,20.1,107.96,108.0
11.5,0.0,0.7,0.0,0.5,98.4,94.8,36.8,79.5,0.4635999999999999,8.0,25.9,0.31809999999999994,16.8,21.5,0.7826000000000001,8.4,44.2,18.0,5.7,5.0,11.3,20.5,35.6,83.5,0.42679999999999996,7.8,22.3,0.34820000000000007,15.8,23.1,0.7015,10.0,42.7,18.6,6.5,3.9,10.4,19.8,108.85,95.0
12.5,0.0,0.6,0.0,0.5,96.5,90.7,36.5,80.0,0.45669999999999994,8.2,26.8,0.3155,15.3,19.8,0.7802000000000001,8.6,46.3,17.6,6.0,5.5,11.9,20.2,34.0,83.5,0.40750000000000003,7.8,22.8,0.34019999999999995,14.9,22.4,0.6786999999999999,9.6,42.8,17.9,6.5,3.8,10.6,18.8,108.30000000000003,112.0
13.5,0.0,0.6,0.0,0.5,96.8,92.6,36.2,79.4,0.45669999999999994,7.5,26.7,0.27979999999999994,16.9,21.2,0.8026,8.8,46.0,17.5,5.9,4.7,12.1,20.1,34.5,83.9,0.4116000000000001,7.8,22.6,0.3437,15.8,22.7,0.7064999999999999,9.7,42.5,18.9,6.8,3.8,10.2,19.2,108.57000000000002,120.0
14.5,0.0,0.5,0.0,0.6,99.0,92.3,36.5,78.6,0.46580000000000005,8.2,26.1,0.30989999999999995,17.8,22.1,0.8100000000000002,8.3,45.4,17.4,5.8,4.6,11.7,19.9,34.4,84.8,0.40599999999999997,8.1,23.0,0.3496,15.4,22.0,0.7101999999999999,10.7,42.6,17.9,6.5,4.1,10.1,19.3,108.57000000000001,110.0
