Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER
5.5,0.0,0.4,0.0,0.5,99.3,100.1,36.4,80.9,0.45120000000000005,10.3,28.0,0.3638,16.2,19.5,0.8230999999999999,8.3,40.5,20.5,9.5,6.3,16.8,20.3,37.3,81.7,0.4586,10.7,27.9,0.3742,14.8,19.4,0.7704,9.6,43.4,18.9,9.1,4.4,17.4,20.4,107.87,97.0
6.5,0.0,0.4,0.0,0.4,98.4,100.9,35.3,82.7,0.4309,10.3,29.5,0.3494,17.5,21.4,0.8093,9.1,41.4,19.2,10.0,6.4,16.5,20.8,37.1,82.1,0.45380000000000004,10.6,27.9,0.3705,16.1,21.2,0.7586999999999999,9.7,45.2,19.1,9.2,4.7,17.6,22.0,107.26000000000002,74.0
7.5,0.0,0.3,0.0,0.4,96.1,99.3,34.1,82.4,0.41659999999999997,9.9,29.4,0.3323,18.0,21.9,0.8132999999999999,8.8,41.6,18.1,10.0,6.3,16.3,20.7,36.5,81.7,0.4484,10.9,28.2,0.3787,15.4,20.4,0.7557,9.4,45.6,18.4,9.0,5.1,18.0,22.3,106.82000000000001,114.0
8.5,0.0,0.3,0.0,0.4,97.9,101.2,34.4,83.2,0.4154,10.1,29.4,0.3392,19.0,23.0,0.8187,9.3,41.9,17.8,10.1,6.2,16.1,21.5,36.8,81.5,0.4535,10.5,27.2,0.37579999999999997,17.1,22.4,0.7669,9.6,45.9,18.2,8.3,5.1,18.0,22.9,107.15,98.0
9.5,0.0,0.2,0.0,0.4,99.3,101.9,34.7,83.7,0.41640000000000005,10.8,30.6,0.3492,19.1,23.0,0.8277999999999999,9.3,40.9,18.1,10.2,5.9,15.8,21.5,36.6,80.3,0.4586,10.5,26.3,0.3913,18.2,23.2,0.7863999999999999,9.0,45.5,18.3,8.0,5.2,18.2,22.6,107.24000000000001,101.0
10.5,0.0,0.2,0.0,0.4,100.6,102.8,34.9,83.9,0.4178,11.9,31.6,0.3738,18.9,22.2,0.8498999999999999,9.5,40.2,18.0,9.9,5.9,14.8,21.9,36.2,78.8,0.4617000000000001,10.8,26.5,0.40259999999999996,19.6,24.8,0.7926,8.6,44.5,18.3,7.6,5.2,17.7,22.0,107.04,107.0
11.5,0.0,0.3,0.0,0.3,101.7,106.5,35.1,83.9,0.4204,11.8,31.1,0.3781,19.7,23.3,0.8514999999999999,9.1,39.2,18.3,9.6,6.0,14.3,21.8,37.4,79.1,0.4746,12.0,28.0,0.4257999999999999,19.7,24.8,0.7975999999999999,7.6,44.2,19.3,7.2,5.0,17.3,22.1,107.28,125.0
12.5,0.0,0.4,0.0,0.3,103.8,106.1,36.0,85.6,0.4215,11.6,31.0,0.37360000000000004,20.2,23.6,0.8658999999999999,9.9,41.1,18.9,9.0,5.6,13.9,22.0,37.1,79.6,0.46819999999999995,11.6,28.5,0.4034,20.3,26.0,0.781,7.8,44.6,18.9,7.8,5.2,16.5,22.5,107.39000000000001,86.0
13.5,0.0,0.5,0.0,0.2,101.2,106.5,35.6,85.1,0.41900000000000004,11.2,30.9,0.3609,18.8,21.9,0.8693,9.6,39.0,19.1,9.7,5.2,13.9,21.8,37.8,78.8,0.48019999999999996,11.1,26.6,0.40360000000000007,19.8,25.5,0.7751,7.6,44.8,19.2,8.1,5.1,16.7,21.8,107.22,110.0
14.5,0.0,0.5,0.0,0.3,102.2,103.6,36.1,85.7,0.42169999999999996,11.8,32.1,0.3661,18.2,21.4,0.8618,9.4,40.2,20.3,9.8,5.2,13.3,20.8,36.9,79.5,0.46390000000000003,10.5,25.7,0.3907,19.3,24.7,0.7815000000000001,7.9,45.2,18.7,7.5,4.8,16.7,21.2,107.75,121.0
