Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER
5.5,0.0,0.5,0.0,0.2,100.1,104.6,38.4,87.3,0.4422,6.0,19.1,0.3105,17.3,22.1,0.7817,12.0,44.5,19.1,8.0,4.6,14.4,22.0,38.2,83.4,0.4601,10.7,27.9,0.37629999999999997,17.5,24.5,0.7215,9.5,42.8,23.2,8.7,4.4,14.5,21.3,107.47999999999999,119.0
6.5,0.0,0.4,0.0,0.3,102.1,104.4,38.8,86.0,0.45389999999999997,6.9,19.6,0.34049999999999997,17.6,22.1,0.7984,11.5,44.2,19.2,7.3,4.4,14.0,22.1,37.9,83.2,0.45780000000000004,10.7,28.2,0.37150000000000005,17.9,24.7,0.7337,9.1,41.2,22.7,8.3,3.8,13.7,21.4,108.03000000000002,111.0
7.5,0.0,0.3,0.0,0.3,102.9,104.6,39.2,86.3,0.4569000000000001,7.5,19.8,0.3612,17.0,21.8,0.7831,12.0,44.2,19.5,7.4,4.2,13.7,22.0,38.3,82.9,0.46410000000000007,10.5,27.8,0.37120000000000003,17.5,24.7,0.7183,9.7,41.2,22.4,8.0,4.3,13.9,20.9,108.02000000000002,106.0
8.5,0.0,0.3,0.0,0.4,103.2,103.4,38.7,88.2,0.43929999999999997,8.2,21.6,0.36689999999999995,17.6,22.8,0.7811000000000001,12.8,45.1,19.9,7.4,4.1,12.8,21.9,37.9,84.3,0.45120000000000005,10.6,28.0,0.3719,17.0,23.7,0.7303000000000001,10.6,43.3,22.5,6.7,4.8,14.7,20.9,108.44000000000001,94.0
9.5,0.0,0.4,0.0,0.4,103.1,103.3,39.6,89.0,0.446,8.3,22.5,0.3625999999999999,15.6,20.3,0.7811,12.4,44.2,21.2,7.7,4.2,12.0,21.3,38.2,84.0,0.45640000000000003,10.8,27.8,0.3823,16.1,22.1,0.7364,11.0,43.5,22.1,6.0,5.2,14.8,20.1,108.95,100.0
10.5,0.0,0.3,0.0,0.4,104.5,105.7,40.4,89.2,0.45420000000000005,8.3,23.0,0.35459999999999997,15.4,20.0,0.7819,12.2,43.3,22.2,8.4,3.8,12.2,21.6,39.1,83.7,0.47000000000000003,10.8,27.4,0.3877,16.7,22.3,0.7527,10.6,43.0,22.2,6.3,5.2,15.4,20.2,108.2,101.0
11.5,0.0,0.3,0.0,0.5,104.0,103.8,40.0,88.3,0.45389999999999997,8.3,22.8,0.3576,15.7,20.6,0.7727,11.7,43.7,22.4,8.3,4.0,13.2,22.3,38.8,85.1,0.45899999999999996,9.4,25.8,0.35609999999999997,16.8,23.1,0.7309,11.3,43.7,21.4,7.2,4.9,15.6,20.8,108.42999999999998,115.0
12.5,0.0,0.4,0.0,0.4,103.7,107.1,39.8,88.9,0.4488,8.3,23.5,0.3457,15.8,21.2,0.7581,10.9,43.1,22.0,8.2,3.6,13.2,22.2,39.9,86.5,0.46420000000000006,9.6,25.7,0.36379999999999996,17.7,24.0,0.7428000000000001,11.5,45.3,22.1,7.7,4.9,15.8,21.1,108.33,105.0
13.5,0.0,0.5,0.0,0.4,104.8,107.3,40.1,88.3,0.45570000000000005,8.7,23.1,0.3893,15.9,21.1,0.7681,10.8,42.8,22.9,8.8,3.4,13.5,22.7,40.2,85.9,0.4711,9.0,24.4,0.36139999999999994,17.9,24.7,0.7333000000000001,11.4,44.3,23.2,7.9,4.7,15.8,20.7,107.63999999999999,118.0
14.5,0.0,0.5,0.0,0.5,107.1,108.0,40.8,88.4,0.46279999999999993,9.7,25.2,0.3997,15.8,21.1,0.7626,10.3,41.4,23.6,10.2,3.2,13.3,22.7,40.3,84.3,0.4802999999999999,9.6,25.6,0.36879999999999996,17.8,25.2,0.7146,11.2,44.1,23.6,7.7,4.4,16.9,20.2,108.03,116.0
15.5,0.0,0.4,0.0,0.5,108.5,109.5,41.4,88.6,0.4683,10.0,25.2,0.41269999999999996,15.7,21.0,0.7614000000000001,10.2,41.6,23.8,9.9,3.3,13.2,22.6,40.4,84.9,0.47759999999999997,9.8,25.4,0.3793,18.9,26.6,0.7186,11.5,44.3,23.0,7.8,5.5,16.3,19.4,108.24000000000001,92.0
16.5,0.0,0.4,0.0,0.5,105.8,106.8,40.5,88.3,0.4589,9.1,24.6,0.3843,15.7,20.9,0.7666000000000002,10.3,41.4,23.3,10.3,3.4,13.5,22.5,39.4,83.9,0.4707,9.3,25.7,0.3598,18.7,27.0,0.6952999999999999,11.9,45.2,23.1,7.7,5.6,17.7,19.8,108.33999999999999,110.0
17.5,0.0,0.4,0.0,0.6,105.7,105.9,40.3,88.2,0.45719999999999994,8.8,24.0,0.38170000000000004,16.3,21.5,0.7725000000000002,10.2,41.4,24.0,10.4,3.5,13.3,22.0,39.1,83.3,0.47070000000000006,9.3,25.5,0.3637,18.4,25.9,0.7175999999999999,10.9,44.5,23.2,7.2,5.2,18.1,19.8,108.56999999999998,101.0
18.5,0.0,0.5,0.0,0.5,105.2,107.0,40.5,87.5,0.4629,8.3,23.5,0.3677,15.9,20.3,0.7896000000000001,9.8,40.6,23.2,10.4,3.2,13.6,22.3,39.7,83.0,0.4789,9.1,25.4,0.35760000000000003,18.5,26.3,0.7059999999999998,10.7,44.0,23.5,7.5,4.8,17.1,19.2,108.08000000000001,109.0
19.5,0.0,0.4,0.0,0.5,106.7,108.5,41.0,87.4,0.4691000000000001,8.2,22.4,0.3748,16.5,21.0,0.792,10.3,41.0,23.3,10.9,3.1,13.9,22.4,40.0,82.4,0.48650000000000004,9.8,26.4,0.36960000000000004,18.7,26.4,0.7121999999999999,9.8,42.4,24.2,7.7,4.9,17.0,19.4,107.89000000000001,122.0
20.5,0.0,0.4,0.0,0.6,108.9,108.1,41.2,86.3,0.4784999999999999,8.8,22.7,0.39549999999999996,17.7,22.3,0.8020999999999999,9.4,40.6,24.2,10.4,3.1,13.2,22.1,40.2,83.5,0.48200000000000004,9.9,26.8,0.3678,17.8,25.6,0.6996,10.2,42.6,24.2,7.3,4.4,16.5,19.6,108.28,117.0
21.5,0.0,0.4,0.0,0.6,110.5,109.6,42.0,85.9,0.4903999999999999,8.8,22.1,0.4081,17.7,22.7,0.7912999999999999,9.2,39.0,24.4,10.3,2.8,12.4,22.2,40.7,82.9,0.49049999999999994,10.3,27.1,0.3827,17.9,25.4,0.7089000000000001,10.1,42.2,25.0,6.5,4.1,16.0,19.5,107.96,105.0
22.5,0.0,0.4,0.0,0.6,109.5,107.7,41.4,84.9,0.48869999999999997,8.6,22.6,0.3966,18.1,22.7,0.8067,9.5,39.1,23.8,10.0,3.1,12.8,21.9,40.2,82.1,0.4892,9.8,26.2,0.376,17.5,24.4,0.7236,10.1,41.6,24.0,6.1,4.2,16.2,19.3,108.05999999999999,107.0
23.5,0.0,0.4,0.0,0.7,109.7,106.7,41.6,85.0,0.49050000000000005,8.2,23.3,0.3497,18.3,23.4,0.7898,9.2,39.2,23.6,9.4,3.1,12.0,21.3,40.1,83.6,0.48040000000000005,9.6,26.3,0.36460000000000004,16.9,23.0,0.7389,10.6,42.8,23.8,5.4,4.3,16.1,19.4,108.4,96.0
24.5,0.0,0.4,0.0,0.6,107.5,107.7,40.8,83.7,0.48840000000000006,7.5,22.3,0.3377,18.4,23.4,0.7952999999999999,8.9,38.7,23.4,7.9,2.8,12.4,21.2,40.6,83.5,0.4873,9.4,26.1,0.3599,17.1,22.7,0.7545000000000001,10.1,41.9,24.2,5.7,4.6,15.1,19.5,108.26000000000002,107.0
25.5,0.0,0.4,0.0,0.7,106.6,105.5,40.4,82.3,0.4917000000000001,7.6,22.9,0.33130000000000004,18.2,23.0,0.7994999999999999,8.6,38.5,24.3,8.1,3.2,13.0,20.3,40.3,83.9,0.48149999999999993,8.8,25.5,0.3437,16.1,21.4,0.7519,10.5,41.8,24.5,5.8,3.6,15.3,19.6,108.10000000000002,111.0
26.5,0.0,0.4,0.0,0.7,108.5,107.5,40.7,82.3,0.4955,7.8,23.2,0.33609999999999995,19.3,25.0,0.7783999999999999,9.3,40.4,24.3,7.8,3.0,13.0,21.0,40.7,84.2,0.485,9.2,25.1,0.3611,16.9,21.9,0.768,9.6,40.7,24.5,6.0,3.8,13.9,20.1,107.73000000000002,118.0
27.5,0.0,0.4,0.0,0.7,109.3,106.5,41.4,81.8,0.5065999999999999,8.1,23.3,0.348,18.4,23.6,0.7927,8.9,40.8,24.2,8.0,3.4,14.0,21.4,39.9,83.7,0.47759999999999997,8.9,25.1,0.3490999999999999,17.8,22.9,0.772,9.5,39.9,24.1,6.8,3.5,14.0,19.6,107.87,91.0
28.5,0.0,0.4,0.0,0.7,108.3,105.4,41.3,82.1,0.5039,8.2,23.6,0.3494,17.5,22.6,0.7859,8.6,41.6,24.8,8.1,3.5,14.3,21.3,39.1,83.5,0.4694999999999999,9.2,26.4,0.3453,18.0,23.1,0.775,9.1,39.3,24.1,7.1,4.1,14.2,19.0,108.07000000000002,105.0
29.5,0.0,0.5,0.0,0.6,107.9,106.1,40.9,82.6,0.4968,8.8,24.8,0.35829999999999995,17.3,22.3,0.7892,7.9,41.3,24.8,7.2,3.9,13.8,21.4,39.0,83.9,0.4654999999999999,9.5,26.3,0.356,18.6,23.4,0.7905,8.8,40.2,23.6,6.8,3.6,13.6,19.3,108.0,112.0
30.5,0.0,0.5,0.0,0.6,106.9,105.8,41.1,82.8,0.4979,8.8,24.5,0.36479999999999996,15.9,20.5,0.7966000000000001,8.1,41.0,24.9,6.9,4.5,14.6,20.9,39.0,84.1,0.46440000000000003,9.2,25.3,0.35919999999999996,18.6,23.0,0.8061999999999999,9.0,40.0,23.6,7.1,3.7,13.7,18.9,108.42,107.0
31.5,0.0,0.6,0.0,0.6,105.9,104.9,40.9,83.1,0.4936,8.8,25.8,0.3435,15.3,19.3,0.8099000000000001,8.5,42.6,24.8,6.9,4.5,15.0,20.7,38.4,83.4,0.46130000000000004,9.4,25.2,0.3691,18.7,22.6,0.8253999999999999,8.3,39.2,23.3,7.8,3.9,13.8,18.6,108.53999999999999,101.0
32.5,0.0,0.5,0.0,0.7,105.5,104.1,41.3,82.6,0.501,9.1,24.7,0.3693,13.8,17.6,0.7958000000000001,7.8,41.9,25.3,7.2,4.5,15.6,20.9,37.8,83.5,0.4539999999999999,9.7,25.8,0.37279999999999996,18.8,22.6,0.8301999999999999,8.6,39.5,23.4,8.2,3.6,14.0,18.4,108.36000000000001,108.0
33.5,0.0,0.5,0.0,0.6,105.6,106.1,41.5,84.9,0.4915,9.8,25.5,0.39110000000000006,12.8,16.3,0.7905,8.8,41.9,25.8,7.5,4.5,15.3,20.2,38.3,82.5,0.4646,10.8,27.8,0.38570000000000004,18.7,22.5,0.8291000000000001,7.9,39.1,22.9,8.3,3.8,14.0,17.6,108.54,109.0
34.5,0.0,0.4,0.0,0.7,106.9,103.1,42.2,86.1,0.4931,9.9,24.8,0.4090000000000001,12.6,16.3,0.7794000000000001,9.5,43.9,25.2,8.2,4.5,15.0,19.9,37.4,83.2,0.4497,10.9,28.4,0.382,17.4,21.9,0.7926000000000001,8.6,39.9,22.0,8.1,3.4,14.5,17.9,108.49000000000001,120.0
35.5,0.0,0.4,0.0,0.7,108.2,103.0,42.4,86.8,0.49129999999999985,10.0,24.2,0.4241,13.4,16.8,0.7964,10.0,45.0,24.9,8.5,4.4,14.6,20.1,37.1,83.3,0.4457,11.1,29.0,0.3828,17.7,22.1,0.7989999999999999,8.8,40.2,21.5,7.9,3.7,14.7,18.0,108.62000000000003,104.0
36.5,0.0,0.4,0.0,0.7,107.5,102.6,42.2,87.0,0.4875999999999999,10.0,24.9,0.41529999999999995,13.1,15.7,0.8157,9.7,44.1,25.5,8.4,4.6,13.9,19.9,36.9,83.7,0.4412,10.8,28.7,0.3755,18.0,22.6,0.7956,10.0,41.3,21.1,7.7,3.4,14.6,17.1,108.47000000000003,113.0
37.5,0.0,0.5,0.0,0.7,107.0,104.1,41.9,87.5,0.481,10.2,25.9,0.40590000000000004,13.0,15.7,0.8084999999999999,9.9,43.7,25.6,7.9,4.4,13.5,19.7,37.9,85.3,0.4447,10.5,28.6,0.3646999999999999,17.8,22.3,0.7979999999999999,10.8,42.2,21.3,7.5,3.8,13.5,16.9,108.53,112.0
38.5,0.0,0.5,0.0,0.7,109.1,105.3,42.0,87.9,0.48020000000000007,10.4,25.9,0.4136000000000001,14.7,17.8,0.8122999999999999,10.5,43.9,25.6,8.2,4.5,12.9,19.8,38.5,85.4,0.45109999999999995,10.4,27.5,0.3731999999999999,17.9,22.4,0.7992999999999999,11.4,43.0,21.3,7.5,3.3,14.2,18.4,108.36000000000001,109.0
