Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER,gamePoints
5.5,0.0,0.5,0.0,0.5,111.4,109.6,39.9,86.9,0.46109999999999995,10.1,26.8,0.3716,21.5,28.2,0.7529999999999999,10.3,42.9,23.3,8.4,4.8,14.2,21.7,41.1,86.5,0.4755,9.3,27.6,0.3375,18.1,22.7,0.7971,10.1,44.2,23.0,7.6,5.4,16.1,24.6,108.05,111.0
6.5,0.0,0.5,0.0,0.5,110.5,107.6,40.0,85.5,0.46959999999999996,10.2,26.7,0.37760000000000005,20.3,26.4,0.7640999999999999,9.4,42.2,23.2,8.3,4.2,15.2,22.8,39.9,85.8,0.46530000000000005,8.1,26.4,0.3076,19.7,24.9,0.7966,10.7,44.0,22.2,7.9,5.2,16.3,23.7,108.39000000000001,113.0
7.5,0.0,0.5,0.0,0.5,110.3,105.9,40.2,85.8,0.4701000000000001,10.3,27.4,0.37149999999999994,19.6,25.7,0.7598,9.8,42.7,22.9,8.5,4.5,15.9,23.2,39.0,85.4,0.4569,8.5,27.4,0.3065,19.4,24.6,0.7922,10.7,43.9,22.2,7.8,5.2,16.8,22.8,108.73000000000002,110.0
8.5,0.0,0.4,0.0,0.5,110.4,104.7,40.9,86.0,0.47729999999999995,10.5,27.8,0.37389999999999995,18.1,24.1,0.7586,9.8,43.9,23.5,7.9,4.3,15.5,22.9,38.5,85.8,0.4486,8.9,27.4,0.32389999999999997,18.8,24.1,0.7806,10.8,43.0,21.4,8.1,5.4,15.5,22.1,108.77000000000001,102.0
9.5,0.0,0.4,0.0,0.6,110.7,103.8,40.2,84.3,0.4772,10.8,27.1,0.39819999999999994,19.5,24.9,0.7868999999999999,10.2,43.4,22.4,7.6,4.0,15.4,22.9,37.6,84.4,0.445,9.5,27.4,0.3439,19.1,24.4,0.7835,11.4,41.9,20.2,7.5,5.2,15.1,21.5,108.62,88.0
10.5,0.0,0.3,0.0,0.6,107.8,100.9,39.1,83.0,0.471,10.3,27.3,0.38130000000000003,19.3,24.3,0.8017000000000001,9.7,43.9,21.2,7.3,3.8,15.2,22.5,36.4,83.2,0.43760000000000004,9.5,27.1,0.3462,18.6,24.2,0.7657,10.9,41.8,19.0,7.4,4.6,14.9,21.4,108.51000000000002,91.0
11.5,0.0,0.3,0.0,0.5,105.9,102.6,38.5,82.6,0.4659,9.7,25.8,0.38920000000000005,19.2,24.4,0.7938000000000001,9.2,43.3,20.4,6.9,3.8,15.1,21.9,37.2,84.0,0.44300000000000006,9.9,28.8,0.3444999999999999,18.3,24.0,0.7558,10.9,42.3,19.7,7.4,5.1,13.9,21.3,107.99000000000001,99.0
12.5,0.0,0.4,0.0,0.6,104.2,99.2,38.3,80.8,0.47400000000000003,9.6,25.2,0.3934,18.0,23.1,0.7844,8.5,43.4,20.7,6.8,3.5,15.5,20.9,36.6,83.6,0.43789999999999996,9.4,28.6,0.32519999999999993,16.6,22.1,0.7479000000000001,10.4,41.1,19.1,7.9,5.3,13.9,20.8,107.74000000000001,124.0
13.5,0.0,0.5,0.0,0.6,104.4,99.1,38.6,82.3,0.4689000000000001,9.6,25.7,0.3874000000000001,17.6,22.2,0.7939999999999999,8.5,44.0,20.7,6.7,3.9,15.1,21.4,36.3,84.5,0.42910000000000004,9.2,28.7,0.3165,17.3,23.3,0.7375,11.0,42.5,19.4,7.3,5.4,13.6,20.1,107.53000000000002,105.0
14.5,0.0,0.4,0.0,0.5,104.2,100.3,38.7,82.7,0.4679000000000001,9.3,25.7,0.37439999999999996,17.5,21.5,0.8182,8.1,43.1,20.8,6.7,4.0,14.5,20.5,36.7,84.5,0.43410000000000004,9.6,28.7,0.3332,17.3,22.8,0.7518,10.7,43.0,19.5,6.9,5.2,13.9,19.3,107.57000000000001,92.0
15.5,0.0,0.5,0.0,0.6,103.5,97.9,39.1,83.5,0.4686,9.3,26.0,0.37010000000000004,16.0,20.0,0.7988999999999999,8.7,43.6,21.0,6.7,3.9,13.7,20.2,35.9,83.9,0.42800000000000005,9.5,28.7,0.3298,16.6,22.2,0.7361,10.9,42.6,19.6,6.6,4.5,13.8,18.7,107.75999999999999,113.0
16.5,0.0,0.6,0.0,0.5,103.7,100.2,38.4,84.1,0.4572,9.5,26.1,0.37770000000000004,17.4,21.7,0.7953999999999999,8.7,42.6,21.2,6.8,3.9,12.9,21.3,36.5,83.4,0.4377,9.5,28.2,0.3335,17.7,24.5,0.727,11.3,44.4,20.2,6.3,4.9,13.6,19.5,107.42,109.0
17.5,0.0,0.6,0.0,0.5,103.3,99.9,38.5,85.2,0.45169999999999993,9.5,25.8,0.38180000000000003,16.8,20.8,0.8009999999999999,9.2,43.3,21.8,6.6,3.5,11.7,21.1,36.6,83.0,0.44099999999999995,9.0,27.9,0.3211,17.7,24.7,0.7195999999999999,10.7,44.4,20.3,5.9,5.3,12.7,19.3,107.08,69.0
18.5,0.0,0.7,0.0,0.4,99.2,102.3,36.4,84.6,0.4293,8.8,24.4,0.3694,17.6,21.9,0.7918999999999999,9.4,41.4,19.7,6.7,3.6,11.9,21.1,37.5,82.2,0.45709999999999995,9.4,29.0,0.31599999999999995,17.9,24.7,0.7306999999999999,10.7,46.1,21.3,6.0,5.2,13.3,19.8,106.34,106.0
19.5,0.0,0.7,0.0,0.4,99.6,102.2,37.4,85.7,0.43549999999999994,9.0,25.0,0.366,15.8,20.2,0.7769999999999999,9.4,41.8,20.8,7.5,4.0,11.6,21.4,37.5,82.2,0.45709999999999995,9.3,28.7,0.3171,17.9,24.9,0.7227,10.2,46.0,21.6,5.9,5.4,13.4,19.8,106.31999999999998,109.0
20.5,0.0,0.8,0.0,0.5,101.7,103.0,38.3,85.4,0.44799999999999995,8.8,23.6,0.3755,16.3,21.1,0.7655,9.5,41.0,21.5,7.7,4.0,11.4,22.0,37.7,81.7,0.46229999999999993,9.0,27.5,0.31889999999999996,18.6,25.9,0.7219000000000001,10.2,45.0,21.7,5.8,5.2,13.2,20.0,106.91,112.0
21.5,0.0,0.8,0.0,0.5,103.8,104.3,39.1,85.5,0.45719999999999994,9.0,24.9,0.3582,16.6,21.3,0.7736,9.6,41.1,22.8,7.7,3.9,11.3,22.6,37.6,80.7,0.4667,9.4,26.8,0.3371,19.7,26.9,0.7380000000000001,9.5,43.5,21.9,5.8,4.9,13.5,20.0,107.32000000000001,98.0
22.5,0.0,0.8,0.0,0.4,103.7,105.8,39.0,87.6,0.4445,8.5,24.7,0.33890000000000003,17.2,21.8,0.7847999999999998,10.0,41.4,22.3,8.1,4.1,10.7,23.4,37.5,81.2,0.46290000000000003,10.0,28.9,0.3422,20.8,28.3,0.7401000000000001,9.8,45.5,22.8,5.2,4.8,14.0,20.2,107.37,93.0
23.5,0.0,0.7,0.0,0.5,100.6,101.6,37.8,85.4,0.44279999999999997,8.3,23.6,0.3465,16.7,22.0,0.7575000000000001,9.7,41.5,21.9,8.4,4.3,11.0,22.7,36.3,80.2,0.4539000000000001,10.0,28.9,0.34219999999999995,19.0,25.9,0.7514,9.4,45.4,22.3,5.3,4.5,14.5,20.5,107.5,100.0
24.5,0.0,0.7,0.0,0.6,100.1,99.9,37.6,85.3,0.441,8.2,24.4,0.3343,16.7,22.7,0.7289,10.1,42.8,22.0,8.7,4.6,11.8,23.6,35.5,80.8,0.4410000000000001,9.8,28.9,0.3339,19.1,26.6,0.7362,10.0,46.0,22.2,6.2,4.5,14.9,20.9,107.87,99.0
25.5,0.0,0.6,0.0,0.5,100.8,101.6,37.9,86.1,0.4405,8.4,24.9,0.33499999999999996,16.6,22.6,0.7263999999999999,10.5,43.5,21.7,8.6,4.7,12.1,23.8,36.1,81.0,0.44689999999999996,10.2,29.3,0.3418,19.2,26.4,0.7552,9.1,45.3,21.9,6.5,4.8,14.7,20.8,107.96000000000001,116.0
26.5,0.0,0.5,0.0,0.6,101.1,100.4,38.9,86.4,0.45010000000000006,8.9,26.2,0.33409999999999995,14.4,20.3,0.7112999999999999,10.8,44.4,22.4,8.6,4.6,12.6,22.7,35.8,80.9,0.44369999999999993,10.4,29.5,0.35009999999999997,18.4,24.0,0.7736,8.1,43.1,21.6,6.6,4.1,14.6,19.7,108.30000000000003,84.0
27.5,0.0,0.6,0.0,0.5,98.6,103.2,38.0,86.8,0.43839999999999996,8.7,26.1,0.3258,13.9,19.9,0.7004,9.9,43.0,21.8,8.1,4.1,12.2,22.5,36.7,81.8,0.44939999999999997,10.9,30.6,0.35419999999999996,18.9,24.2,0.7914,9.0,45.9,22.5,6.3,4.0,14.5,19.3,108.6,130.0
28.5,0.0,0.5,0.0,0.6,104.7,101.9,40.4,87.4,0.4643,9.9,27.1,0.3591,14.0,19.9,0.7048,9.9,44.8,23.8,7.8,4.1,12.5,22.2,36.6,82.9,0.44109999999999994,10.1,29.8,0.3379,18.6,24.1,0.7783,8.4,43.5,21.3,6.1,4.0,14.1,19.5,109.24000000000001,111.0
29.5,0.0,0.5,0.0,0.6,105.2,103.0,40.5,87.8,0.4633,9.4,27.2,0.33819999999999995,14.8,21.3,0.6941,10.2,45.1,24.4,6.8,3.9,12.4,21.7,37.3,83.2,0.44819999999999993,10.3,30.0,0.3418,18.1,23.7,0.7668000000000001,8.5,43.9,21.5,6.1,3.9,13.9,19.8,109.0,99.0
30.5,0.0,0.5,0.0,0.5,104.2,104.4,39.9,87.8,0.4559000000000001,9.5,27.5,0.3376,14.9,21.4,0.6950000000000001,10.3,45.3,24.3,6.8,4.0,12.7,21.8,37.8,84.8,0.44560000000000005,10.7,31.4,0.3411,18.1,23.8,0.7644,9.1,45.0,22.1,6.3,4.1,13.7,19.8,108.84,121.0
31.5,0.0,0.4,0.0,0.6,105.1,103.4,40.4,88.4,0.45810000000000006,10.0,27.9,0.347,14.3,20.3,0.7048000000000001,10.4,45.4,23.3,7.5,4.3,13.0,21.5,37.7,85.7,0.43949999999999995,10.7,33.0,0.32649999999999996,17.3,23.0,0.7582,9.5,45.2,21.4,6.6,3.9,14.1,19.2,108.47999999999999,114.0
